0,,Latitude,Longitude,Application/Permit Number
131,,47.5872979,-122.37921355,6532379
132,,47.72617896,-122.28240725,6532374
133,,47.60818401,-122.32167792,6532375
134,,47.61932602,-122.30635933,6532371
135,,47.61932602,-122.30635933,6532371
136,,47.59777605,-122.3184105,6532370
137,,47.71563744,-122.28254401,6532369
138,,47.71563744,-122.28254401,6532369
139,,47.60818401,-122.32167792,6532368
140,,47.60022466,-122.33128396,6532361
141,,47.64954018,-122.33358545,6532365
142,,47.60818401,-122.32167792,6532359
143,,47.6641081,-122.31293407,6532345
144,,47.63100625,-122.38282969,6532353
145,,47.60818401,-122.32167792,6532352
146,,47.66328654,-122.31455174,6532348
147,,47.60869743,-122.33589922,6532347
148,,47.70096192,-122.33740686,6532343
149,,47.610431,-122.33207691,6532340
150,,47.55238936,-122.32763153,6532337
151,,47.62733496,-122.34867791,6532335
152,,47.62733496,-122.34867791,6532335
153,,47.66507321,-122.29524113,6532334
154,,47.54041468,-122.351786,6532331
155,,47.58900252,-122.29284484,6532319
156,,47.65385975,-122.3514875,6532310
157,,47.61782318,-122.30416105,6532321
158,,47.6760754,-122.29667959,6532303
159,,47.55411321,-122.37731022,6532301
160,,47.61598094,-122.34370155,6532320
161,,47.70791063,-122.3005606,6532313
162,,47.6213169,-122.33815149,6532304
163,,47.62127489,-122.35766771,6532294
164,,47.56961856,-122.28882495,6532293
165,,47.61334989,-122.32312813,6532278
166,,47.6699291,-122.38034895,6532277
167,,47.67295718,-122.31771616,6532272
168,,47.69459144,-122.29950645,6532280
169,,47.60571735,-122.33760948,6527777
170,,47.72741388,-122.29478332,6532273
171,,47.60881372,-122.3412031,6532275
172,,47.70597862,-122.36114406,6532154
173,,47.71396756,-122.34877092,6532269
174,,47.55813152,-122.31891348,6532161
175,,47.68275676,-122.28541903,6532267
176,,47.60505199,-122.33428775,6532266
177,,47.67723721,-122.31282416,6532163
178,,47.68423926,-122.3421404,6532260
179,,47.67716761,-122.38300685,6532251
180,,47.56208377,-122.29132748,6532255
181,,47.65429982,-122.34153031,6532254
182,,47.6182108,-122.35759754,6532250
183,,47.565911,-122.28340081,6532119
184,,47.70597862,-122.36114406,6532117
185,,47.70597862,-122.36114406,6532118
186,,47.67484657,-122.36259217,6532246
187,,47.66824413,-122.28395175,6532245
188,,47.60449295,-122.33804582,6532240
189,,47.58236961,-122.3335943,6532235
190,,47.6051626,-122.33870882,6532233
191,,47.65131986,-122.34494349,6532232
192,,47.64104672,-122.31826544,6532231
193,,47.68742961,-122.31601411,6532230
194,,47.65040466,-122.34687232,6532229
195,,47.61824357,-122.32950666,6532227
196,,47.67500347,-122.36153819,6532226
197,,47.68317695,-122.35549787,6532225
198,,47.67510766,-122.34974189,6532224
199,,47.53122784,-122.38526367,6532223
200,,47.69598819,-122.31863008,6532222
201,,47.67431464,-122.39233736,6532220
202,,47.59544395,-122.33160773,6532219
203,,47.62422755,-122.35710042,6532218
204,,47.63983228,-122.28343419,6532217
205,,47.59962187,-122.33248675,6532216
206,,47.50577922,-122.37904611,6532215
