0,Application/Permit Number,Applicant Name
220,6532171,BLACK SHEEP ELECTRIC LLC
221,6532165,MASTERCRAFT ELECTRIC INC
222,6532164,ECONOMY WIRING COMPANY INC
223,6532160,ELECTRI-CITY INC
224,6532158,ARTISAN ELECTRIC INC
225,6532157,MASTERCRAFT ELECTRIC INC
226,6532156,KEMLY ELECTRIC INCORPORATED
227,6532152,PROVIDENT ELECTRIC INC
228,6532148,KEMLY ELECTRIC INCORPORATED
229,6532145,KEMLY ELECTRIC INCORPORATED
230,6532138,KEMLY ELECTRIC INCORPORATED
231,6532130,LINDER ELECTRIC INCORPORATED
232,6532129,WIRED ELECTRIC INC
233,6532128,PERFORMANCE ELECTRIC INC.
234,6532126,LINDER ELECTRIC INCORPORATED
235,6532125,MASTERCRAFT ELECTRIC INC
236,6532124,M M COMFORT SYSTEMS
237,6532120,VALLEY ELEC CO OF MTVERNON INC
238,6532116,MCKINSTRY COMPANY LLC
239,6532115,VALLEY ELEC CO OF MTVERNON INC
240,6532113,"ACH HOMES, LLC, ASHLEY"
241,6532112,VALLEY ELEC CO OF MTVERNON INC
242,6532106,SEAHURST ELECTRIC INCORPORATED
243,6532110,ALL WIRE ELECTRIC INC
244,6532109,SEQUOYAH ELECTRIC LLC
245,6531869,WASHINGTON ENERGY SVCS CO LLC
246,6532105,SEQUOYAH ELECTRIC LLC
247,6531823,WASHINGTON ENERGY SVCS CO LLC
248,6531946,WASHINGTON ENERGY SVCS CO LLC
249,6532103,EXACT ELECTRIC LLC
250,6532100,HAGGARD ELECTRICAL CONTRACTING
251,6531902,ROB'S ELECTRIC INCORPORATED
252,6532098,EVERGREEN REFRIGERATION LLC
253,6532096,ALL CITY ELECTRIC INCORPORATED
254,6532092,THOMAS BELL ELECTRIC
255,6532087,ELMECCO INC
256,6532084,HI TEK ELECTRIC INC
257,6532078,CITADEL ELECTRIC LLC
258,6532080,ALL CITY ELECTRIC INCORPORATED
259,6532080,ALL CITY ELECTRIC INCORPORATED
260,6532080,ALL CITY ELECTRIC INCORPORATED
261,6532071,SERVICEMARK LLC
262,6532070,AS YOU WISH ELECTRIC
263,6532065,24/7 ELECTRICAL COMPANY
264,6531959,MCCOY ELECTRIC CO INC
265,6532055,FIRE PROTECTION INC
266,6532053,SAFE STREETS USA LLC
267,6532040,JOHNSON CONTROLS INC
268,6532039,ELECTRICAL SYS SOLUTIONS INC
269,6532007,"EVERGREEN POWER SYSTEMS, INC"
270,6532034,JOHNSON CONTROLS INC
271,6532026,PREFERRED ELECTRIC INC
272,6532027,"BECKETT, TODD"
273,6532020,PREFERRED ELECTRIC INC
274,6532013,BRENNAN HEATING COMPANY INC
275,6532013,BRENNAN HEATING COMPANY INC
276,6532012,SEATAC ELECTRIC INCORPORATED
277,6532010,TITAN ELECTRIC INC
278,6532009,KEMLY ELECTRIC INCORPORATED
279,6532002,ROB'S ELECTRIC INCORPORATED
280,6531999,EVERGREEN REFRIGERATION LLC
281,6531997,EVERGREEN REFRIGERATION LLC
282,6531996,EVERGREEN REFRIGERATION LLC
283,6531993,ROB'S ELECTRIC INCORPORATED
284,6531984,ROB'S ELECTRIC INCORPORATED
285,6531976,NORTHWEST ELECTRIC & SOLAR LLC
286,6531710,SEATOWN ELECTRIC CORP
287,6531975,GUARDIAN SECURITY SYSTEMS INC
288,6531574,WASHINGTON ENERGY SVCS CO LLC
289,6531971,FULLER ELECTRIC INCORPORATED
290,6531970,CASCADELINK INC
291,6531969,SME INC OF SEATTLE
292,6531969,SME INC OF SEATTLE
293,6531968,LARRY'S ELECTRIC
294,6531967,AS YOU WISH ELECTRIC
295,6531964,EXACT ELECTRIC LLC
296,6531957,FOUNTAIN LIGHT
297,6531956,ELECTRI-CITY INC
298,6531950,HOLLYWOOD LIGHTS INCORPORATED
299,6531945,COCHRAN INCORPORATED
300,6531942,SHORELINE ELECTRIC INC
301,6531941,PRIME ELECTRIC INCORPORATED
302,6531940,OVERLAKE ELECTRIC INCORPORATED
303,6531939,NEPTUNE ELECTRIC CO
304,6531938,RED HAWK FIRE/SECURTY (CA) LLC
305,6531937,YOUR ELECTRICAL SERVICES LLC
306,6531936,ADT LLC
307,6531935,ADT LLC
308,6531934,ADT LLC
309,6531933,ADT LLC
310,6531933,ADT LLC
311,6531932,PANAS ELECTRIC LLC
312,6531931,ADT LLC
313,6531930,ADT LLC
314,6531929,ADT LLC
315,6531929,ADT LLC
316,6531928,"AMERICAN HOME ALARMS, INC"
317,6531927,CBK ELECTRICAL INC
318,6531925,RESOUND ENERGY LLC
319,6531924,J & J ELECTRIC LLC
320,6531923,J & J ELECTRIC LLC
321,6531922,MAURO ELECTRIC INC
322,6531921,SHORELINE ELECTRIC INC
323,6531920,EASTLAKE ELECTRIC
324,6531919,EASTLAKE ELECTRIC
325,6531918,EASTLAKE ELECTRIC
326,6531915,LAKE WASHINGTON ELECT/TECH INC
327,6531914,CUSTOM TOUCH ELECTRIC LLC
328,6531913,TROY'S ELECTRIC
329,6531912,NWELECTRICIANSTODAY LLC
330,6531909,NWELECTRICIANSTODAY LLC
331,6531908,S T S REMODELING CORP
332,6531908,S T S REMODELING CORP
333,6531907,WILDERNESS ELECTRIC INC
334,6531906,AULT ELECTRIC COMPANY INC
335,6531905,LUMENKRAFT ELECTRIC LLC
336,6531901,PUGET SOUND SOLAR LLC
337,6531897,TITAN ELECTRIC INC
338,6531894,ALL CLIMATE HEATING & A/C LLC
339,6531894,ALL CLIMATE HEATING & A/C LLC
340,6531891,ARTISAN ELECTRIC INC
341,6531878,KOLKAY ELECTRIC INC
342,6531876,SKYLINE ELECTRIC SERVICES LLC
343,6531867,SEATAC ELECTRIC INCORPORATED
344,6531866,SIGN-TECH ELECTRIC LLC
345,6531857,EMERALD AIRE INCORPORATED
346,6531850,WEST COAST ELECTRICAL SVCS LLC
347,6531850,WEST COAST ELECTRICAL SVCS LLC
348,6531850,WEST COAST ELECTRICAL SVCS LLC
349,6531850,WEST COAST ELECTRICAL SVCS LLC
350,6531849,GARNER ELECTRIC WASHINGTON LLC
351,6531847,"PARKS, ERIC"
352,6531845,PROVIDENT ELECTRIC INC
353,6531843,COCHRAN INCORPORATED
354,6531827,NORTHSTAR ELECTRICAL LLC
355,6531826,TITAN ELECTRIC INC
356,6531528,"EVERGREEN POWER SYSTEMS, INC"
357,6531567,ROB'S ELECTRIC INCORPORATED
358,6531547,ROB'S ELECTRIC INCORPORATED
359,6531819,FORECAST ROOFING & SOLAR
360,6531812,KEITHLY ELECTRIC COMPANY
361,6531807,PROVIDENT ELECTRIC INC
362,6531804,PROVIDENT ELECTRIC INC
363,6531802,STEELE ELECTRIC COMPANY LLC
364,6531802,STEELE ELECTRIC COMPANY LLC
365,6531800,PROVIDENT ELECTRIC INC
366,6531799,"SCHAEFFER, GARY"
367,6531799,"SCHAEFFER, GARY"
368,6531793,PRIME ELECTRIC INCORPORATED
369,6531795,PRIME ELECTRIC INCORPORATED
370,6529677,PACIFIC AIR CONTROL INC
371,6531786,D K SYSTEMS INC
372,6531784,UNITY ELECTRIC LP
373,6531780,UNITY ELECTRIC LP
374,6531783,"EVERGREEN POWER SYSTEMS, INC"
375,6531781,WATTS ELECTRIC SERVICE INC
