id,type of activity
626,HOUSING / ZONING
627,HOUSING / ZONING
628,HOUSING / ZONING
629,CITATION
630,CITATION
631,CITATION
632,CONSTRUCTION
633,CITATION
634,CITATION
635,HOUSING / ZONING
636,CITATION
637,CITATION
638,TENANT RELOCATION ORDINANCE
639,CONSTRUCTION
640,CITATION
641,HOUSING / ZONING
642,HOUSING / ZONING
643,HOUSING / ZONING
644,HOUSING / ZONING
645,CITATION
646,VACANT BUILDING MONITORING
647,HOUSING / ZONING
648,VACANT BUILDING MONITORING
649,HOUSING / ZONING
650,CONSTRUCTION
651,HOUSING / ZONING
652,CITATION
653,CITATION
654,CONSTRUCTION
655,CONSTRUCTION
656,CITATION
657,HOUSING / ZONING
658,VACANT BUILDING MONITORING
659,CITATION
660,CITATION
661,HOUSING / ZONING
662,CONSTRUCTION
663,CITATION
664,CITATION
665,CITATION
666,CITATION
667,CITATION
668,HOUSING / ZONING
669,CONSTRUCTION
670,HOUSING / ZONING
671,CITATION
672,HOUSING / ZONING
673,HOUSING / ZONING
674,CITATION
675,HOUSING / ZONING
676,HOUSING / ZONING
677,HOUSING / ZONING
678,CITATION
679,CITATION
680,CITATION
681,CITATION
682,CONSTRUCTION
683,HOUSING / ZONING
684,HOUSING / ZONING
685,HOUSING / ZONING
686,HOUSING / ZONING
687,HOUSING / ZONING
688,HOUSING / ZONING
689,HOUSING / ZONING
690,HOUSING / ZONING
691,HOUSING / ZONING
692,HOUSING / ZONING
693,HOUSING / ZONING
694,HOUSING / ZONING
695,CITATION
696,CONSTRUCTION
697,CONSTRUCTION
698,CITATION
699,TENANT RELOCATION ORDINANCE
700,TENANT RELOCATION ORDINANCE
701,TENANT RELOCATION ORDINANCE
702,TENANT RELOCATION ORDINANCE
703,CITATION
704,CONSTRUCTION
705,CITATION
706,CONSTRUCTION
707,CONSTRUCTION
708,TENANT RELOCATION ORDINANCE
709,CONSTRUCTION
710,CONSTRUCTION
711,TENANT RELOCATION ORDINANCE
712,TENANT RELOCATION ORDINANCE
713,TENANT RELOCATION ORDINANCE
714,HOUSING / ZONING
715,CITATION
716,CONSTRUCTION
717,HOUSING / ZONING
718,HOUSING / ZONING
719,HOUSING / ZONING
720,HOUSING / ZONING
721,HOUSING / ZONING
722,HOUSING / ZONING
723,HOUSING / ZONING
724,CONSTRUCTION
725,CITATION
726,HOUSING / ZONING
727,TENANT RELOCATION ORDINANCE
728,HOUSING / ZONING
729,TENANT RELOCATION ORDINANCE
730,HOUSING / ZONING
731,CITATION
732,CITATION
733,HOUSING / ZONING
734,CITATION
735,CONSTRUCTION
736,CITATION
737,HOUSING / ZONING
738,CITATION
739,CITATION
740,CITATION
741,CITATION
742,CONSTRUCTION
743,CONSTRUCTION
744,HOUSING / ZONING
745,HOUSING / ZONING
746,HOUSING / ZONING
747,CITATION
748,HOUSING / ZONING
749,CITATION
750,CITATION
751,CITATION
752,CONSTRUCTION
753,CONSTRUCTION
754,TENANT RELOCATION ORDINANCE
755,CITATION
756,HOUSING / ZONING
757,CITATION
758,TENANT RELOCATION ORDINANCE
759,TENANT RELOCATION ORDINANCE
760,HOUSING / ZONING
761,CITATION
762,CITATION
763,CITATION
764,CITATION
765,HOUSING / ZONING
766,CONSTRUCTION
767,CITATION
768,CITATION
769,CITATION
770,CITATION
771,CITATION
772,CITATION
773,CONSTRUCTION
774,CITATION
775,CITATION
776,HOUSING / ZONING
777,HOUSING / ZONING
778,CONSTRUCTION
779,TENANT RELOCATION ORDINANCE
780,CITATION
781,CONSTRUCTION
782,CITATION
783,HOUSING / ZONING
784,HOUSING / ZONING
785,CITATION
786,HOUSING / ZONING
787,TENANT RELOCATION ORDINANCE
788,HOUSING / ZONING
789,HOUSING / ZONING
790,CITATION
791,HOUSING / ZONING
792,CITATION
793,CITATION
794,CITATION
795,CITATION
796,CITATION
797,CITATION
798,CITATION
799,HOUSING / ZONING
800,HOUSING / ZONING
801,CITATION
802,HOUSING / ZONING
803,CITATION
804,CITATION
805,CITATION
806,HOUSING / ZONING
807,HOUSING / ZONING
808,HOUSING / ZONING
809,TENANT RELOCATION ORDINANCE
810,CITATION
811,CONSTRUCTION
812,CITATION
813,CITATION
814,HOUSING / ZONING
815,HOUSING / ZONING
816,CITATION
817,CONSTRUCTION
818,CONSTRUCTION
819,HOUSING / ZONING
820,TENANT RELOCATION ORDINANCE
821,HOUSING / ZONING
822,TENANT RELOCATION ORDINANCE
823,CONSTRUCTION
824,HOUSING / ZONING
825,CITATION
826,CITATION
827,CITATION
828,CITATION
829,HOUSING / ZONING
830,CONSTRUCTION
831,TENANT RELOCATION ORDINANCE
832,CONSTRUCTION
833,CITATION
834,CITATION
835,CITATION
836,CONSTRUCTION
837,CITATION
838,HOUSING / ZONING
839,CITATION
840,CITATION
841,HOUSING / ZONING
842,CONSTRUCTION
843,CITATION
844,CITATION
845,HOUSING / ZONING
846,CITATION
847,HOUSING / ZONING
848,CONSTRUCTION
849,CONSTRUCTION
850,HOUSING / ZONING
851,HOUSING / ZONING
852,CITATION
853,CONSTRUCTION
854,HOUSING / ZONING
855,HOUSING / ZONING
856,CITATION
857,CITATION
858,CITATION
859,CONSTRUCTION
860,HOUSING / ZONING
861,HOUSING / ZONING
862,CITATION
863,CITATION
864,CITATION
865,CITATION
866,CITATION
867,CITATION
868,CITATION
869,TENANT RELOCATION ORDINANCE
870,HOUSING / ZONING
871,TENANT RELOCATION ORDINANCE
872,HOUSING / ZONING
873,HOUSING / ZONING
874,CITATION
875,CITATION
876,HOUSING / ZONING
877,CITATION
878,CITATION
879,HOUSING / ZONING
880,CONSTRUCTION
881,CITATION
882,CITATION
883,TENANT RELOCATION ORDINANCE
884,CONSTRUCTION
885,HOUSING / ZONING
886,HOUSING / ZONING
887,HOUSING / ZONING
888,HOUSING / ZONING
889,CITATION
890,CONSTRUCTION
891,CONSTRUCTION
892,HOUSING / ZONING
893,HOUSING / ZONING
894,CONSTRUCTION
895,HOUSING / ZONING
896,HOUSING / ZONING
897,HOUSING / ZONING
898,HOUSING / ZONING
899,HOUSING / ZONING
900,CITATION
901,HOUSING / ZONING
902,HOUSING / ZONING
903,CONSTRUCTION
904,HOUSING / ZONING
905,CITATION
906,CONSTRUCTION
907,CITATION
908,TENANT RELOCATION ORDINANCE
909,HOUSING / ZONING
910,CITATION
911,HOUSING / ZONING
912,HOUSING / ZONING
913,CONSTRUCTION
914,CITATION
915,CITATION
916,CITATION
917,CITATION
918,CONSTRUCTION
919,CONSTRUCTION
920,HOUSING / ZONING
921,CONSTRUCTION
922,CONSTRUCTION
923,CONSTRUCTION
924,HOUSING / ZONING
925,CONSTRUCTION
926,HOUSING / ZONING
927,CITATION
928,TENANT RELOCATION ORDINANCE
929,CITATION
930,CONSTRUCTION
931,CITATION
932,HOUSING / ZONING
933,CONSTRUCTION
934,HOUSING / ZONING
935,CONSTRUCTION
936,HOUSING / ZONING
937,TENANT RELOCATION ORDINANCE
938,HOUSING / ZONING
939,HOUSING / ZONING
940,CITATION
941,CONSTRUCTION
942,CITATION
943,CONSTRUCTION
944,CONSTRUCTION
945,CONSTRUCTION
946,CITATION
947,HOUSING / ZONING
948,CONSTRUCTION
949,TENANT RELOCATION ORDINANCE
950,TENANT RELOCATION ORDINANCE
951,HOUSING / ZONING
952,HOUSING / ZONING
953,CITATION
954,HOUSING / ZONING
955,HOUSING / ZONING
956,HOUSING / ZONING
957,CITATION
958,HOUSING / ZONING
959,HOUSING / ZONING
960,HOUSING / ZONING
961,CITATION
962,CITATION
963,CITATION
964,CITATION
965,HOUSING / ZONING
966,HOUSING / ZONING
967,CITATION
968,CITATION
969,CITATION
970,CITATION
971,HOUSING / ZONING
972,CITATION
973,CITATION
974,CITATION
975,CONSTRUCTION
976,CITATION
977,CONSTRUCTION
978,CITATION
979,CITATION
980,HOUSING / ZONING
981,CITATION
982,HOUSING / ZONING
983,CITATION
984,CITATION
985,CITATION
986,TENANT RELOCATION ORDINANCE
987,HOUSING / ZONING
988,HOUSING / ZONING
989,CITATION
990,HOUSING / ZONING
991,HOUSING / ZONING
992,HOUSING / ZONING
993,HOUSING / ZONING
994,HOUSING / ZONING
995,HOUSING / ZONING
996,HOUSING / ZONING
997,HOUSING / ZONING
998,CITATION
999,HOUSING / ZONING
1000,CITATION
1001,CITATION
1002,CITATION
1003,CITATION
1004,HOUSING / ZONING
1005,CONSTRUCTION
1006,CITATION
1007,CONSTRUCTION
1008,CITATION
1009,CITATION
1010,HOUSING / ZONING
1011,CITATION
1012,CITATION
1013,CITATION
1014,CONSTRUCTION
1015,CONSTRUCTION
1016,CONSTRUCTION
1017,CONSTRUCTION
1018,CONSTRUCTION
1019,CONSTRUCTION
1020,CONSTRUCTION
1021,CONSTRUCTION
1022,HOUSING / ZONING
1023,HOUSING / ZONING
1024,HOUSING / ZONING
1025,CITATION
1026,HOUSING / ZONING
1027,HOUSING / ZONING
1028,HOUSING / ZONING
1029,HOUSING / ZONING
1030,HOUSING / ZONING
1031,CONSTRUCTION
