id,date,result,case_id
360,3/16/2016,PASSED,
361,3/16/2016,FAILED,
362,3/16/2016,FAILED,
363,3/15/2016,,
364,3/15/2016,FAILED,
365,3/15/2016,PASSED,
366,3/15/2016,PASSED,
367,3/15/2016,FAILED,
368,3/15/2016,FAILED,
369,3/15/2016,PASSED,
370,3/15/2016,FAILED,
371,3/15/2016,FAILED,
372,3/15/2016,FAILED,
373,3/15/2016,FAILED,
374,3/15/2016,FAILED,
375,3/15/2016,FAILED,
376,3/15/2016,FAILED,
377,3/15/2016,FAILED,
378,3/15/2016,FAILED,
379,3/15/2016,FAILED,
380,3/15/2016,PASSED,
381,3/15/2016,FAILED,
382,3/15/2016,FAILED,
383,3/15/2016,PASSED,
384,3/15/2016,PASSED,
385,3/15/2016,PASSED,
386,3/14/2016,PASSED,
387,3/14/2016,FAILED,
388,3/14/2016,FAILED,
389,3/14/2016,PASSED,
390,3/14/2016,PASSED,
391,3/14/2016,FAILED,
392,3/14/2016,FAILED,
393,3/14/2016,FAILED,
394,3/9/2016,FAILED,
395,3/14/2016,PASSED,
396,3/14/2016,PASSED,
397,3/14/2016,PASSED,
398,3/14/2016,PASSED,
399,3/14/2016,PASSED,
400,3/14/2016,FAILED,
401,3/14/2016,PASSED,
402,3/11/2016,FAILED,
403,3/11/2016,PASSED,
404,3/11/2016,PASSED,
405,3/11/2016,FAILED,
406,3/11/2016,PASSED,
407,3/11/2016,,
408,3/11/2016,PASSED,
409,3/11/2016,PASSED,
410,3/11/2016,FAILED,
411,3/9/2016,FAILED,
412,3/11/2016,FAILED,
413,3/10/2016,,
414,3/10/2016,FAILED,
415,3/10/2016,PASSED,
416,3/10/2016,PASSED,
417,3/10/2016,PASSED,
418,3/10/2016,PASSED,
419,3/10/2016,FAILED,
420,3/10/2016,FAILED,
421,3/10/2016,FAILED,
422,3/10/2016,FAILED,
423,3/10/2016,PASSED,
424,3/10/2016,FAILED,
425,3/9/2016,PASSED,
426,3/9/2016,,
427,3/9/2016,PASSED,
428,3/9/2016,PASSED,
429,3/9/2016,PASSED,
430,3/9/2016,FAILED,
431,3/9/2016,FAILED,
432,3/9/2016,PASSED,
433,3/9/2016,PASSED,
434,3/9/2016,FAILED,
435,3/9/2016,,
436,3/9/2016,PASSED,
437,3/9/2016,,
438,3/9/2016,PASSED,
439,3/9/2016,PASSED,
440,3/8/2016,,
441,3/8/2016,FAILED,
442,3/8/2016,PASSED,
443,3/8/2016,PASSED,
444,3/8/2016,PASSED,
445,3/8/2016,FAILED,
446,3/8/2016,PASSED,
447,3/8/2016,PASSED,
448,3/8/2016,FAILED,
449,3/8/2016,,
450,3/8/2016,PASSED,
451,3/8/2016,FAILED,
452,3/8/2016,FAILED,
453,3/8/2016,FAILED,
454,3/8/2016,FAILED,
455,3/8/2016,FAILED,
456,3/8/2016,PASSED,
457,3/8/2016,FAILED,
458,3/7/2016,PASSED,
459,3/7/2016,PASSED,
460,3/7/2016,PASSED,
461,3/7/2016,PASSED,
462,3/7/2016,PASSED,
463,3/7/2016,PASSED,
464,3/3/2016,FAILED,
465,3/7/2016,PASSED,
466,3/7/2016,,
467,3/7/2016,PASSED,
468,3/7/2016,PASSED,
469,3/7/2016,PASSED,
