id,feature_desc,child_desc_id,field_type_id
889,Basketball (Half),,
890,Paths,,
891,Paths (ADA Compliant),,
892,Play Area (ADA Compliant),,
893,Restrooms,,
894,Restrooms (ADA Compliant),,
895,Soccer,,
896,P-Patch Community Garden,,
897,View,,
898,Boat Launch (Hand Carry),,
899,Hiking Trails,,
900,Paths,,
901,View,,
902,Waterfront,,
903,Paths,,
904,View,,
905,Boat Launch (Hand Carry),,
906,Creek,,
907,Guarded Beach,,
908,Hiking Trails,,
909,Paths,,
910,Picnic Sites,,
911,Play Area (ADA Compliant),,
912,Restrooms,,
913,Restrooms (ADA Compliant),,
914,View,,
915,Waterfront,,
916,Pesticide Free,,
917,Play Area (ADA Compliant),,
918,View,,
919,Baseball/Softball,,
920,Baseball/Softball,,
921,Baseball/Softball,,
922,Community Center,,
923,Creek,,
924,Paths,,
925,Play Area (ADA Compliant),,
926,Pool (Indoor),,
927,Restrooms,,
928,Restrooms (ADA Compliant),,
929,Tennis Court (Outdoor),,
930,Tennis Court (Outdoor),,
931,Tennis Court (Outdoor),,
932,Tennis Court (Outdoor),,
933,Tennis Court (Outdoor),,
934,Tennis Court (Outdoor),,
935,Tennis Lights,,
936,Green Space,,
937,Woods,,
938,Paths,,
939,Picnic Sites,,
940,Woods,,
941,Basketball (Half),,
942,Basketball (Half),,
943,Pesticide Free,,
944,Picnic Sites,,
945,Play Area,,
946,Restrooms,,
947,Weddings and Ceremonies,,
948,Baseball/Softball,,
949,Baseball/Softball,,
950,Basketball (Full),,
951,Community Center,,
952,Decorative Fountain,,
953,Play Area (ADA Compliant),,
954,Restrooms,,
955,Soccer,,
956,Tennis Court (Outdoor),,
957,Tennis Court (Outdoor),,
958,Tennis Lights,,
959,Wading Pool or Water Feature,,
960,Disc Golf,,
961,Paths,,
962,Green Space,,
963,Baseball/Softball,,
964,Community Center,,
965,Football,,
966,Paths,,
967,Paths (ADA Compliant),,
968,Play Area,,
969,Restrooms,,
970,Restrooms (ADA Compliant),,
971,Soccer,,
972,Tennis Court (Outdoor),,
973,Tennis Court (Outdoor),,
974,Track,,
975,View,,
976,Waterfront,,
977,Creek,,
978,Fishing,,
979,Guarded Beach,,
980,Hiking Trails,,
981,Paths,,
982,Play Area (ADA Compliant),,
983,Restrooms,,
984,Restrooms (ADA Compliant),,
985,Tennis Court (Outdoor),,
986,Tennis Court (Outdoor),,
987,Tennis Lights,,
988,View,,
989,Waterfront,,
990,Weddings and Ceremonies,,
991,Woods,,
992,View,,
993,View,,
994,Bike Trail,,
995,Paths,,
996,Paths (ADA Compliant),,
997,View,,
998,Waterfront,,
999,Play Area (ADA Compliant),,
1000,Paths,,
1001,Creek,,
1002,Green Space,,
1003,Woods,,
1004,View,,
1005,Waterfront,,
1006,Baseball/Softball,,
1007,Baseball/Softball,,
1008,Dog Off Leash Area,,
1009,Hiking Trails,,
1010,Paths,,
1011,Picnic Sites,,
1012,Play Area (ADA Compliant),,
1013,Restrooms,,
1014,Restrooms (ADA Compliant),,
1015,Soccer,,
1016,Wading Pool or Water Feature,,
1017,Woods,,
1018,Green Space,,
1019,Hiking Trails,,
1020,Woods,,
1021,Pesticide Free,,
1022,Play Area (ADA Compliant),,
1023,View,,
1024,Waterfront,,
1025,View,,
1026,Tennis Court (Outdoor),,
1027,Tennis Court (Outdoor),,
1028,Tennis Court (Outdoor),,
1029,Decorative Fountain,,
1030,Paths,,
1031,Restrooms,,
1032,Tidelands,,
1033,Waterfront,,
1034,Green Space,,
1035,Basketball (Full),,
1036,Basketball (Full),,
1037,Basketball (Half),,
1038,Basketball (Half),,
1039,Paths,,
1040,Picnic Sites,,
1041,Play Area (ADA Compliant),,
1042,Restrooms,,
1043,Restrooms (ADA Compliant),,
1044,Play Area,,
1045,P-Patch Community Garden,,
1046,Garden,,
1047,Historic Landmark,,
1048,Weddings and Ceremonies,,
1049,View,,
1050,Green Space,,
1051,Play Area (ADA Compliant),,
1052,Restrooms,,
1053,Restrooms (ADA Compliant),,
1054,Wading Pool or Water Feature,,
1055,View,,
1056,Green Space,,
1057,Hiking Trails,,
1058,Woods,,
1059,Baseball/Softball,,
1060,Basketball (Half),,
1061,Play Area (ADA Compliant),,
1062,Restrooms,,
1063,Soccer,,
1064,Soccer,,
1065,Decorative Fountain,,
1066,Historic Landmark,,
1067,Green Space,,
1068,Play Area (ADA Compliant),,
1069,Dog Off Leash Area,,
1070,View,,
1071,Basketball (Full),,
1072,Play Area (ADA Compliant),,
1073,Restrooms,,
1074,Restrooms (ADA Compliant),,
1075,Wading Pool or Water Feature,,
1076,Basketball (Full),,
1077,Basketball (Half),,
1078,Basketball (Half),,
1079,Basketball (Half),,
1080,Basketball (Half),,
1081,Decorative Fountain,,
1082,Paths,,
1083,Paths (ADA Compliant),,
1084,Picnic Sites,,
1085,Play Area (ADA Compliant),,
1086,Restrooms,,
1087,Restrooms (ADA Compliant),,
1088,Wading Pool or Water Feature,,
1089,Decorative Fountain,,
1090,Basketball (Half),,
1091,Play Area,,
1092,Guarded Beach,,
1093,Paths,,
1094,Rental Facility,,
1095,Restrooms,,
1096,Restrooms (ADA Compliant),,
1097,View,,
1098,Waterfront,,
1099,Weddings and Ceremonies,,
1100,Lawn Bowling,,
1101,P-Patch Community Garden,,
1102,Woods,,
1103,Green Space,,
1104,Creek,,
1105,Hiking Trails,,
1106,Woods,,
1107,Play Area (ADA Compliant),,
1108,Historic Landmark,,
1109,Restrooms,,
1110,Soccer,,
1111,Track,,
1112,Paths,,
1113,View,,
1114,Baseball/Softball,,
1115,Baseball/Softball,,
1116,Community Center,,
1117,Play Area (ADA Compliant),,
1118,Pool (Indoor),,
1119,Restrooms,,
1120,Green Space,,
1121,Restrooms (ADA Compliant),,
1122,Soccer,,
1123,Tennis Court (Outdoor),,
1124,Tennis Court (Outdoor),,
1125,Tennis Court (Outdoor),,
1126,Tennis Court (Outdoor),,
1127,Tennis Lights,,
1128,Baseball/Softball,,
1129,Baseball/Softball,,
1130,Baseball/Softball,,
1131,Basketball (Full),,
1132,Community Center,,
1133,Football,,
1134,Play Area (ADA Compliant),,
