id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
343,6530638,5000 30TH AVE NE,,,
344,6531193,521 N 75TH ST,,,
345,6531193,521 N 75TH ST,,,
346,6531196,7553 9TH AVE NW,,,
347,6531186,317 SENECA ST,,,
348,6531183,7606 7TH AVE SW,,,
349,6531174,820 4TH AVE,,,
350,6531168,6530 23RD AVE NE,,,
351,6530733,80 S MAIN ST,,,
352,6529463,5717 39TH AVE S,,,
353,6529467,3506 S PORTLAND ST,,,
354,6530819,8308 14TH AVE NW,,,
355,6530629,233 E SHELBY ST,,,
356,6530630,229 E SHELBY ST,,,
357,6530855,8038 28TH AVE NW,,,
358,6530855,8038 28TH AVE NW,,,
359,6530855,8038 28TH AVE NW,,,
360,6530855,8038 28TH AVE NW,,,
361,6530853,3871 46TH AVE NE,,,
362,6530854,3871 46TH AVE NE,,,
363,6530624,1901 WESTERN AVE,,,
364,6530852,8038 28TH AVE NW,,,
365,6530852,8038 28TH AVE NW,,,
366,6530852,8038 28TH AVE NW,,,
367,6530852,8038 28TH AVE NW,,,
368,6530869,1959 NE PACIFIC ST,,,
369,6529998,1023 E ALDER ST,,,
370,6531128,7960 46TH AVE S,,,
371,6531125,9217 3RD AVE NW,,,
372,6530633,9107 FAUNTLEROY WAY SW,,,
373,6531124,1944 4TH AVE W,,,
374,6531123,10133 RAINIER AVE S,,,
375,6530628,300 BOREN AVE N,,,
376,6531051,6000 16TH AVE SW,,,
377,6531036,1420 5TH AVE,,,
378,6531047,1570 N 115TH ST,,,
379,6531034,1118 N 77TH ST,,,
380,6531024,7022 30TH PL SW,,,
381,6531027,6830 31ST AVE SW,,,
382,6531026,7008 30TH PL SW,,,
383,6530807,1207 PARKSIDE DR E,,,
384,6530810,1207 PARKSIDE DR E,,,
385,6530938,2649 46TH AVE SW,,,
386,6530936,415 30TH AVE S,,,
387,6530932,415 30TH AVE S,,,
388,6530910,12036 38TH AVE NE,,,
389,6530931,6541 32ND AVE NE,,,
390,6531021,4011 6TH AVE S,,,
391,6531020,8905 FREMONT AVE N,,,
392,6531019,1806 NE 55TH ST,,,
393,6531018,1911 4TH AVE N,,,
394,6531017,13203 2ND AVE NW,,,
395,6531010,6613 BEACON AVE S,,,
396,6531016,815 NW 88TH ST,,,
397,6530821,2308 N 55TH ST,,,
398,6531014,1421 21ST AVE,,,
399,6531003,6531 35TH AVE SW,,,
400,6531003,6531 35TH AVE SW,,,
401,6530594,3714 38TH AVE S,,,
402,6531001,9550 1ST AVE NE,,,
403,6531002,2815 E ALOHA ST,,,
404,6531002,2815 E ALOHA ST,,,
405,6530998,947 26TH AVE,,,
