id,PermitType,PermitNumber,PerrmitStatus 
27810,Construction,6341411,Permit Closed
27811,Construction,6338719,Permit Closed
27812,Construction,6336705,Permit Closed
27813,Construction,6337051,Permit Closed
27814,Construction,6341394,Permit Closed
27815,Construction,6339966,Permit Closed
27816,Construction,6338049,Permit Issued
27817,Construction,6341386,Permit Closed
27818,Construction,6289114,Permit Closed
27819,Construction,6341344,Permit Closed
27820,Construction,6289087,Permit Closed
27821,Construction,6341363,Permit Closed
27822,Construction,6341356,Permit Closed
27823,Construction,6341351,Permit Closed
27824,Construction,6341346,Permit Closed
27825,Construction,6341342,Permit Closed
27826,Construction,6336578,Permit Closed
27827,Construction,6329380,Permit Closed
27828,Construction,6337526,Permit Closed
27829,Construction,6341256,Permit Closed
27830,Construction,6335589,Permit Closed
27831,Demolition,6341247,Permit Closed
27832,Construction,6341257,Permit Closed
27833,Construction,6337883,Permit Closed
27834,Construction,6338718,Permit Closed
27835,Construction,6290775,Application Accepted
27836,Construction,6339093,Application Accepted
27837,Construction,6341058,Permit Closed
27838,Construction,6341199,Permit Closed
27839,Construction,6338570,Permit Closed
27840,Demolition,6328750,Permit Closed
27841,Demolition,6328749,Permit Closed
27842,Demolition,6328748,Permit Closed
27843,Construction,6337129,Permit Closed
27844,Construction,6338469,Permit Closed
27845,Construction,6328284,Permit Issued
27846,Construction,6341089,Permit Closed
27847,Construction,6338721,Permit Closed
27848,Construction,6338710,Permit Closed
27849,Construction,6341132,Permit Closed
27850,Construction,6338756,Permit Closed
27851,Construction,6339446,Permit Closed
27852,Construction,6339015,Permit Closed
27853,Construction,6322110,Permit Closed
27854,Construction,6322155,Permit Closed
27855,Construction,6338878,Permit Closed
27856,Construction,6328492,Permit Closed
27857,Construction,6339570,Permit Closed
27858,Construction,6327126,Permit Closed
27859,Construction,6317122,Permit Closed
27860,Construction,6276074,Permit Closed
27861,Construction,6340855,Permit Closed
27862,Construction,6335911,Permit Closed
27863,Construction,6324793,Permit Closed
27864,Construction,6331770,Permit Closed
27865,Construction,6341019,Permit Closed
27866,Construction,6338538,Permit Closed
27867,Demolition,6317849,Permit Closed
27868,Construction,6333186,Permit Closed
27869,Construction,6340939,Permit Closed
27870,Construction,6340394,Permit Closed
27871,Construction,6340930,Permit Closed
27872,Demolition,6330555,Permit Closed
27873,Construction,6340920,Permit Issued
27874,Construction,6337413,Permit Closed
27875,Construction,6340804,Permit Issued
27876,Construction,6336108,Permit Closed
27877,Construction,6340863,Permit Closed
27878,Construction,6340705,Permit Closed
27879,Construction,6337537,Permit Closed
27880,Construction,6340817,Permit Issued
27881,Construction,6327853,Permit Closed
27882,Construction,6338906,Permit Closed
27883,Construction,6339976,Permit Closed
27884,Construction,6339749,Permit Closed
27885,Construction,6339607,Permit Closed
27886,Construction,6340779,Permit Closed
27887,Construction,6339553,CANCELLED
27888,Construction,6340703,Permit Closed
27889,Construction,6156168,Permit Closed
27890,Construction,6328546,Permit Closed
27891,Construction,6321975,Permit Closed
27892,Construction,6340683,Permit Closed
27893,Construction,6340380,Application Accepted
27894,Construction,6334368,Permit Closed
27895,Construction,6340675,Permit Closed
27896,Construction,6338709,Permit Closed
27897,Demolition,6340663,Permit Closed
27898,Construction,6334139,Permit Closed
27899,Construction,6340662,Permit Closed
27900,Construction,6340661,Permit Closed
27901,Construction,6336346,Permit Closed
27902,Construction,6325531,Permit Closed
27903,Construction,6340665,Permit Closed
27904,Construction,6334967,Permit Issued
27905,Construction,6340305,Permit Closed
27906,Construction,6334785,Permit Issued
27907,Construction,6340648,Permit Issued
27908,Construction,6340645,Permit Closed
27909,Construction,6334102,Permit Closed
27910,Construction,6334560,Permit Closed
27911,Construction,6340629,Permit Closed
27912,Construction,6326819,Permit Closed
27913,Construction,6326818,Permit Closed
27914,Construction,6326817,Permit Closed
27915,Construction,6326816,Permit Closed
27916,Construction,6326815,Permit Closed
27917,Construction,6326813,Permit Closed
27918,Construction,6336179,Permit Closed
27919,Construction,6337165,Permit Issued
27920,Construction,6340223,Permit Closed
27921,Construction,6340345,Permit Closed
27922,Construction,6336090,Permit Closed
27923,Construction,6315713,Permit Closed
27924,Construction,6340512,Permit Closed
27925,Construction,6332626,Permit Issued
27926,Construction,6246847,
27927,Construction,6340379,Permit Closed
27928,Construction,6339362,Permit Closed
27929,Construction,6284138,Permit Closed
27930,Construction,6340485,Permit Closed
27931,Construction,6337636,Permit Closed
27932,Construction,6340484,Permit Closed
27933,Demolition,6334317,Permit Closed
27934,Construction,6340230,Permit Closed
27935,Construction,6339065,Permit Closed
27936,Construction,6335888,Permit Closed
27937,Construction,6312297,Permit Issued
27938,Construction,6336623,Permit Closed
27939,Construction,6339834,Permit Closed
27940,Construction,6339833,CANCELLED
27941,Construction,6331240,Permit Issued
27942,Construction,6340321,Permit Closed
27943,Construction,6340300,Permit Closed
27944,Construction,6340270,Permit Closed
27945,Construction,6340268,Permit Closed
27946,Construction,6337580,Permit Closed
27947,Construction,6337563,Permit Closed
27948,Construction,6332925,Permit Closed
27949,Construction,6330284,Permit Closed
27950,Construction,6337571,Permit Closed
27951,Construction,6326612,Permit Closed
27952,Construction,6336695,Permit Closed
27953,Construction,6336654,Permit Closed
27954,Construction,6339573,Permit Closed
27955,Construction,6340149,Permit Issued
27956,Construction,6340159,Permit Closed
27957,Construction,6340164,Permit Issued
27958,Construction,6338726,Application Accepted
27959,Construction,6340142,Permit Closed
27960,Construction,6339520,Permit Closed
27961,Demolition,6340150,Permit Closed
27962,Construction,6335178,Cert of Occupancy Authorized
27963,Construction,6339743,Permit Closed
27964,Construction,6330151,Permit Closed
27965,Construction,6327067,Permit Closed
27966,Construction,6340126,Permit Closed
27967,Construction,6334439,Permit Closed
27968,Construction,6339738,Permit Finaled
27969,Construction,6340119,Permit Closed
27970,Construction,6340116,Permit Closed
27971,Construction,6340108,Permit Closed
27972,Construction,6338181,Permit Finaled
27973,Construction,6339993,Permit Closed
27974,Construction,6340089,Permit Closed
27975,Construction,6340077,Permit Closed
27976,Construction,6337440,Permit Closed
27977,Construction,6338369,Permit Closed
27978,Construction,6326920,Permit Issued
27979,Construction,6340069,Permit Closed
27980,Construction,6340051,Permit Closed
27981,Construction,6340043,Permit Closed
27982,Construction,6326096,Permit Closed
27983,Construction,6340000,Permit Closed
27984,Demolition,6339831,Permit Closed
27985,Construction,6314346,Permit Closed
27986,Construction,6326618,Permit Closed
27987,Construction,6339990,Permit Closed
27988,Construction,6339991,Permit Closed
27989,Construction,6336384,Permit Closed
27990,Construction,6337527,Permit Closed
27991,Construction,6336943,Permit Closed
27992,Construction,6339987,Permit Closed
27993,Construction,6339985,Permit Closed
27994,Construction,6338642,Permit Closed
27995,Construction,6339071,Permit Closed
27996,Construction,6338547,Permit Closed
27997,Construction,6339967,Permit Closed
27998,Construction,6339963,Permit Closed
27999,Construction,6334227,Permit Closed
28000,Construction,6335940,Permit Closed
28001,Construction,6333824,Permit Closed
28002,Construction,6324905,Permit Finaled
28003,Construction,6335935,Permit Closed
28004,Construction,6339935,Permit Closed
28005,Construction,6339928,Permit Closed
28006,Construction,6339904,Permit Closed
28007,Construction,6319718,Application Accepted
28008,Construction,6339054,Reviews Completed
28009,Construction,6339057,Permit Closed
28010,Construction,6339829,Permit Closed
28011,Construction,6323168,Permit Closed
28012,Construction,6339816,Permit Closed
28013,Construction,6336809,Permit Closed
28014,Construction,6339804,Permit Closed
28015,Construction,6339630,Permit Issued
28016,Construction,6311280,Permit Closed
28017,Construction,6339790,Permit Closed
28018,Construction,6336998,Permit Closed
28019,Demolition,6339763,Permit Closed
28020,Construction,6335731,Permit Closed
28021,Construction,6334822,Permit Closed
28022,Construction,6339704,Permit Closed
28023,Construction,6339709,Permit Closed
28024,Construction,6339402,Permit Closed
28025,Construction,6339745,Permit Closed
28026,Construction,6339740,Permit Closed
28027,Construction,6339652,Permit Closed
28028,Construction,6339700,Permit Closed
28029,Construction,6335125,Permit Closed
28030,Construction,6213427,Initial Information Collected
28031,Construction,6335943,Permit Closed
28032,Construction,6336401,Application Accepted
28033,Construction,6336958,Permit Closed
28034,Construction,6339311,Permit Closed
28035,Construction,6330509,Permit Closed
28036,Construction,6329576,Permit Closed
28037,Construction,6339624,Permit Closed
28038,Construction,6337089,Permit Closed
28039,Construction,6339620,Permit Closed
28040,Construction,6339609,Permit Closed
28041,Construction,6331606,Permit Closed
28042,Construction,6337600,Permit Closed
28043,Construction,6339551,Permit Closed
28044,Construction,6339557,Permit Closed
28045,Construction,6252954,Initial Information Collected
28046,Construction,6338686,Permit Closed
28047,Construction,6336136,Permit Closed
28048,Site Development,6339518,AP Closed
28049,Construction,6335694,Permit Issued
28050,Construction,6338336,Permit Closed
28051,Construction,6320011,Application Accepted
28052,Construction,6338363,Permit Closed
28053,Construction,6339415,Permit Closed
28054,Construction,6339414,Permit Closed
28055,Construction,6337517,Permit Closed
28056,Construction,6283622,Permit Closed
28057,Construction,6310324,Permit Closed
28058,Demolition,6325354,Permit Closed
28059,Demolition,6339348,Permit Closed
28060,Construction,6339339,Permit Closed
28061,Construction,6329841,Permit Closed
28062,Construction,6339326,Permit Closed
28063,Construction,6337138,Permit Closed
28064,Construction,6335722,Permit Closed
28065,Construction,6337135,Permit Closed
28066,Construction,6335988,Permit Closed
28067,Construction,6337058,Permit Closed
28068,Construction,6335937,Permit Closed
28069,Construction,6304715,Permit Closed
28070,Construction,6339317,Permit Closed
28071,Construction,6337253,Permit Closed
28072,Construction,6332446,Permit Closed
28073,Construction,6339264,Permit Closed
28074,Demolition,6339303,Permit Closed
28075,Construction,6323910,Permit Closed
28076,Construction,6300423,Permit Closed
28077,Construction,6339273,Permit Closed
28078,Construction,6312158,Permit Closed
28079,Demolition,6339263,Permit Closed
28080,Demolition,6339256,Permit Closed
28081,Construction,6339260,Permit Closed
28082,Construction,6332842,Permit Closed
28083,Construction,6337556,Permit Closed
28084,Construction,6335938,Permit Closed
28085,Demolition,6339231,Permit Closed
28086,Construction,6334746,Permit Closed
28087,Construction,6336281,Permit Closed
28088,Construction,6335602,Permit Finaled
28089,Construction,6331275,Permit Closed
28090,Construction,6339188,Permit Closed
28091,Construction,6338390,Permit Closed
28092,Construction,6487663,
28093,Construction,6334832,Permit Issued
28094,Construction,6339182,CANCELLED
28095,Construction,6339167,Permit Closed
28096,Construction,6339164,Permit Closed
28097,Construction,6339163,Permit Closed
28098,Construction,6329012,Permit Closed
28099,Demolition,6335844,Permit Closed
28100,Construction,6338056,Permit Closed
28101,Construction,6334124,Permit Closed
28102,Construction,6339158,Permit Closed
28103,Construction,6339166,Permit Closed
28104,Construction,6335457,Application Accepted
28105,Construction,6333946,Permit Closed
28106,Construction,6336361,Permit Closed
28107,Construction,6336483,Permit Closed
28108,Construction,6337533,Permit Closed
28109,Construction,6337310,Permit Closed
28110,Construction,6333057,Permit Closed
28111,Construction,6334880,Permit Closed
28112,Construction,6339077,Permit Closed
28113,Construction,6333501,Permit Issued
28114,Construction,6338055,Permit Issued
28115,Construction,6339031,Permit Closed
28116,Construction,6339019,Permit Closed
28117,Construction,6339007,Permit Closed
28118,Construction,6339001,Permit Closed
28119,Construction,6337313,Permit Closed
28120,Construction,6338933,Permit Closed
28121,Construction,6336002,Permit Closed
28122,Demolition,6338661,Permit Closed
28123,Construction,6333275,Permit Finaled
28124,Construction,6338660,Permit Closed
28125,Construction,6338951,Permit Closed
28126,Construction,6334846,Permit Closed
28127,Construction,6336267,Permit Closed
28128,Construction,6336252,Permit Closed
28129,Construction,6334611,Permit Closed
28130,Construction,6332463,Permit Closed
28131,Construction,6337403,Permit Closed
28132,Construction,6328385,Permit Closed
28133,Construction,6332240,Permit Closed
28134,Construction,6336372,Application Accepted
28135,Demolition,6338376,Permit Closed
28136,Construction,6185293,Initial Information Collected
28137,Construction,6338527,Permit Closed
28138,Demolition,6308767,Permit Issued
28139,Construction,6336425,Permit Closed
28140,Site Development,6338773,AP Closed
28141,Construction,6333970,Permit Closed
28142,Construction,6338765,Permit Closed
28143,Construction,6338168,Permit Closed
28144,Site Development,6338394,AP Closed
28145,Construction,6338742,Permit Closed
28146,Construction,6338732,Permit Closed
28147,Construction,6335829,Permit Closed
28148,Site Development,6338543,AP Closed
28149,Construction,6338346,Permit Closed
28150,Construction,6330059,Permit Closed
28151,Construction,6338695,Permit Closed
28152,Construction,6338707,Permit Closed
28153,Construction,6338693,Permit Closed
28154,Construction,6338684,Permit Closed
28155,Construction,6338683,Permit Closed
28156,Construction,6334135,Permit Issued
28157,Construction,6331958,Permit Closed
28158,Demolition,6338607,Permit Closed
28159,Construction,6338606,Permit Closed
28160,Construction,6337786,Permit Issued
28161,Construction,6338581,Permit Closed
28162,Construction,6335945,Permit Closed
28163,Construction,6338561,Permit Closed
28164,Construction,6338375,Permit Closed
28165,Construction,6334073,Permit Closed
28166,Construction,6338110,Permit Issued
28167,Demolition,6330644,Permit Closed
28168,Construction,6338474,Permit Closed
28169,Construction,6333526,Permit Issued
28170,Construction,6338501,Permit Closed
28171,Construction,6338476,Permit Closed
28172,Construction,6333356,Permit Closed
28173,Construction,6333530,Permit Closed
28174,Construction,6319437,Permit Closed
28175,Construction,6338026,Permit Issued
28176,Construction,6334133,Permit Issued
28177,Construction,6332920,Permit Closed
28178,Construction,6332961,Permit Closed
28179,Demolition,6319439,Reviews Completed
28180,Construction,6261910,Permit Issued
28181,Construction,6331773,Permit Closed
28182,Demolition,6300191,Permit Closed
28183,Construction,6338008,Permit Closed
28184,Construction,6327117,Permit Closed
28185,Construction,6338010,Permit Closed
28186,Construction,6338005,Permit Closed
28187,Construction,6338385,Permit Closed
28188,Construction,6338015,Permit Closed
28189,Construction,6332739,Permit Issued
28190,Construction,6338345,Permit Issued
28191,Demolition,6326156,Permit Closed
28192,Construction,6338095,Permit Closed
28193,Construction,6338094,Permit Closed
28194,Construction,6338093,Permit Closed
28195,Construction,6338362,Permit Closed
28196,Construction,6337853,Permit Closed
28197,Construction,6323362,Permit Closed
28198,Construction,6338359,Permit Closed
28199,Construction,6338012,Permit Closed
28200,Construction,6334910,Permit Closed
28201,Site Development,6337085,AP Closed
28202,Construction,6338348,Permit Closed
28203,Construction,6332908,Permit Closed
28204,Construction,6338341,Permit Closed
28205,Construction,6338343,Permit Closed
28206,Construction,6338326,Permit Closed
28207,Construction,6337290,Permit Closed
28208,Construction,6336635,Permit Closed
28209,Construction,6337928,Permit Closed
28210,Construction,6338287,Permit Closed
28211,Construction,6335168,Permit Closed
28212,Construction,6338272,Permit Closed
28213,Construction,6338270,Permit Closed
28214,Construction,6300492,Permit Closed
28215,Construction,6335511,Permit Closed
28216,Construction,6337206,Permit Closed
28217,Construction,6332236,Permit Closed
28218,Construction,6337207,Permit Closed
28219,Construction,6337208,Permit Closed
28220,Construction,6334548,Permit Closed
28221,Construction,6337037,Permit Closed
28222,Construction,6333496,Permit Closed
28223,Construction,6338148,Permit Issued
28224,Construction,6330815,Permit Closed
28225,Construction,6278785,Application Accepted
28226,Construction,6338229,Permit Closed
28227,Construction,6332064,Permit Closed
28228,Construction,6338202,Permit Closed
28229,Construction,6308640,Permit Closed
28230,Construction,6338219,Permit Closed
28231,Construction,6335322,Permit Closed
28232,Construction,6332266,Permit Closed
28233,Construction,6338191,Permit Closed
28234,Construction,6332514,Permit Closed
28235,Construction,6338195,Permit Closed
28236,Construction,6338186,Permit Closed
28237,Construction,6332875,Permit Closed
28238,Construction,6338175,Permit Closed
28239,Construction,6338027,Permit Closed
28240,Construction,6324993,Permit Closed
28241,Construction,6338162,Permit Closed
28242,Construction,6338160,Permit Closed
28243,Construction,6330981,Permit Issued
28244,Construction,6338133,Permit Closed
28245,Construction,6338052,Permit Closed
28246,Construction,6334410,Permit Closed
28247,Construction,6328774,Permit Closed
28248,Construction,6331570,Permit Closed
28249,Demolition,6322811,Permit Closed
28250,Construction,6334653,Permit Closed
28251,Construction,6337592,Permit Closed
28252,Construction,6290261,Permit Closed
28253,Demolition,6338004,Permit Closed
28254,Construction,6330185,Permit Closed
28255,Construction,6335143,Permit Closed
28256,Construction,6337606,Permit Closed
28257,Construction,6333367,Permit Closed
28258,Construction,6337968,Permit Closed
28259,Demolition,6337765,Permit Closed
28260,Construction,6337948,Permit Closed
28261,Site Development,6336374,AP Closed
28262,Construction,6333969,Reviews Completed
28263,Construction,6337934,Permit Closed
28264,Construction,6329687,Permit Closed
28265,Construction,6337219,Permit Closed
28266,Construction,6333443,Permit Closed
28267,Construction,6337839,Permit Closed
28268,Construction,6329048,Permit Closed
28269,Construction,6337228,Permit Closed
28270,Construction,6337247,Permit Closed
28271,Construction,6337825,Permit Issued
28272,Construction,6328148,Permit Issued
28273,Construction,6333403,Permit Closed
28274,Construction,6334407,Permit Closed
28275,Construction,6335629,Permit Closed
28276,Construction,6337809,Permit Closed
28277,Construction,6333002,Permit Closed
28278,Construction,6337807,Permit Closed
28279,Construction,6335998,Permit Closed
28280,Construction,6299153,Permit Closed
28281,Construction,6337790,Permit Closed
28282,Construction,6337747,Permit Closed
28283,Construction,6337749,Permit Closed
28284,Site Development,6232382,AP Closed
28285,Construction,6337746,Permit Closed
28286,Construction,6337739,Permit Closed
28287,Construction,6332956,Permit Finaled
28288,Demolition,6337670,Permit Closed
28289,Construction,6337675,Permit Closed
28290,Construction,6337657,Permit Closed
28291,Demolition,6337656,Permit Closed
28292,Construction,6331515,Permit Closed
28293,Construction,6337650,Permit Closed
28294,Construction,6334520,Permit Closed
28295,Demolition,6337645,Permit Closed
28296,Construction,6334364,Permit Closed
28297,Construction,6334790,Permit Issued
28298,Construction,6330017,Permit Closed
28299,Construction,6326831,Permit Closed
28300,Construction,6333604,CANCELLED
28301,Construction,6334805,Permit Issued
28302,Construction,6330401,Permit Closed
28303,Construction,6329851,Permit Closed
28304,Construction,6337597,Permit Closed
28305,Construction,6337587,Permit Closed
28306,Construction,6337547,Permit Closed
28307,Construction,6323456,Permit Closed
28308,Construction,6337558,Permit Closed
28309,Construction,6332984,Permit Closed
28310,Construction,6335013,Permit Closed
28311,Construction,6337518,Permit Closed
28312,Construction,6337514,Permit Closed
28313,Construction,6337066,Permit Closed
28314,Construction,6329057,Permit Closed
28315,Construction,6328606,Permit Closed
28316,Construction,6334398,Permit Closed
28317,Construction,6337454,Permit Closed
28318,Construction,6335174,Permit Closed
28319,Construction,6337434,Permit Closed
28320,Demolition,6337443,Permit Closed
28321,Construction,6323924,Permit Closed
28322,Demolition,6337422,Permit Closed
28323,Construction,6331698,Permit Closed
28324,Demolition,6337421,Permit Closed
28325,Demolition,6337420,Permit Closed
28326,Demolition,6337419,Permit Closed
28327,Demolition,6337430,Permit Closed
28328,Demolition,6337429,Permit Closed
28329,Construction,6336211,Permit Closed
28330,Construction,6337427,Permit Closed
28331,Construction,6337415,Permit Closed
28332,Construction,6337405,Permit Closed
28333,Construction,6337406,Permit Closed
28334,Construction,6334614,Permit Closed
28335,Construction,6329771,Permit Closed
28336,Construction,6337383,Permit Closed
28337,Construction,6333465,Permit Closed
28338,Construction,6332825,Permit Closed
28339,Construction,6325690,Permit Closed
28340,Construction,6337357,Permit Closed
28341,Construction,6322630,Permit Closed
28342,Construction,6337355,Permit Closed
28343,Construction,6332859,Permit Closed
28344,Construction,6337351,Permit Closed
28345,Construction,6230253,CANCELLED
28346,Construction,6333739,Permit Closed
28347,Construction,6331861,Permit Closed
28348,Construction,6326541,Permit Closed
28349,Construction,6329686,Permit Closed
28350,Construction,6329586,Permit Closed
28351,Construction,6321696,Permit Closed
28352,Construction,6337308,Permit Closed
28353,Construction,6321694,Permit Closed
28354,Construction,6321693,Permit Closed
28355,Construction,6334466,Permit Closed
28356,Construction,6321690,Permit Closed
28357,Construction,6337294,Permit Closed
28358,Construction,6337295,Permit Closed
28359,Construction,6477487,Initial Information Collected
28360,Construction,6321688,Permit Closed
28361,Construction,6337292,Permit Closed
28362,Construction,6337293,Permit Closed
28363,Construction,6321684,Permit Closed
28364,Construction,6321671,Permit Closed
28365,Construction,6321669,Permit Closed
28366,Construction,6321652,Permit Closed
28367,Construction,6336556,Reviews Completed
28368,Construction,6321651,Permit Closed
28369,Construction,6321650,Permit Closed
28370,Construction,6321649,Permit Closed
28371,Construction,6321644,Permit Closed
28372,Construction,6321640,Permit Closed
28373,Construction,6321686,Permit Closed
28374,Construction,6337271,Permit Closed
28375,Construction,6337276,Permit Closed
28376,Construction,6333679,Permit Closed
28377,Construction,6337249,Permit Closed
28378,Construction,6337248,Permit Closed
28379,Construction,6328024,Permit Issued
28380,Construction,6337196,Permit Issued
28381,Construction,6330239,Permit Closed
28382,Construction,6337142,Permit Closed
28383,Demolition,6330276,Permit Closed
28384,Construction,6337141,Permit Closed
28385,Construction,6337108,Permit Closed
28386,Construction,6334482,Permit Closed
28387,Site Development,6335510,AP Closed
28388,Site Development,6337130,AP Closed
28389,Construction,6337126,Permit Closed
28390,Construction,6337125,Permit Closed
28391,Construction,6333197,Reviews Completed
28392,Construction,6337112,Permit Closed
28393,Construction,6337099,Permit Closed
28394,Construction,6337100,Permit Closed
28395,Construction,6337065,Permit Closed
28396,Construction,6333371,Permit Closed
28397,Construction,6334286,Permit Closed
28398,Construction,6337049,Permit Closed
28399,Site Development,6336957,AP Closed
28400,Construction,6337042,Permit Closed
28401,Construction,6337035,Permit Closed
28402,Construction,6398691,Initial Information Collected
28403,Demolition,6336767,Permit Closed
28404,Construction,6337029,Permit Closed
28405,Construction,6337024,Permit Closed
28406,Construction,6330945,Permit Closed
28407,Construction,6232645,Permit Closed
28408,Construction,6337019,Permit Closed
28409,Construction,6337013,Permit Closed
28410,Site Development,6337014,AP Closed
28411,Demolition,6336751,Permit Closed
28412,Site Development,6336962,AP Closed
28413,Construction,6336989,Permit Closed
28414,Construction,6336736,Permit Closed
28415,Construction,6328344,Permit Closed
28416,Construction,6336750,Permit Closed
28417,Construction,6316913,Permit Closed
28418,Construction,6336749,Permit Closed
28419,Construction,6336774,Permit Closed
28420,Construction,6328327,Permit Closed
28421,Construction,6336773,Permit Closed
28422,Site Development,6335157,AP Closed
28423,Construction,6334625,Permit Closed
28424,Construction,6336949,Permit Issued
28425,Construction,6336013,Permit Closed
28426,Construction,6335465,Permit Closed
28427,Construction,6336362,Permit Closed
28428,Construction,6336849,Permit Closed
28429,Construction,6334290,Permit Closed
28430,Construction,6336496,Permit Closed
28431,Demolition,6334679,Permit Closed
28432,Demolition,6336884,Permit Closed
28433,Construction,6332529,Permit Closed
28434,Construction,6325208,Permit Closed
28435,Construction,6326500,Permit Closed
28436,Construction,6327062,Permit Closed
28437,Construction,6328691,Permit Closed
28438,Construction,6336881,Permit Closed
28439,Construction,6329671,Permit Closed
28440,Construction,6336874,Permit Closed
28441,Site Development,6335498,AP Closed
28442,Construction,6334193,Permit Closed
28443,Site Development,6336085,AP Closed
28444,Construction,6336840,Permit Closed
28445,Construction,6336839,Permit Closed
28446,Construction,6328321,Permit Closed
28447,Construction,6316967,Permit Issued
28448,Construction,6314868,Permit Closed
28449,Construction,6327631,Permit Closed
28450,Demolition,6336685,Permit Closed
28451,Construction,6336763,Permit Closed
28452,Construction,6336771,Permit Closed
28453,Construction,6335330,CANCELLED
28454,Construction,6336142,Permit Closed
28455,Construction,6336619,Permit Closed
28456,Construction,6332887,Permit Issued
28457,Construction,6334192,Permit Closed
28458,Construction,6335359,Permit Issued
28459,Demolition,6336713,Permit Closed
28460,Demolition,6330297,Permit Closed
28461,Construction,6329426,Permit Closed
28462,Construction,6336729,Permit Closed
28463,Construction,6331543,Permit Closed
28464,Demolition,6334486,Permit Closed
28465,Construction,6336702,Permit Closed
28466,Construction,6336711,Permit Closed
28467,Construction,6333613,Permit Closed
28468,Construction,6336691,Permit Closed
28469,Construction,6336423,Permit Closed
28470,Construction,6334123,Permit Closed
28471,Construction,6331181,Reviews Completed
28472,Construction,6330092,Permit Closed
28473,Construction,6331125,Permit Issued
28474,Construction,6336144,Permit Closed
28475,Construction,6329683,Permit Closed
28476,Construction,6330516,Permit Closed
28477,Construction,6333655,Permit Closed
28478,Construction,6336572,Permit Closed
28479,Construction,6325448,Permit Closed
28480,Construction,6336579,Permit Closed
28481,Demolition,6336509,Permit Closed
28482,Construction,6282461,Cert of Occupancy Authorized
28483,Construction,6336565,Permit Closed
28484,Construction,6323946,Permit Closed
28485,Construction,6330328,Permit Finaled
28486,Demolition,6336564,Permit Closed
28487,Construction,6336567,Permit Closed
28488,Demolition,6326899,Permit Closed
28489,Construction,6335631,Permit Closed
28490,Construction,6330326,Permit Closed
28491,Construction,6336548,Permit Closed
28492,Construction,6336454,Permit Closed
28493,Construction,6336549,Permit Closed
28494,Construction,6336534,Permit Closed
28495,Demolition,6336516,Permit Closed
28496,Construction,6331576,Permit Closed
28497,Construction,6180423,Permit Closed
28498,Demolition,6322721,Permit Closed
28499,Construction,6332385,Permit Closed
28500,Construction,6302070,Permit Closed
28501,Construction,6332423,Permit Closed
28502,Demolition,6336456,Permit Closed
28503,Demolition,6336455,Permit Closed
28504,Construction,6257754,Permit Closed
28505,Construction,6327821,Permit Closed
28506,Construction,6332017,Permit Closed
28507,Demolition,6331470,Permit Closed
28508,Construction,6164809,Initial Information Collected
28509,Construction,6321645,Permit Closed
28510,Construction,6324244,Permit Closed
28511,Construction,6333243,Permit Issued
28512,Construction,6326809,Permit Closed
28513,Construction,6218345,Permit Closed
28514,Construction,6335587,Permit Closed
28515,Construction,6334812,Permit Closed
28516,Construction,6335504,Permit Closed
28517,Construction,6335823,Permit Closed
28518,Construction,6331617,Permit Closed
28519,Construction,6335816,Permit Closed
28520,Construction,6336395,Permit Closed
28521,Construction,6311130,Permit Closed
28522,Construction,6329119,Permit Closed
28523,Construction,6334458,Permit Closed
28524,Construction,6332058,Permit Closed
28525,Construction,6335076,Permit Closed
28526,Construction,6336376,Permit Closed
28527,Construction,6331765,Permit Closed
28528,Construction,6329679,Permit Closed
28529,Construction,6325699,Permit Closed
28530,Construction,6325681,Permit Closed
28531,Demolition,6333146,Permit Closed
28532,Construction,6281375,Permit Closed
28533,Construction,6336339,Permit Closed
28534,Construction,6331021,Permit Closed
28535,Construction,6331259,Permit Closed
28536,Site Development,6332379,AP Closed
28537,Construction,6332254,Permit Closed
28538,Construction,6323344,Permit Closed
28539,Construction,6336258,Permit Closed
28540,Construction,6336246,Permit Closed
28541,Construction,6335235,Permit Closed
28542,Construction,6336244,Permit Closed
28543,Construction,6336222,Permit Closed
28544,Construction,6336216,Permit Closed
28545,Construction,6330810,Permit Closed
28546,Construction,6322445,Permit Closed
28547,Construction,6336210,Permit Closed
28548,Construction,6334996,Permit Closed
28549,Construction,6336156,Permit Closed
28550,Construction,6336128,Permit Closed
28551,Construction,6335077,Permit Closed
28552,Construction,6335248,Permit Closed
28553,Site Development,6335553,AP Closed
28554,Construction,6287429,Permit Issued
28555,Construction,6336075,Permit Closed
28556,Construction,6335449,Permit Closed
28557,Site Development,6330301,AP Closed
28558,Construction,6336065,Permit Closed
28559,Construction,6332893,Permit Closed
28560,Construction,6335910,Permit Closed
28561,Construction,6332431,Permit Closed
28562,Construction,6336036,Permit Closed
28563,Site Development,6334961,AP Closed
28564,Construction,6336030,Permit Closed
28565,Demolition,6328422,Permit Closed
28566,Construction,6329975,Permit Closed
28567,Site Development,6334289,AP Closed
28568,Site Development,6336023,AP Closed
28569,Construction,6335811,Permit Issued
28570,Construction,6336027,Permit Closed
28571,Construction,6331906,Permit Closed
28572,Construction,6336018,Permit Closed
28573,Construction,6336014,Permit Closed
28574,Construction,6331831,Permit Closed
28575,Construction,6336006,Permit Closed
28576,Construction,6335984,Permit Closed
28577,Construction,6334493,Permit Closed
28578,Construction,6335982,Permit Closed
28579,Site Development,6335885,AP Closed
28580,Construction,6335973,Permit Closed
