dom_disc,sec_disc,thrd_disc,cultspc_id
Arts/Cultural Training or Education,,,
Performance,Arts/Cultural Training or Education,Music,
Arts/Cultural Training or Education,,,
Arts/Cultural Training or Education,Music,,
Literary,,,
Arts/Cultural Administration or Advocacy,,,
Arts/Cultural Training or Education,,,
Multi-use,,,
Literary,Visual,Community Center,
Literary,,,
Performance,,,
Performance,Visual,Multi-use,
Arts/Cultural Training or Education,Visual,,
Visual,,,
Music,,,
Visual,,,
Multi-use,Music,,
Multi-use,Music,Community Center,
Visual,Heritage,Preservation,
Performance,Cinema,Multi-use,
Visual,Preservation,,
Multi-use,,,
Arts/Cultural Administration or Advocacy,Arts/Cultural Training or Education,Community Center,
Performance,,,
Visual,,,
Multi-use,Arts/Cultural Administration or Advocacy,Arts/Cultural Training or Education,
Arts/Cultural Administration or Advocacy,,,
Arts/Cultural Administration or Advocacy,,,
Music,,,
Arts/Cultural Training or Education,,,
Performance,Multi-use,Studios,
Visual,Studios,,
Performance,,,
Arts/Cultural Training or Education,,,
Visual,,,
Visual,,,
,,,
,,,
Multi-use,Performance,Music,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Music,,,
Arts/Cultural Administration or Advocacy,,,
Visual,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Studios,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Music,,,
Music,,,
Performance,Studios,,
Music,,,
Music,,,
Music,,,
Studios,Visual,Multi-use,
Music,,,
Heritage,,,
Multi-use,,,
Literary,,,
Multi-use,,,
Literary,,,
Multi-use,,,
Literary,,,
Community Center,,,
Visual,Multi-use,,
Music,,,
Music,Multi-use,,
Multi-use,,,
Arts/Cultural Administration or Advocacy,Arts/Cultural Training or Education,Heritage,
Community Center,,,
Multi-use,,,
Cinema,,,
Visual,Music,Multi-use,
