id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
181,6531758,157 LAKE WASHINGTON BLVD,0,0,0
182,6531758,157 LAKE WASHINGTON BLVD,0,0,0
183,6531752,750 11TH AVE E,0,0,0
184,6529414,600 UNIVERSITY ST,0,0,0
185,6531677,1216 LEXINGTON WAY E,0,0,0
186,6531680,5412 WALLINGFORD AVE N,0,0,0
187,6531676,5412 WALLINGFORD AVE N,0,0,0
188,6531740,2305 1ST AVE,0,0,0
189,6531739,2305 1ST AVE,0,0,0
190,6531672,8621 ISLAND DR S,0,0,0
191,6531671,8621 ISLAND DR S,0,0,0
192,6531670,1551 MINOR AVE,0,0,0
193,6531738,9218 22ND AVE SW,0,0,0
194,6531732,3723 41ST AVE SW,0,0,0
195,6531729,105 S MAIN ST,0,0,0
196,6531728,10 BROAD ST,0,0,0
197,6531674,12724 39TH AVE NE,0,0,0
198,6531726,12360 16TH AVE NE,0,0,0
199,6531722,2716 ELLIOTT AVE,0,0,0
200,6531719,2716 ELLIOTT AVE,0,0,0
201,6531717,2510 WESTERN AVE,0,0,0
202,6531713,1213 VALLEY ST,0,0,0
203,6531675,1001 FAIRVIEW AVE N,0,0,0
204,6531388,4755 DELRIDGE WAY SW,0,0,0
205,6531389,4755 DELRIDGE WAY SW,0,0,0
206,6530631,7717 57TH AVE NE,0,0,0
207,6531453,1032 NE 89TH ST,0,0,0
208,6531685,1325 4TH AVE,0,0,0
209,6531665,5530 31ST AVE NE,0,0,0
210,6531669,527 20TH AVE E,0,0,0
211,6527653,2000 1ST AVE,0,0,0
212,6531621,3035 NE 94TH ST,0,0,0
213,6531620,2514 25TH AVE E,0,0,0
214,6531619,1215 N 48TH ST,0,0,0
215,6531618,11320 19TH AVE NE,0,0,0
216,6531617,1108 9TH AVE W,0,0,0
217,6531615,8004 42ND AVE NE,0,0,0
218,6531606,777 THOMAS ST,0,0,0
219,6529029,3455 THORNDYKE AVE W,0,0,0
220,6531597,777 THOMAS ST,0,0,0
221,6531479,1321 N 45TH ST,0,0,0
222,6531449,2338 N 57TH ST,0,0,0
223,6531430,1321 N 45TH ST,0,0,0
224,6531444,2338 N 57TH ST,0,0,0
225,6531595,3017 NW 69TH ST,0,0,0
226,6531397,2355 16TH AVE S,0,0,0
227,6531399,5552 15TH AVE S,0,0,0
228,6531244,4120 47TH AVE S,0,0,0
229,6531420,6940 56TH AVE S,0,0,0
230,6531585,2124 10TH AVE W,0,0,0
231,6531584,1803 13TH AVE,0,0,0
232,6531589,2120 10TH AVE W,0,0,0
233,6531423,6940 56TH AVE S,0,0,0
234,6531029,4218A EVANSTON AVE N,0,0,0
235,6531030,9119 FAUNTLEROY WAY SW,0,0,0
236,6531031,7712 19TH AVE NW,0,0,0
237,6531031,7712 19TH AVE NW,0,0,0
238,6531032,6815 FREMONT AVE N,0,0,0
239,6531141,2451 S JUDKINS ST,0,0,0
240,6531344,13316 15TH AVE NE,0,0,0
241,6520872,1517 NW 90TH ST,0,0,0
242,6531344,13316 15TH AVE NE,0,0,0
243,6531345,13316 15TH AVE NE,0,0,0
244,6531345,13316 15TH AVE NE,0,0,0
245,6531346,2609 22ND AVE S,0,0,0
246,6531348,2609 22ND AVE S,0,0,0
247,6531349,1324 E MARION ST,0,0,0
248,6531339,323 W COMSTOCK ST,0,0,0
249,6531328,323 W COMSTOCK ST,0,0,0
250,6530955,3545 WEST LAURELHURST DR NE,0,0,0
251,6531198,1713 22ND AVE S,0,0,0
252,6531205,1713 22ND AVE S,0,0,0
253,6530863,8339 28TH AVE NW,0,0,0
254,6530862,8339 28TH AVE NW,0,0,0
255,6531488,10105 RAINIER AVE S,0,0,0
256,6531552,7703 17TH AVE NW,0,0,0
257,6531550,4047 WILLIAMS AVE W,0,0,0
258,6531548,5552 15TH AVE S,0,0,0
259,6528080,2509 W MCGRAW ST,0,0,0
260,6531542,2400 6TH AVE S,0,0,0
261,6531533,400 S JACKSON ST,0,0,0
262,6531545,1900 EDGEMONT PL W,0,0,0
263,6531543,10322 55TH AVE S,0,0,0
264,6531538,10322 55TH AVE S,0,0,0
265,6531537,142 NE 60TH ST,0,0,0
266,6522352,999 3RD AVE,0,0,0
267,6529219,1201 WESTERN AVE,0,0,0
268,6528011,1111 E COLUMBIA ST,0,0,0
269,6531534,142 NE 60TH ST,0,0,0
270,6531521,901 12TH AVE,0,0,0
271,6531519,901 12TH AVE,0,0,0
272,6531515,306 6TH AVE S,0,0,0
273,6531523,708 W HALLADAY ST,0,0,0
