id,Type
818,Construction
819,Construction
820,Construction
821,Construction
822,Construction
823,Construction
824,Construction
825,Construction
826,Demolition
827,Construction
828,Construction
829,Construction
830,Construction
831,Demolition
832,Construction
833,Construction
834,Construction
835,Construction
836,Construction
837,Demolition
838,Construction
839,Construction
840,Construction
841,Construction
842,Construction
843,Construction
844,Construction
845,Construction
846,Construction
847,Construction
848,Construction
849,Construction
850,Construction
851,Construction
852,Construction
853,Construction
854,Construction
855,Construction
856,Construction
857,Construction
858,Construction
859,Construction
860,Construction
861,Demolition
862,Construction
863,Construction
864,Construction
865,Construction
866,Construction
867,Construction
868,Construction
869,Demolition
870,Construction
871,Construction
872,Construction
873,Construction
874,Construction
875,Construction
876,Construction
877,Construction
878,Construction
879,Construction
880,Demolition
881,Construction
882,Construction
883,Construction
884,Construction
885,Construction
886,Construction
887,Construction
888,Construction
889,Construction
890,Construction
891,Construction
892,Construction
893,Construction
894,Construction
895,Construction
896,Construction
897,Construction
898,Construction
899,Construction
900,Construction
901,Demolition
902,Construction
903,Construction
904,Construction
905,Construction
906,Construction
907,Construction
908,Construction
909,Construction
910,Construction
911,Construction
912,Construction
913,Construction
914,Construction
915,Construction
916,Construction
917,Construction
918,Construction
919,Construction
920,Construction
921,Demolition
922,Construction
923,Construction
924,Construction
925,Construction
926,Demolition
927,Demolition
928,Construction
929,Construction
930,Construction
931,Construction
932,Construction
933,Construction
934,Construction
935,Construction
936,Construction
937,Demolition
938,Demolition
939,Site Development
940,Construction
941,Construction
942,Construction
943,Demolition
944,Construction
945,Construction
946,Construction
947,Construction
948,Construction
949,Construction
950,Construction
951,Demolition
952,Construction
953,Construction
954,Construction
955,Construction
956,Construction
957,Construction
958,Construction
959,Construction
960,Construction
961,Construction
962,Construction
963,Construction
964,Construction
965,Construction
966,Construction
967,Construction
968,Construction
969,Construction
970,Demolition
971,Construction
972,Construction
973,Construction
974,Construction
975,Construction
976,Construction
977,Construction
978,Construction
979,Construction
980,Construction
981,Construction
982,Construction
983,Construction
984,Construction
985,Construction
986,Construction
987,Construction
988,Construction
989,Demolition
990,Construction
991,Construction
992,Construction
993,Construction
994,Construction
995,Construction
996,Construction
997,Construction
998,Construction
999,Construction
1000,Construction
1001,Construction
1002,Construction
1003,Construction
1004,Demolition
1005,Construction
1006,Construction
1007,Construction
1008,Site Development
1009,Construction
1010,Demolition
1011,Construction
1012,Construction
1013,Construction
1014,Construction
1015,Construction
1016,Construction
1017,Construction
1018,Construction
1019,Construction
1020,Construction
1021,Construction
1022,Construction
1023,Construction
1024,Construction
1025,Construction
1026,Construction
1027,Construction
1028,Construction
1029,Construction
1030,Construction
1031,Construction
1032,Demolition
1033,Demolition
1034,Construction
1035,Construction
1036,Construction
1037,Construction
1038,Demolition
1039,Construction
1040,Construction
1041,Construction
1042,Construction
1043,Demolition
1044,Construction
1045,Construction
1046,Construction
1047,Construction
1048,Construction
1049,Construction
1050,Construction
1051,Construction
1052,Construction
1053,Construction
1054,Construction
1055,Construction
1056,Construction
1057,Site Development
1058,Construction
1059,Construction
1060,Construction
1061,Construction
1062,Construction
1063,Construction
1064,Construction
1065,Demolition
1066,Construction
1067,Construction
1068,Site Development
1069,Construction
1070,Construction
1071,Construction
1072,Construction
1073,Construction
1074,Construction
1075,Construction
1076,Site Development
1077,Construction
1078,Construction
1079,Construction
1080,Construction
1081,Demolition
1082,Construction
1083,Construction
1084,Construction
1085,Construction
1086,Construction
1087,Construction
1088,Construction
1089,Construction
1090,Construction
1091,Construction
1092,Construction
1093,Construction
1094,Construction
1095,Construction
1096,Construction
1097,Construction
1098,Construction
1099,Construction
1100,Construction
1101,Construction
1102,Construction
1103,Construction
1104,Construction
1105,Demolition
1106,Construction
1107,Construction
1108,Construction
1109,Construction
1110,Construction
1111,Construction
1112,Construction
1113,Construction
1114,Construction
1115,Construction
1116,Construction
1117,Construction
1118,Construction
1119,Demolition
1120,Construction
1121,Demolition
1122,Demolition
1123,Construction
1124,Construction
1125,Demolition
1126,Construction
1127,Construction
1128,Construction
1129,Construction
1130,Construction
1131,Construction
1132,Construction
1133,Construction
1134,Demolition
1135,Construction
1136,Construction
1137,Construction
1138,Construction
1139,Construction
1140,Construction
1141,Construction
1142,Construction
1143,Construction
1144,Construction
1145,Construction
1146,Construction
1147,Construction
1148,Construction
1149,Construction
1150,Construction
1151,Construction
1152,Construction
1153,Construction
1154,Construction
1155,Construction
1156,Demolition
1157,Construction
1158,Construction
1159,Construction
1160,Construction
1161,Construction
1162,Construction
1163,Construction
1164,Construction
1165,Construction
1166,Construction
1167,Construction
1168,Construction
1169,Construction
1170,Construction
1171,Construction
1172,Construction
1173,Construction
1174,Construction
1175,Demolition
1176,Construction
1177,Construction
1178,Demolition
1179,Construction
1180,Construction
1181,Construction
1182,Construction
1183,Construction
1184,Demolition
1185,Construction
1186,Construction
1187,Construction
1188,Construction
1189,Construction
1190,Construction
1191,Construction
1192,Construction
1193,Construction
1194,Demolition
1195,Construction
1196,Demolition
1197,Construction
1198,Construction
1199,Construction
1200,Construction
1201,Construction
1202,Construction
1203,Construction
1204,Construction
1205,Construction
1206,Construction
1207,Construction
1208,Construction
1209,Demolition
1210,Construction
1211,Demolition
1212,Construction
1213,Construction
1214,Construction
1215,Construction
1216,Construction
1217,Construction
1218,Construction
1219,Construction
1220,Construction
1221,Construction
1222,Demolition
1223,Construction
1224,Construction
1225,Demolition
1226,Demolition
1227,Construction
1228,Construction
1229,Construction
1230,Demolition
1231,Construction
1232,Construction
1233,Construction
1234,Construction
1235,Demolition
1236,Construction
1237,Construction
1238,Construction
1239,Demolition
1240,Construction
1241,Construction
1242,Construction
1243,Construction
1244,Construction
1245,Construction
1246,Site Development
1247,Site Development
1248,Construction
1249,Site Development
1250,Site Development
1251,Construction
1252,Construction
1253,Construction
1254,Construction
1255,Demolition
1256,Construction
1257,Construction
1258,Construction
1259,Construction
1260,Construction
1261,Construction
1262,Demolition
1263,Construction
1264,Construction
1265,Construction
1266,Construction
1267,Site Development
1268,Site Development
1269,Demolition
1270,Construction
1271,Construction
1272,Construction
1273,Construction
1274,Construction
1275,Construction
1276,Construction
1277,Construction
1278,Construction
1279,Construction
1280,Construction
1281,Construction
1282,Construction
1283,Construction
1284,Construction
1285,Construction
1286,Construction
1287,Construction
1288,Construction
1289,Construction
1290,Construction
1291,Construction
1292,Construction
1293,Construction
1294,Construction
1295,Construction
1296,Construction
1297,Construction
1298,Construction
1299,Construction
1300,Construction
1301,Demolition
1302,Construction
1303,Demolition
1304,Construction
1305,Construction
1306,Construction
1307,Construction
1308,Construction
1309,Construction
1310,Construction
1311,Construction
1312,Demolition
1313,Construction
1314,Construction
1315,Construction
1316,Demolition
1317,Construction
1318,Construction
1319,Construction
1320,Construction
1321,Construction
1322,Construction
1323,Construction
1324,Construction
1325,Construction
1326,Construction
1327,Demolition
1328,Construction
1329,Construction
1330,Construction
1331,Construction
1332,Construction
1333,Construction
1334,Construction
1335,Construction
1336,Construction
1337,Construction
1338,Construction
1339,Construction
1340,Construction
1341,Construction
1342,Construction
1343,Demolition
1344,Site Development
1345,Construction
1346,Construction
1347,Demolition
1348,Demolition
1349,Construction
1350,Construction
1351,Construction
1352,Construction
1353,Demolition
1354,Construction
1355,Construction
1356,Construction
1357,Construction
1358,Construction
1359,Construction
1360,Construction
1361,Construction
1362,Construction
1363,Demolition
1364,Demolition
1365,Construction
1366,Construction
1367,Construction
1368,Construction
1369,Construction
1370,Construction
1371,Construction
1372,Demolition
1373,Demolition
1374,Construction
1375,Construction
1376,Construction
1377,Demolition
1378,Demolition
1379,Construction
1380,Construction
1381,Construction
1382,Construction
1383,Construction
1384,Construction
1385,Construction
1386,Construction
1387,Construction
1388,Construction
1389,Construction
1390,Demolition
1391,Construction
1392,Construction
1393,Construction
1394,Construction
1395,Construction
1396,Construction
1397,Construction
1398,Construction
1399,Construction
1400,Construction
1401,Construction
1402,Construction
1403,Construction
1404,Construction
1405,Demolition
1406,Construction
1407,Site Development
1408,Construction
1409,Construction
1410,Demolition
1411,Construction
1412,Construction
1413,Construction
1414,Construction
1415,Construction
1416,Demolition
1417,Construction
1418,Construction
1419,Construction
1420,Construction
1421,Construction
1422,Construction
1423,Construction
1424,Construction
