id,Street,Longitude,Latitude,BuildingPermit_id
176,2340 19TH AVE S,-122.30788217,47.58169159,
177,715 NW 90TH ST,-122.36543918,47.6940849,
178,1610 3RD AVE N,-122.3517169,47.63352293,
179,7353 16TH AVE NW,-122.37812059,47.68289432,
180,12613 8TH AVE NE,-122.32116265,47.72095546,
181,1211 E ALDER ST,-122.31548619,47.60423386,
182,2709 NOB HILL AVE N,-122.35087091,47.6447013,
183,6324 LANHAM PL SW,-122.37277763,47.54591408,
184,2551 S RAYMOND ST,-122.29765754,47.54839874,
185,1550 N 115TH ST,-122.3369027,47.71425408,
186,1550 N 115TH ST,-122.3369027,47.71425408,
187,1536 N 115TH ST,-122.33783193,47.71260184,
188,5432 SEWARD PARK AVE S,-122.26294632,47.55253464,
189,1214 10TH AVE W,-122.37016179,47.63034486,
190,7406 DAYTON AVE N,-122.35230175,47.68286429,
191,6235 AIRPORT WAY S,-122.31485079,47.54785836,
192,2024 21ST AVE S,-122.30501692,47.58528985,
193,1625 42ND AVE E,-122.27882509,47.63417227,
194,213 18TH AVE,-122.30930183,47.60396324,
195,4745 WEST MARGINAL WAY SW,-122.35222458,47.5599854,
196,4745 WEST MARGINAL WAY SW,-122.35222458,47.5599854,
197,1625 42ND AVE E,-122.27882509,47.63417227,
198,213 18TH AVE,-122.30930183,47.60396324,
199,1521 1ST AVE S,-122.33476028,47.58872242,
200,7100 35TH AVE SW,-122.37616203,47.53888877,
201,315 N 105TH ST,-122.35465715,47.7046043,
202,3625 INTERLAKE AVE N,-122.34174479,47.65138279,
203,2010 NE NORTHGATE WAY,-122.30566327,47.70873634,
204,3613 4TH AVE S,-122.33011958,47.57070622,
205,7944 9TH AVE SW,-122.3465078,47.53062729,
206,9618 20TH AVE NE,-122.30664528,47.69900664,
207,509 OLIVE WAY,-122.33686713,47.61275016,
208,2825 3RD AVE W,-122.36118175,47.645496,
209,3714 38TH AVE S,-122.28472463,47.57016195,
210,601 BELMONT AVE E,-122.32445393,47.62464104,
211,509 OLIVE WAY,-122.33686713,47.61275016,
212,5012 SW GENESEE ST,-122.39690312,47.56549837,
213,8021 EARL AVE NW,-122.39234317,47.68738966,
214,321 N 79TH ST,-122.35437451,47.68610283,
215,3021 NE 130TH ST,-122.29521288,47.72270038,
216,5619 M L KING JR WAY S,-122.28860098,47.55135818,
217,1606 N 40TH ST,-122.33811192,47.65588456,
218,3423 13TH AVE W,-122.37389786,47.65105206,
219,5600 6TH AVE S,-122.32636629,47.55222356,
220,6921 ROOSEVELT WAY NE,-122.31764267,47.67916422,
221,6409 FRANCIS AVE N,-122.35364961,47.67568282,
222,3025 NE 130TH ST,-122.29518044,47.72239375,
223,6733 CARLETON AVE S,-122.32233118,47.54154739,
224,6735 CARLETON AVE S,-122.32253724,47.54156806,
225,6735 CARLETON AVE S,-122.32253724,47.54156806,
226,6733 CARLETON AVE S,-122.32233118,47.54154739,
227,10713 19TH AVE NE,-122.30880681,47.70722649,
228,5950 OAKHURST RD S,-122.26227391,47.54957088,
229,915 FEDERAL AVE E,-122.31948946,47.62730261,
230,4428 EVANSTON AVE N,-122.35075478,47.66107524,
231,240 2ND AVE S,-122.33128396,47.60022466,
232,1730 MINOR AVE,-122.32966644,47.61695645,
233,3400 AIRPORT WAY S,-122.32203385,47.57271129,
234,5929 M L KING JR WAY S,-122.28785636,47.54892528,
235,3400 AIRPORT WAY S,-122.32203385,47.57271129,
236,935 NW 64TH ST,-122.3702512,47.67509018,
237,935 NW 64TH ST,-122.3702512,47.67509018,
238,935 NW 64TH ST,-122.3702512,47.67509018,
239,2400 3RD AVE,-122.34616655,47.61582105,
240,320 NW 112TH ST,-122.36177041,47.71073602,
241,312 NE LONGWOOD PL,-122.32499461,47.68446507,
242,300 NW 47TH ST,-122.36102269,47.66308039,
243,550 TERRY AVE N,-122.3367397,47.62398599,
244,2553 CRESTMONT PL W,-122.40767079,47.64199062,
245,2553 CRESTMONT PL W,-122.40767079,47.64199062,
246,9205 35TH AVE SW,-122.37705399,47.52083977,
247,9205 35TH AVE SW,-122.37705399,47.52083977,
248,3215 MAGNOLIA BLVD W,-122.41457615,47.64918257,
249,3215 MAGNOLIA BLVD W,-122.41457615,47.64918257,
250,537 N 137TH ST,-122.35178829,47.7280012,
251,,,,
252,2819 3RD AVE W,-122.36142945,47.64548531,
253,2819 3RD AVE W,-122.36142945,47.64548531,
254,4039 FAUNTLEROY WAY SW,-122.37431341,47.56676084,
255,2676 NE UNIVERSITY VILLAGE ST,-122.29776403,47.66364172,
256,2676 NE UNIVERSITY VILLAGE ST,-122.29776403,47.66364172,
257,2021 7TH AVE,-122.33836402,47.61523711,
258,701 5TH AVE,-122.33073506,47.60454089,
259,1420 5TH AVE,-122.33467931,47.6105508,
260,2019 S FERDINAND ST,-122.30645523,47.55811296,
261,2019 S FERDINAND ST,-122.30645523,47.55811296,
262,1500 16TH AVE,-122.31124863,47.61429209,
263,12016 DAYTON AVE N,-122.35261838,47.71654337,
264,1201 3RD AVE,-122.33612134,47.60723772,
265,1534 17TH AVE S,-122.31031376,47.58890186,
266,1536 17TH AVE S,-122.3102822,47.58888973,
267,1538 17TH AVE S,-122.31034188,47.58887191,
268,1538 17TH AVE S,-122.31034188,47.58887191,
269,2825B NE 105TH ST,-122.29585063,47.70373305,
270,321 15TH AVE E,-122.31316717,47.62129736,
271,4215 RAINIER AVE S,-122.28886386,47.56523993,
272,6213 37TH AVE NE,-122.28835122,47.67433997,
273,6213 37TH AVE NE,-122.28835122,47.67433997,
274,500 FAIRVIEW AVE N,-122.33409713,47.62345613,
275,7009 SEWARD PARK AVE S,-122.26776348,47.53952385,
276,10110 GREENWOOD AVE N,-122.35506018,47.7026942,
277,3811 CORLISS AVE N,-122.33177107,47.65356257,
278,5408 26TH AVE NE,-122.29920108,47.66829243,
279,3322 W GOVERNMENT WAY,-122.40053034,47.6599128,
280,213 W KINNEAR PL,-122.35987352,47.62753282,
281,213 W KINNEAR PL,-122.35987352,47.62753282,
282,213 W KINNEAR PL,-122.35987352,47.62753282,
283,325 N 90TH ST,-122.35455042,47.69405026,
284,1118 15TH AVE E,-122.312255,47.62942146,
285,4616 44TH AVE S,-122.2778681,47.56124328,
286,1215 N 44TH ST,-122.34303857,47.65977697,
287,7036 43RD AVE NE,-122.28262296,47.68062871,
288,1817 28TH AVE W,-122.39336097,47.63577601,
289,3229 38TH AVE SW,-122.38060811,47.57466437,
290,5140 S AUGUSTA ST,-122.26894669,47.50037106,
291,1128 SW SPOKANE ST,-122.35145805,47.5720269,
292,2407 NW 59TH ST,-122.38809669,47.67146019,
293,1620 BROADMOOR DR E,-122.2879518,47.6336357,
294,1201 AMGEN CT W,-122.37476567,47.62951836,
295,118 5TH AVE N,-122.34743198,47.61920146,
296,9028 14TH AVE SW,-122.35256815,47.5219911,
297,8420 35TH AVE SW,-122.37635785,47.5276365,
298,735 N 95TH ST,-122.34846748,47.69755143,
299,1717 16TH AVE,-122.31172392,47.61701353,
300,307 BROAD ST,-122.35039295,47.61827068,
301,8500 LAKE CITY WAY NE,-122.30741957,47.69057976,
302,4059 LATONA AVE NE,-122.32605274,47.65723207,
303,2200 6TH AVE,-122.34113446,47.61641528,
304,1938 10TH AVE E,-122.31985773,47.6371059,
305,6214 15TH AVE NE,-122.31169039,47.67443965,
306,2415 11TH AVE W,-122.37191166,47.64010927,
307,5740 SW ADMIRAL WAY,-122.4069589,47.57682813,
308,1715 SUNSET AVE SW,-122.39229227,47.587818,
309,4441 21ST AVE SW,-122.36074312,47.5638733,
310,3700 37TH AVE SW,-122.37789445,47.57104413,
311,5950 OAKHURST RD S,-122.26227391,47.54957088,
