id,Application Permit,Address,Location_id,Project_Information_id,Application_Information_id
44132,6071245,418 BELLEVUE AVE E,44132,44132,44132
44344,6071289,7817 STROUD AVE N,44344,44344,44344
45127,6071317,209 26TH AVE S,45127,45127,45127
48497,6071328,7001 SEAVIEW AVE NW,48497,48497,48497
47483,6071445,1750 23RD AVE,47483,47483,47483
44713,6071516,1716 2ND AVE N,44713,44713,44713
43240,6071523,6203 PHINNEY AVE N,43240,43240,43240
44484,6071602,9737 PALATINE AVE N,44484,44484,44484
49063,6071661,500 17TH AVE,49063,49063,49063
43935,6071672,9754 LINDSAY PL S,43935,43935,43935
39729,6071686,5327 47TH AVE SW,39729,39729,39729
45374,6071697,5407 26TH AVE SW,45374,45374,45374
39726,6071720,5051 50TH AVE NE,39726,39726,39726
44448,6071766,3451 48TH AVE SW,44448,44448,44448
46009,6071779,1917 1ST AVE,46009,46009,46009
48270,6071794,1910 33RD AVE S,48270,48270,48270
49583,6071898,6125 SAND POINT WAY NE,49583,49583,49583
39693,6071900,557 WARD ST,39693,39693,39693
44262,6071968,9423 ROOSEVELT WAY NE,44262,44262,44262
45567,6072008,109 30TH AVE,45567,45567,45567
50263,6072030,,50263,50263,50263
44133,6072050,418 BELLEVUE AVE E,44133,44133,44133
49937,6072132,7201 BEACON AVE S,49937,49937,49937
50267,6072137,,50267,50267,50267
44381,6072185,9331 FOREST CT SW,44381,44381,44381
44287,6072193,10500 WHITMAN AVE N,44287,44287,44287
47357,6072219,5419 RENTON AVE S,47357,47357,47357
47627,6072221,818 S DAKOTA ST,47627,47627,47627
44276,6072316,1306 E REMINGTON CT,44276,44276,44276
50264,6072411,,50264,50264,50264
44356,6072469,939 24TH AVE S,44356,44356,44356
39680,6072499,9239 25TH AVE NW,39680,39680,39680
44267,6072523,3844 43RD AVE NE,44267,44267,44267
50270,6072536,,50270,50270,50270
50269,6072537,,50269,50269,50269
47739,6072559,539 25TH AVE S,47739,47739,47739
45974,6072581,1800 TERRY AVE,45974,45974,45974
45953,6072667,1529 10TH AVE W,45953,45953,45953
43427,6072686,803 W NEWELL ST,43427,43427,43427
43074,6072693,2810 ALKI AVE SW,43074,43074,43074
47007,6072716,4300 BROOKLYN AVE NE,47007,47007,47007
46480,6072717,4328 BROOKLYN AVE NE,46480,46480,46480
45856,6072719,1400 5TH AVE,45856,45856,45856
46270,6072720,14343 15TH AVE NE,46270,46270,46270
46221,6072721,1122 10TH AVE E,46221,46221,46221
46101,6072734,201 WESTLAKE AVE N,46101,46101,46101
47672,6072737,1400 E PINE ST,47672,47672,47672
44480,6072795,3605 INTERLAKE AVE N,44480,44480,44480
48502,6072807,3867 RAINIER AVE S,48502,48502,48502
44185,6072818,5219 PALATINE AVE N,44185,44185,44185
50476,6072841,2203 AIRPORT WAY S,50476,50476,50476
44839,6072854,7023 27TH AVE NW,44839,44839,44839
28781,6072916,1529 QUEEN ANNE AVE N,28781,28781,28781
39724,6072937,9737 PALATINE AVE N,39724,39724,39724
47123,6072969,1536 N 115TH ST,47123,47123,47123
10202,6072988,411 NW MARKET ST,10202,10202,10202
44399,6072992,415 NW MARKET ST,44399,44399,44399
39722,6073079,1921 1ST AVE,39722,39722,39722
44332,6073083,5234 37TH AVE S,44332,44332,44332
48593,6073116,5820 OAKHURST RD S,48593,48593,48593
44333,6073119,2709 E YESLER WAY,44333,44333,44333
44361,6073231,1120 34TH AVE,44361,44361,44361
39629,6073298,2527 3RD AVE N,39629,39629,39629
45199,6073319,1002 N 39TH ST,45199,45199,45199
43743,6073390,400 PIKE ST,43743,43743,43743
44258,6073422,4047 8TH AVE NE,44258,44258,44258
16050,6073452,301 26TH AVE E,16050,16050,16050
47649,6073455,4220 NE 123RD ST,47649,47649,47649
44454,6073470,1643 EDGEWOOD AVE SW,44454,44454,44454
44974,6073562,3600 3RD AVE NW,44974,44974,44974
44404,6073631,3717 WOODLAWN AVE N,44404,44404,44404
48424,6073720,3838 WEST MARGINAL WAY SW,48424,48424,48424
39611,6073729,1721 NW GREENBRIER WAY,39611,39611,39611
46685,6073835,5209 EAST MARGINAL WAY S,46685,46685,46685
43579,6073846,3806 FREMONT AVE N,43579,43579,43579
44435,6073886,4034 31ST AVE W,44435,44435,44435
39720,6073897,1275 MERCER ST,39720,39720,39720
39694,6073898,1275 MERCER ST,39694,39694,39694
39666,6073962,6733 HOLLY PL SW,39666,39666,39666
44263,6073965,9425 ROOSEVELT WAY NE,44263,44263,44263
44264,6073966,851 NE 95TH ST,44264,44264,44264
2249,6073973,9421 ROOSEVELT WAY NE,2249,2249,2249
44114,6073983,3712 29TH AVE W,44114,44114,44114
44265,6074012,4111 42ND AVE SW,44265,44265,44265
44702,6074068,9237 WOODLAWN AVE N,44702,44702,44702
43303,6074079,4502 NE 94TH ST,43303,43303,43303
13359,6074150,2318 PERKINS LN W,13359,13359,13359
50268,6074162,,50268,50268,50268
49360,6074241,6900 36TH AVE SW,49360,49360,49360
48400,6074285,3400 6TH AVE S,48400,48400,48400
39715,6074337,3100 AIRPORT WAY S,39715,39715,39715
46672,6074339,905 CHERRY ST,46672,46672,46672
39668,6074341,942 19TH AVE E,39668,39668,39668
39452,6074349,2200 24TH AVE E,39452,39452,39452
44975,6074433,3600 3RD AVE NW,44975,44975,44975
48633,6074443,312 2ND AVE S,48633,48633,48633
47219,6074455,7713 RAINIER AVE S,47219,47219,47219
3522,6074465,1406 E PINE ST,3522,3522,3522
50173,6074471,4800 SAND POINT WAY NE,50173,50173,50173
44425,6074482,3808 18TH AVE SW,44425,44425,44425
49960,6074500,1001 4TH AVE,49960,49960,49960
48545,6074535,1019 W EWING ST,48545,48545,48545
50331,6074574,,50331,50331,50331
44428,6074594,3900 12TH AVE S,44428,44428,44428
