id,Application Permit,Action Type,Work Type,Value,Location_id
49902,6068227,,Plan Review,$0.00,0
48002,6068284,ADD/ALT,Plan Review,$80000.00,0
45837,6068286,NO CONSTRUCTION,No plan review,$5047.00,0
44070,6068320,,Plan Review,$0.00,0
44071,6068324,NEW,Plan Review,$0.00,0
44072,6068335,,No plan review,$0.00,0
44016,6068342,,Plan Review,$0.00,0
6947,6068343,,Plan Review,$0.00,0
49219,6068346,ADD/ALT,Plan Review,$0.00,0
44024,6068365,,No plan review,$0.00,0
44025,6068366,,No plan review,$0.00,0
46734,6068403,,Plan Review,$0.00,0
46425,6068433,,Plan Review,$0.00,0
44679,6068436,,Plan Review,$0.00,0
44029,6068437,ADD/ALT,Plan Review,$0.00,0
47810,6068466,NEW,Plan Review,$0.00,0
49312,6068482,,Plan Review,$0.00,0
43391,6068499,ADD/ALT,Plan Review,$1000.00,0
39744,6068503,NEW,Plan Review,$4000.00,0
44018,6068514,,Plan Review,$0.00,0
43211,6068527,,Plan Review,$0.00,0
43965,6068528,,Plan Review,$0.00,0
39747,6068549,ADD/ALT,Plan Review,$1000.00,0
43979,6068551,NEW,Plan Review,$0.00,0
44135,6068570,,Plan Review,$0.00,0
21178,6068581,NO CONSTRUCTION,Plan Review,$0.00,0
43474,6068601,ADD/ALT,Plan Review,$0.00,0
39748,6068613,ADD/ALT,Plan Review,$163000.00,0
49187,6068615,,Plan Review,$0.00,0
44137,6068624,,Plan Review,$0.00,0
46603,6068635,,Plan Review,$0.00,0
45429,6068655,,Plan Review,$0.00,0
44136,6068660,ADD/ALT,Plan Review,$0.00,0
46704,6068676,ADD/ALT,Plan Review,$25000.00,0
49303,6068767,,Plan Review,$0.00,0
44092,6068785,ADD/ALT,Plan Review,$0.00,0
44093,6068791,ADD/ALT,No plan review,$0.00,0
47153,6068863,,Plan Review,$0.00,0
39677,6068891,NEW,Plan Review,$587253.00,0
44026,6068978,,Plan Review,$0.00,0
47294,6068985,ADD/ALT,Plan Review,$0.00,0
44101,6068991,ADD/ALT,Plan Review,$0.00,0
44096,6068997,,Plan Review,$0.00,0
44097,6069000,,Plan Review,$0.00,0
44098,6069001,,Plan Review,$0.00,0
44099,6069002,,Plan Review,$0.00,0
45642,6069019,ADD/ALT,Plan Review,$0.00,0
44030,6069041,,Plan Review,$0.00,0
44081,6069074,,Plan Review,$0.00,0
50154,6069103,,Plan Review,$0.00,0
45406,6069134,ADD/ALT,Plan Review,$0.00,0
47757,6069179,,Plan Review,$0.00,0
47772,6069216,,Plan Review,$0.00,0
44375,6069232,NEW,Plan Review,$0.00,0
39742,6069240,TEMP,Plan Review,$0.00,0
39743,6069244,ADD/ALT,No plan review,$20000.00,0
44376,6069249,,No plan review,$0.00,0
44343,6069259,,Plan Review,$0.00,0
46974,6069269,,Plan Review,$0.00,0
45637,6069292,,Plan Review,$0.00,0
43560,6069378,,Plan Review,$0.00,0
44350,6069380,ADD/ALT,No plan review,$0.00,0
44650,6069401,ADD/ALT,No plan review,$2000.00,0
39714,6069419,ADD/ALT,Plan Review,$60000.00,0
44352,6069421,NEW,Plan Review,$0.00,0
44351,6069422,NEW,Plan Review,$0.00,0
48798,6069456,,Plan Review,$0.00,0
44533,6069467,,Plan Review,$0.00,0
50275,6069485,,Plan Review,$0.00,0
48480,6069509,,Plan Review,$0.00,0
39686,6069514,ADD/ALT,Plan Review,$140000.00,0
49201,6069559,ADD/ALT,Plan Review,$0.00,0
44102,6069587,,Plan Review,$0.00,0
45282,6069590,,Plan Review,$0.00,0
48249,6069593,,Plan Review,$0.00,0
49309,6069609,,Plan Review,$0.00,0
2413,6069653,,Plan Review,$0.00,0
49351,6069657,,Plan Review,$0.00,0
44100,6069676,,Plan Review,$0.00,0
49980,6069695,,Plan Review,$0.00,0
47215,6069732,,Plan Review,$0.00,0
47108,6069756,,Plan Review,$0.00,0
48147,6069758,NEW,Plan Review,$0.00,0
48206,6069784,,Plan Review,$0.00,0
39716,6069795,ADD/ALT,Plan Review,$7592.00,0
50488,6069803,,Plan Review,$0.00,0
43318,6069805,,Plan Review,$0.00,0
46046,6069810,,Plan Review,$0.00,0
48072,6069811,,Plan Review,$0.00,0
44283,6069886,ADD/ALT,Plan Review,$0.00,0
49283,6069959,,Plan Review,$0.00,0
34222,6069990,,Plan Review,$0.00,0
45545,6069999,,No plan review,$0.00,0
50266,6070003,,Plan Review,$0.00,0
39741,6070030,ADD/ALT,Plan Review,$20000.00,0
45547,6070063,ADD/ALT,Plan Review,$0.00,0
44273,6070076,,No plan review,$0.00,0
44285,6070153,,Plan Review,$0.00,0
44444,6070185,,Plan Review,$0.00,0
44020,6070226,NEW,Plan Review,$1400000.00,0
50289,6070254,,Plan Review,$0.00,0
44377,6070341,ADD/ALT,Plan Review,$0.00,0
50273,6070353,ADD/ALT,Plan Review,$0.00,0
45846,6070373,ADD/ALT,Plan Review,$0.00,0
46912,6070411,,Plan Review,$0.00,0
46909,6070416,,Plan Review,$0.00,0
46911,6070513,,Plan Review,$0.00,0
44727,6070580,,Plan Review,$0.00,0
3205,6070588,NEW,Plan Review,$0.00,0
48186,6070640,NEW,Plan Review,$0.00,0
50276,6070644,,Plan Review,$0.00,0
50012,6070669,,Plan Review,$0.00,0
39645,6070694,NEW,Plan Review,$1607954.00,0
45918,6070718,NEW,Plan Review,$0.00,0
45917,6070719,,Plan Review,$0.00,0
45919,6070734,,Plan Review,$0.00,0
48212,6070779,,Plan Review,$0.00,0
44447,6070801,NEW,Plan Review,$0.00,0
39739,6070809,ADD/ALT,Plan Review,$20000.00,0
43781,6070814,,Plan Review,$0.00,0
44397,6070874,ADD/ALT,Plan Review,$0.00,0
44198,6070889,ADD/ALT,Plan Review,$5000.00,0
1299,6070914,TEMP,Plan Review,$0.00,0
46676,6070923,NEW,Plan Review,$0.00,0
49234,6070924,,Plan Review,$0.00,0
43981,6070925,ADD/ALT,Plan Review,$0.00,0
9763,6070929,,Plan Review,$0.00,0
50272,6070958,,Plan Review,$0.00,0
50185,6070979,,Plan Review,$50000.00,0
50184,6070980,,Plan Review,$50000.00,0
50183,6070981,,Plan Review,$50000.00,0
47008,6071017,,Plan Review,$0.00,0
44414,6071155,,Plan Review,$0.00,0
49425,6071195,ADD/ALT,Plan Review,$0.00,0
44342,6071230,,Plan Review,$0.00,0
46038,6071233,,Plan Review,$0.00,0
44132,6071245,,Plan Review,$0.00,0
44344,6071289,,Plan Review,$0.00,0
45127,6071317,,Plan Review,$0.00,0
48497,6071328,,Plan Review,$0.00,0
47483,6071445,CURB CUT,No plan review,$0.00,0
44713,6071516,,Plan Review,$0.00,0
43240,6071523,,Plan Review,$0.00,0
44484,6071602,,Plan Review,$0.00,0
49063,6071661,,Plan Review,$0.00,0
43935,6071672,NEW,Plan Review,$306485.00,0
39729,6071686,,No plan review,$0.00,0
45374,6071697,NEW,Plan Review,$0.00,0
39726,6071720,NO CONSTRUCTION,No plan review,$70653.00,0
44448,6071766,,Plan Review,$0.00,0
46009,6071779,,Plan Review,$0.00,0
48270,6071794,,Plan Review,$0.00,0
49583,6071898,ADD/ALT,Plan Review,$17500.00,0
39693,6071900,ADD/ALT,No plan review,$119697.00,0
44262,6071968,NEW,Plan Review,$0.00,0
45567,6072008,,Plan Review,$0.00,0
50263,6072030,NO CONSTRUCTION,No plan review,$0.00,0
44133,6072050,,Plan Review,$0.00,0
49937,6072132,,Plan Review,$0.00,0
50267,6072137,,Plan Review,$0.00,0
44381,6072185,ADD/ALT,No plan review,$0.00,0
44287,6072193,,Plan Review,$0.00,0
47357,6072219,,Plan Review,$0.00,0
47627,6072221,ADD/ALT,Plan Review,$0.00,0
44276,6072316,,Plan Review,$0.00,0
50264,6072411,,Plan Review,$0.00,0
44356,6072469,ADD/ALT,Plan Review,$0.00,0
39680,6072499,NEW,Plan Review,$220277.00,0
44267,6072523,ADD/ALT,Plan Review,$257586.00,0
50270,6072536,,Plan Review,$0.00,0
50269,6072537,,Plan Review,$0.00,0
47739,6072559,,Plan Review,$0.00,0
45974,6072581,NEW,Plan Review,$0.00,0
45953,6072667,,Plan Review,$0.00,0
43427,6072686,ADD/ALT,Plan Review,$0.00,0
43074,6072693,NEW,Plan Review,$0.00,0
47007,6072716,,Plan Review,$0.00,0
46480,6072717,,Plan Review,$0.00,0
45856,6072719,ADD/ALT,Plan Review,$0.00,0
46270,6072720,,Plan Review,$0.00,0
46221,6072721,ADD/ALT,Plan Review,$0.00,0
46101,6072734,,Plan Review,$0.00,0
47672,6072737,,Plan Review,$0.00,0
44480,6072795,,Plan Review,$0.00,0
48502,6072807,ADD/ALT,Plan Review,$5000.00,0
44185,6072818,,Plan Review,$0.00,0
50476,6072841,,Plan Review,$0.00,0
44839,6072854,,Plan Review,$0.00,0
28781,6072916,,Plan Review,$0.00,0
39724,6072937,,No plan review,$0.00,0
47123,6072969,,Plan Review,$0.00,0
10202,6072988,,Plan Review,$0.00,0
44399,6072992,,Plan Review,$0.00,0
39722,6073079,ADD/ALT,Plan Review,$30000.00,0
44332,6073083,NEW,Plan Review,$0.00,0
48593,6073116,ADD/ALT,Plan Review,$0.00,0
44333,6073119,,Plan Review,$0.00,0
44361,6073231,,Plan Review,$0.00,0
39629,6073298,NEW,Plan Review,$327769.00,0
45199,6073319,NEW,Plan Review,$0.00,0
43743,6073390,ADD/ALT,Plan Review,$0.00,0
44258,6073422,NEW,Plan Review,$0.00,0
16050,6073452,NEW,Plan Review,$400000.00,0
47649,6073455,ADD/ALT,No plan review,$0.00,0
44454,6073470,NEW,Plan Review,$0.00,0
44974,6073562,ADD/ALT,Plan Review,$0.00,0
44404,6073631,ADD/ALT,Plan Review,$0.00,0
48424,6073720,,Plan Review,$0.00,0
39611,6073729,ADD/ALT,Plan Review,$269000.00,0
46685,6073835,,Plan Review,$0.00,0
43579,6073846,,Plan Review,$0.00,0
44435,6073886,ADD/ALT,No plan review,$0.00,0
39720,6073897,NEW,Plan Review,$2500000.00,0
39694,6073898,NEW,Plan Review,$12868074.00,0
39666,6073962,ADD/ALT,Plan Review,$4644.00,0
44263,6073965,NEW,Plan Review,$0.00,0
44264,6073966,NEW,Plan Review,$0.00,0
2249,6073973,,Plan Review,$0.00,0
44114,6073983,ADD/ALT,Plan Review,$0.00,0
44265,6074012,ADD/ALT,No plan review,$1.00,0
44702,6074068,,Plan Review,$0.00,0
43303,6074079,,No plan review,$0.00,0
13359,6074150,NEW,Plan Review,$463247.00,0
50268,6074162,,No plan review,$0.00,0
49360,6074241,,Plan Review,$0.00,0
48400,6074285,,Plan Review,$0.00,0
39715,6074337,ADD/ALT,Plan Review,$200000.00,0
46672,6074339,,Plan Review,$0.00,0
39668,6074341,ADD/ALT,Plan Review,$5000.00,0
39452,6074349,NEW,Plan Review,$3704614.00,0
44975,6074433,,Plan Review,$0.00,0
48633,6074443,,Plan Review,$0.00,0
47219,6074455,NEW,Plan Review,$1085362.00,0
3522,6074465,ADD/ALT,Plan Review,$0.00,0
50173,6074471,,Plan Review,$0.00,0
44425,6074482,ADD/ALT,Plan Review,$0.00,0
49960,6074500,ADD/ALT,Plan Review,$0.00,0
48545,6074535,,Plan Review,$0.00,0
50331,6074574,,Plan Review,$0.00,0
44428,6074594,NEW,Plan Review,$0.00,0
44429,6074604,,Plan Review,$0.00,0
39573,6074674,NEW,Plan Review,$303287.00,0
49917,6074763,,Plan Review,$0.00,0
47573,6074793,,Plan Review,$0.00,0
39572,6074853,NEW,Plan Review,$312317.00,0
30966,6074870,NEW,Plan Review,$1674753.00,0
39662,6074897,ADD/ALT,Plan Review,$17000.00,0
47570,6074958,ADD/ALT,Plan Review,$0.00,0
39710,6074962,,No plan review,$0.00,0
49753,6075052,,Plan Review,$0.00,0
39719,6075064,ADD/ALT,Plan Review,$10000.00,0
44439,6075083,,Plan Review,$0.00,0
45259,6075114,ADD/ALT,Plan Review,$0.00,0
45428,6075126,ADD/ALT,Plan Review,$0.00,0
48744,6075133,,Plan Review,$0.00,0
48569,6075138,ADD/ALT,Plan Review,$5000.00,0
46560,6075155,,Plan Review,$0.00,0
5871,6075156,,No plan review,$0.00,0
50138,6075164,,Plan Review,$0.00,0
44403,6075165,,Plan Review,$0.00,0
44440,6075170,,Plan Review,$0.00,0
50092,6075171,ADD/ALT,Plan Review,$0.00,0
46648,6075173,,Plan Review,$0.00,0
