City Feature,Common Name,Address,Website,Longitude,Latitude
Public Art,International District Branch Library,713 8th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=12,-122.32283,47.59625
Public Art,Columbia Public Health Center,4400 37th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=4&view=2&img=0&item=17,-122.28572,47.56364
Public Art,Fire Station #10,400 S Washington St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=7&view=2&img=0&item=5,-122.32873,47.60102
Public Art,Fire Station #10,400 S Washington St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=7&view=2&img=0&item=7,-122.32873,47.60102
Public Art,Montlake Community Center,1618 E Calhoun St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=10,-122.30995,47.6417
Public Art,Southwest Community Center,2801 SW Thistle St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=9,-122.36918,47.52801
Public Art,Laurelhurst Community Center,4554 NE 41st St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=8,-122.27793,47.65915
Public Art,Lake City Branch Library,12501 28th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=22,-122.29809,47.71986
Public Art,Greenwood Branch Library,8016 Greenwood Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=21,-122.35496,47.6875
Public Art,Capitol Hill Branch Library,425 Harvard Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=13,-122.32245,47.62291
Public Art,Ballard Branch Library,5614 22nd Ave NW,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=14,-122.3842,47.66984
Public Art,Ballard Branch Library,5614 22nd Ave NW,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=17,-122.3842,47.66984
Public Art,Beacon Hill Branch Library,2821 Beacon Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=16,-122.31141,47.57805
Public Art,Broadview Branch Library,12755 Greenwood Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=18,-122.35603,47.723
Public Art,Broadview Branch Library,12755 Greenwood Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=19,-122.35603,47.723
Public Art,Warren G. Magnuson Park,6550 Sand Point Wy NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=1&view=2&img=0&item=11,-122.26355,47.6762
Public Art,Sam Smith Park,1400 K L King JR WAY S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=1&view=2&img=0&item=12,-122.29672,47.59058
Public Art,Fremont Ave N & N 34th St,Fremont Ave N & N 34th St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=3&view=2&img=0&item=9,-122.34975,47.64959
Public Art,Bitter Lake Community Center,13035 Linden Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=11,-122.34863,47.72406
