id,application_permit,action_type,work_type,value,location_id
42637,6159789,ADD/ALT,Plan Review,$0.00,42637
8232,6159951,,Plan Review,$0.00,50425
43054,6160180,ADD/ALT,Plan Review,$0.00,43055
39033,6160190,NEW,Plan Review,$344486.00,39033
44047,6160279,,Plan Review,$0.00,44047
46099,6160284,,Plan Review,$0.00,46099
38954,6160941,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,38954
39069,6161383,,No plan review,$0.00,39605
39037,6161780,ADD/ALT,Plan Review,$214887.00,39037
38948,6161983,NEW,Plan Review,$386240.00,38948
42653,6162440,NEW,Plan Review,$0.00,42653
42371,6162461,NEW,Plan Review,$506906.00,42371
39009,6162703,NEW,Plan Review,$142698.00,39009
39054,6162754,NEW,Plan Review,$148702.00,39054
39050,6162755,NEW,Plan Review,$148702.00,39054
44075,6162926,,Plan Review,$0.00,44075
38482,6163110,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,38482
46572,6163169,ADD/ALT,No plan review,$500.00,46572
41772,6163263,NEW,Plan Review,$0.00,41772
50352,6163506,,Plan Review,$0.00,50425
45257,6163657,ADD/ALT,Plan Review,$0.00,45257
39034,6163768,NEW,Plan Review,$266898.00,39034
44069,6163827,ADD/ALT,Plan Review,$0.00,44069
47065,6163876,ADD/ALT,Plan Review,$0.00,47065
28221,6164056,ADD/ALT,Plan Review,$118996.00,28221
38571,6164227,NEW,Plan Review,$321879.00,41812
49444,6164558,NEW,Plan Review,$35000.00,49444
38900,6164570,ADD/ALT,Plan Review,$116500.00,38900
46582,6164714,,Plan Review,$0.00,46582
46343,6164779,ADD/ALT,Plan Review,$0.00,46343
47363,6165441,,Plan Review,$0.00,47364
41633,6166002,NEW,Plan Review,$0.00,41633
42780,6166139,,Plan Review,$0.00,42780
48389,6166653,ADD/ALT,Plan Review,$0.00,48389
48158,6166847,ADD/ALT,Plan Review,$0.00,48158
41690,6166853,ADD/ALT,Plan Review,$0.00,41690
42480,6167015,NEW,Plan Review,$0.00,42480
38943,6167047,NEW,Plan Review,$1234867.00,38943
