Rnd,Pick,Tm,Name,Pos,Age,G,College/Univ
5,165,SFO,Bradley Pinion,P,21,16,Clemson
,,,,,,,
5,166,NWE,Joe Cardona,LS,23,16,Navy
,,,,,,,
5,167,NOR,Damian Swann,CB,22,7,Georgia
,,,,,,,
5,168,DET,Michael Burton,FB,23,16,Rutgers
,,,,,,,
5,169,CAR,David Mayo,LB,,12,Texas St.
,,,,,,,
5,170,SEA,Tye Smith,CB,22,4,Towson
,,,,,,,
5,171,BAL,Nick Boyle,TE,22,11,Delaware
,,,,,,,
5,172,KAN,D.J. Alexander,OLB,24,16,Oregon St.
,,,,,,,
5,173,KAN,James O'Shaughnessy,TE,23,7,Illinois St.
,,,,,,,
5,174,CAR,Cameron Artis-Payne,RB,25,7,Auburn
,,,,,,,
5,175,HOU,Keith Mumphery,WR,23,16,Michigan St.
,,,,,,,
5,176,BAL,Robert Myers,G,23,,Tennessee St.
,,,,,,,
6,177,TEN,Deiontrez Mount,OLB,22,4,Louisville
,,,,,,,
6,178,NWE,Matthew Wells,LB,24,,Mississippi St.
,,,,,,,
6,179,OAK,Max Valles,OLB,21,,Virginia
,,,,,,,
6,180,JAX,Michael Bennett,DT,22,13,Ohio St.
,,,,,,,
6,181,WAS,Kyshoen Jarrett,SS,22,16,Virginia Tech
,,,,,,,
6,182,WAS,Tevin Mitchel,CB,23,,Arkansas
,,,,,,,
6,183,CHI,Tayo Fabuluje,T,24,4,TCU
,,,,,,,
6,184,TAM,Kaelin Clay,WR,23,7,Utah
,,,,,,,
6,185,MIN,Tyrus Thompson,T,23,,Oklahoma
,,,,,,,
6,186,NYG,Geremy Davis,WR,23,10,Connecticut
,,,,,,,
6,187,WAS,Evan Spencer,WR,,1,Ohio St.
,,,,,,,
6,188,BUF,Tony Steward,OLB,23,7,Clemson
,,,,,,,
6,189,CLE,Charles Gaines,CB,22,6,Louisville
,,,,,,,
6,190,SFO,Ian Silberman,G,22,1,Boston Col.
,,,,,,,
6,191,PHI,JaCorey Shepherd,CB,,,Kansas
,,,,,,,
6,192,SDG,Darius Philon,DT,21,8,Arkansas
,,,,,,,
6,193,MIN,B.J. Dubose,DE,23,,Louisville
,,,,,,,
6,194,BUF,Nick O'Leary,TE,23,4,Florida St.
,,,,,,,
6,195,CLE,Malcolm Johnson,TE,23,12,Mississippi St.
,,,,,,,
6,196,PHI,Randall Evans,CB,23,1,Kansas St.
,,,,,,,
6,197,CIN,Derron Smith,FS,23,16,Fresno St.
,,,,,,,
6,198,CLE,Randall Telfer,TE,23,,USC
,,,,,,,
6,199,PIT,Leterrius Walton,DT,23,6,Central Michigan
,,,,,,,
6,200,DET,Quandre Diggs,CB,23,16,Texas
,,,,,,,
6,201,STL,Bud Sasser,WR,,,Missouri
,,,,,,,
6,202,NWE,A.J. Derby,TE,24,,Arkansas
,,,,,,,
6,203,DEN,Darius Kilgo,NT,23,9,Maryland
,,,,,,,
6,204,BAL,Darren Waller,WR,23,6,Georgia Tech
,,,,,,,
6,205,IND,Josh Robinson,RB,23,5,Mississippi St.
,,,,,,,
6,206,GNB,Aaron Ripkowski,FB,22,15,Oklahoma
,,,,,,,
6,207,IND,Amarlo Herrera,ILB,24,3,Georgia
,,,,,,,
6,208,TEN,Andy Gallik,C,24,11,Boston Col.
,,,,,,,
6,209,SEA,Obum Gwacham,DE,24,9,Oregon St.
,,,,,,,
6,210,GNB,Christian Ringo,DE,23,,La-Lafayette
,,,,,,,
6,211,HOU,Reshard Cliett,OLB,23,,South Florida
,,,,,,,
6,212,PIT,Anthony Chickillo,DE,22,7,Miami (FL)
,,,,,,,
6,213,GNB,Kennard Backman,TE,22,7,Ala-Birmingham
,,,,,,,
6,214,SEA,Kristjan Sokoli,DT,24,1,Buffalo
,,,,,,,
6,215,STL,Cody Wichmann,G,23,12,Fresno St.
,,,,,,,
6,216,HOU,Christian Covington,DT,21,15,Rice
,,,,,,,
6,217,KAN,Rakeem Nunez-Roches,DT,22,7,Southern Miss
,,,,,,,
7,218,OAK,Anthony Morris,OL,23,,Tennessee St.
,,,,,,,
7,219,CLE,Hayes Pullard,ILB,,8,USC
,,,,,,,
7,220,JAX,Neal Sterling,WR,23,9,Monmouth
,,,,,,,
7,221,OAK,Andre Debose,WR,,,Florida
,,,,,,,
7,222,WAS,Austin Reiter,C,,,South Florida
,,,,,,,
7,223,NYJ,Deon Simon,NT,25,,NW State (LA)
,,,,,,,
7,224,STL,Bryce Hager,ILB,23,16,Baylor
,,,,,,,
7,225,ATL,Jake Rodgers,T,,,East. Washington
,,,,,,,
7,226,NYG,Bobby Hart,G,21,9,Florida St.
,,,,,,,
7,227,STL,Martin Ifedi,DE,24,,Memphis
,,,,,,,
7,228,MIN,Austin Shepherd,T,23,14,Alabama
,,,,,,,
7,229,JAX,Ben Koyack,TE,22,,Notre Dame
,,,,,,,
