id,name,altname,xPos,yPos,hours,youth_only,lighting,location
98,Bellevue Place,,-122.327658,47.626904,4 a.m. - 11:30 p.m.,FALSE,FALSE,"Bellevue Ave E &amp; Bellevue Pl E
(-122.327658, 47.626904)"
99,Bellevue Place,,-122.327658,47.626904,4 a.m. - 11:30 p.m.,FALSE,FALSE,"Bellevue Ave E &amp; Bellevue Pl E
(-122.327658, 47.626904)"
100,Belltown Cottage Park,,-122.350776,47.613889,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2512 Elliott Ave
(-122.350776, 47.613889)"
101,Belltown Cottage Park,,-122.350776,47.613889,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2512 Elliott Ave
(-122.350776, 47.613889)"
102,Belvedere Park,Admiral Way Viewpoint,-122.376896,47.580673,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3600 SW Admiral Way
(-122.376896, 47.580673)"
103,Belvedere Park,Admiral Way Viewpoint,-122.376896,47.580673,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3600 SW Admiral Way
(-122.376896, 47.580673)"
104,Belvoir Place,,-122.283215,47.655124,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
105,Belvoir Place,,-122.283215,47.655124,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
106,Belvoir Place,,-122.283215,47.655124,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
107,Belvoir Place,,-122.283215,47.655124,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
108,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
109,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
110,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
111,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
112,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
113,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
114,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
115,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
116,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
117,Benefit Playground,,-122.2842942,47.51899824,6 a.m. - 10 p.m.,FALSE,FALSE,"9320 38th Ave S
(-122.2842942, 47.51899824)"
118,Benvenuto Viewpoint,,-122.3030288,47.58984078,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1401 23rd Ave S
(-122.3030288, 47.58984078)"
119,Bhy Kracke Park,,-122.348403,47.630426,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1215 5th Ave N
(-122.348403, 47.630426)"
120,Bhy Kracke Park,,-122.348403,47.630426,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1215 5th Ave N
(-122.348403, 47.630426)"
121,Bhy Kracke Park,,-122.348403,47.630426,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1215 5th Ave N
(-122.348403, 47.630426)"
122,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,TRUE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
123,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,TRUE,TRUE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
124,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
125,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
126,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
127,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,TRUE,TRUE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
128,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,TRUE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
129,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
130,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
131,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
132,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
133,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
134,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
135,Bitter Lake Playfield,,-122.3493143,47.72420909,4 a.m. - 11:30 p.m.,FALSE,FALSE,"13035 Linden Ave N
(-122.3493143, 47.72420909)"
136,Bitter Lake Reservoir Open Space,,-122.348583,47.731181,4 a.m. - 11:30 p.m.,FALSE,FALSE,"14201 Linden Ave N
(-122.348583, 47.731181)"
137,Bitter Lake Reservoir Open Space,,-122.348583,47.731181,4 a.m. - 11:30 p.m.,FALSE,FALSE,"14201 Linden Ave N
(-122.348583, 47.731181)"
138,Bitter Lake Reservoir Open Space,,-122.348583,47.731181,4 a.m. - 11:30 p.m.,FALSE,FALSE,"14201 Linden Ave N
(-122.348583, 47.731181)"
139,Bitter Lake Reservoir Open Space,,-122.348583,47.731181,4 a.m. - 11:30 p.m.,FALSE,FALSE,"14201 Linden Ave N
(-122.348583, 47.731181)"
140,Blue Dog Pond,,-122.297814,47.589982,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1520 26th Ave S
(-122.297814, 47.589982)"
141,Boren Park,Louisa Boren Overlook,-122.311628,47.635274,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1606 15th Ave E
(-122.311628, 47.635274)"
142,Boren Park,Louisa Boren Overlook,-122.311628,47.635274,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1606 15th Ave E
(-122.311628, 47.635274)"
143,Boren Park,Louisa Boren Overlook,-122.311628,47.635274,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1606 15th Ave E
(-122.311628, 47.635274)"
144,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
145,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
