id,Category
413,SINGLE FAMILY / DUPLEX
414,SINGLE FAMILY / DUPLEX
415,SINGLE FAMILY / DUPLEX
416,INSTITUTIONAL
417,SINGLE FAMILY / DUPLEX
418,SINGLE FAMILY / DUPLEX
419,SINGLE FAMILY / DUPLEX
420,SINGLE FAMILY / DUPLEX
421,SINGLE FAMILY / DUPLEX
422,COMMERCIAL
423,SINGLE FAMILY / DUPLEX
424,SINGLE FAMILY / DUPLEX
425,COMMERCIAL
426,MULTIFAMILY
427,COMMERCIAL
428,MULTIFAMILY
429,COMMERCIAL
430,SINGLE FAMILY / DUPLEX
431,MULTIFAMILY
432,SINGLE FAMILY / DUPLEX
433,COMMERCIAL
434,MULTIFAMILY
435,COMMERCIAL
436,SINGLE FAMILY / DUPLEX
437,SINGLE FAMILY / DUPLEX
438,SINGLE FAMILY / DUPLEX
439,
440,COMMERCIAL
441,COMMERCIAL
442,SINGLE FAMILY / DUPLEX
443,COMMERCIAL
444,SINGLE FAMILY / DUPLEX
445,COMMERCIAL
446,COMMERCIAL
447,COMMERCIAL
448,INSTITUTIONAL
449,SINGLE FAMILY / DUPLEX
450,SINGLE FAMILY / DUPLEX
451,COMMERCIAL
452,COMMERCIAL
453,COMMERCIAL
454,COMMERCIAL
455,COMMERCIAL
456,COMMERCIAL
457,SINGLE FAMILY / DUPLEX
458,SINGLE FAMILY / DUPLEX
459,SINGLE FAMILY / DUPLEX
460,SINGLE FAMILY / DUPLEX
461,MULTIFAMILY
462,COMMERCIAL
463,COMMERCIAL
464,MULTIFAMILY
465,SINGLE FAMILY / DUPLEX
466,SINGLE FAMILY / DUPLEX
467,MULTIFAMILY
468,SINGLE FAMILY / DUPLEX
469,SINGLE FAMILY / DUPLEX
470,SINGLE FAMILY / DUPLEX
471,COMMERCIAL
472,SINGLE FAMILY / DUPLEX
473,SINGLE FAMILY / DUPLEX
474,COMMERCIAL
475,MULTIFAMILY
476,SINGLE FAMILY / DUPLEX
477,
478,SINGLE FAMILY / DUPLEX
479,COMMERCIAL
480,SINGLE FAMILY / DUPLEX
481,SINGLE FAMILY / DUPLEX
482,COMMERCIAL
483,SINGLE FAMILY / DUPLEX
484,SINGLE FAMILY / DUPLEX
485,SINGLE FAMILY / DUPLEX
486,SINGLE FAMILY / DUPLEX
487,SINGLE FAMILY / DUPLEX
488,SINGLE FAMILY / DUPLEX
489,COMMERCIAL
490,COMMERCIAL
491,SINGLE FAMILY / DUPLEX
492,SINGLE FAMILY / DUPLEX
493,SINGLE FAMILY / DUPLEX
494,COMMERCIAL
495,MULTIFAMILY
496,COMMERCIAL
497,COMMERCIAL
498,MULTIFAMILY
499,SINGLE FAMILY / DUPLEX
500,COMMERCIAL
501,
502,INSTITUTIONAL
503,COMMERCIAL
504,SINGLE FAMILY / DUPLEX
505,SINGLE FAMILY / DUPLEX
506,COMMERCIAL
507,SINGLE FAMILY / DUPLEX
508,SINGLE FAMILY / DUPLEX
509,COMMERCIAL
510,SINGLE FAMILY / DUPLEX
511,COMMERCIAL
512,COMMERCIAL
513,COMMERCIAL
514,COMMERCIAL
515,COMMERCIAL
516,SINGLE FAMILY / DUPLEX
517,SINGLE FAMILY / DUPLEX
518,SINGLE FAMILY / DUPLEX
519,SINGLE FAMILY / DUPLEX
520,SINGLE FAMILY / DUPLEX
521,SINGLE FAMILY / DUPLEX
522,SINGLE FAMILY / DUPLEX
523,SINGLE FAMILY / DUPLEX
524,SINGLE FAMILY / DUPLEX
525,SINGLE FAMILY / DUPLEX
526,COMMERCIAL
527,COMMERCIAL
528,COMMERCIAL
529,SINGLE FAMILY / DUPLEX
530,COMMERCIAL
531,SINGLE FAMILY / DUPLEX
532,COMMERCIAL
533,SINGLE FAMILY / DUPLEX
534,INSTITUTIONAL
535,SINGLE FAMILY / DUPLEX
536,SINGLE FAMILY / DUPLEX
537,SINGLE FAMILY / DUPLEX
538,SINGLE FAMILY / DUPLEX
539,SINGLE FAMILY / DUPLEX
540,SINGLE FAMILY / DUPLEX
541,SINGLE FAMILY / DUPLEX
542,SINGLE FAMILY / DUPLEX
543,SINGLE FAMILY / DUPLEX
544,SINGLE FAMILY / DUPLEX
545,COMMERCIAL
546,MULTIFAMILY
547,COMMERCIAL
548,SINGLE FAMILY / DUPLEX
549,COMMERCIAL
550,SINGLE FAMILY / DUPLEX
551,COMMERCIAL
552,MULTIFAMILY
553,SINGLE FAMILY / DUPLEX
554,SINGLE FAMILY / DUPLEX
555,INSTITUTIONAL
556,COMMERCIAL
557,COMMERCIAL
558,COMMERCIAL
559,
560,
561,COMMERCIAL
562,MULTIFAMILY
563,MULTIFAMILY
564,MULTIFAMILY
565,MULTIFAMILY
566,MULTIFAMILY
567,SINGLE FAMILY / DUPLEX
568,COMMERCIAL
569,COMMERCIAL
570,SINGLE FAMILY / DUPLEX
571,SINGLE FAMILY / DUPLEX
572,SINGLE FAMILY / DUPLEX
573,SINGLE FAMILY / DUPLEX
574,SINGLE FAMILY / DUPLEX
575,COMMERCIAL
576,SINGLE FAMILY / DUPLEX
577,SINGLE FAMILY / DUPLEX
578,SINGLE FAMILY / DUPLEX
579,SINGLE FAMILY / DUPLEX
580,COMMERCIAL
581,SINGLE FAMILY / DUPLEX
582,SINGLE FAMILY / DUPLEX
583,SINGLE FAMILY / DUPLEX
584,SINGLE FAMILY / DUPLEX
585,SINGLE FAMILY / DUPLEX
586,COMMERCIAL
587,SINGLE FAMILY / DUPLEX
588,SINGLE FAMILY / DUPLEX
589,SINGLE FAMILY / DUPLEX
590,SINGLE FAMILY / DUPLEX
591,SINGLE FAMILY / DUPLEX
592,SINGLE FAMILY / DUPLEX
593,SINGLE FAMILY / DUPLEX
594,COMMERCIAL
595,MULTIFAMILY
596,MULTIFAMILY
597,MULTIFAMILY
598,MULTIFAMILY
599,MULTIFAMILY
600,SINGLE FAMILY / DUPLEX
601,COMMERCIAL
602,
603,COMMERCIAL
604,SINGLE FAMILY / DUPLEX
605,MULTIFAMILY
606,SINGLE FAMILY / DUPLEX
607,SINGLE FAMILY / DUPLEX
608,SINGLE FAMILY / DUPLEX
609,COMMERCIAL
610,SINGLE FAMILY / DUPLEX
611,SINGLE FAMILY / DUPLEX
612,SINGLE FAMILY / DUPLEX
613,SINGLE FAMILY / DUPLEX
614,SINGLE FAMILY / DUPLEX
615,SINGLE FAMILY / DUPLEX
616,COMMERCIAL
617,SINGLE FAMILY / DUPLEX
618,COMMERCIAL
619,SINGLE FAMILY / DUPLEX
620,SINGLE FAMILY / DUPLEX
621,COMMERCIAL
622,SINGLE FAMILY / DUPLEX
623,COMMERCIAL
624,COMMERCIAL
625,SINGLE FAMILY / DUPLEX
626,COMMERCIAL
627,MULTIFAMILY
628,SINGLE FAMILY / DUPLEX
629,SINGLE FAMILY / DUPLEX
630,SINGLE FAMILY / DUPLEX
631,SINGLE FAMILY / DUPLEX
632,SINGLE FAMILY / DUPLEX
633,SINGLE FAMILY / DUPLEX
634,COMMERCIAL
635,MULTIFAMILY
636,SINGLE FAMILY / DUPLEX
637,COMMERCIAL
638,SINGLE FAMILY / DUPLEX
639,SINGLE FAMILY / DUPLEX
640,SINGLE FAMILY / DUPLEX
641,SINGLE FAMILY / DUPLEX
642,SINGLE FAMILY / DUPLEX
643,SINGLE FAMILY / DUPLEX
644,SINGLE FAMILY / DUPLEX
645,MULTIFAMILY
646,SINGLE FAMILY / DUPLEX
647,COMMERCIAL
648,SINGLE FAMILY / DUPLEX
649,COMMERCIAL
650,COMMERCIAL
651,COMMERCIAL
652,COMMERCIAL
653,COMMERCIAL
654,SINGLE FAMILY / DUPLEX
655,COMMERCIAL
656,SINGLE FAMILY / DUPLEX
657,SINGLE FAMILY / DUPLEX
658,SINGLE FAMILY / DUPLEX
659,SINGLE FAMILY / DUPLEX
660,MULTIFAMILY
661,MULTIFAMILY
662,SINGLE FAMILY / DUPLEX
663,SINGLE FAMILY / DUPLEX
664,SINGLE FAMILY / DUPLEX
665,SINGLE FAMILY / DUPLEX
666,SINGLE FAMILY / DUPLEX
667,SINGLE FAMILY / DUPLEX
668,SINGLE FAMILY / DUPLEX
669,SINGLE FAMILY / DUPLEX
670,SINGLE FAMILY / DUPLEX
671,COMMERCIAL
672,SINGLE FAMILY / DUPLEX
673,SINGLE FAMILY / DUPLEX
674,SINGLE FAMILY / DUPLEX
675,SINGLE FAMILY / DUPLEX
676,COMMERCIAL
677,COMMERCIAL
678,COMMERCIAL
679,SINGLE FAMILY / DUPLEX
680,COMMERCIAL
681,SINGLE FAMILY / DUPLEX
682,SINGLE FAMILY / DUPLEX
683,SINGLE FAMILY / DUPLEX
684,COMMERCIAL
685,SINGLE FAMILY / DUPLEX
686,SINGLE FAMILY / DUPLEX
687,COMMERCIAL
688,SINGLE FAMILY / DUPLEX
689,MULTIFAMILY
690,MULTIFAMILY
691,MULTIFAMILY
692,SINGLE FAMILY / DUPLEX
693,SINGLE FAMILY / DUPLEX
694,SINGLE FAMILY / DUPLEX
695,COMMERCIAL
696,SINGLE FAMILY / DUPLEX
697,INSTITUTIONAL
698,COMMERCIAL
699,SINGLE FAMILY / DUPLEX
700,SINGLE FAMILY / DUPLEX
701,INSTITUTIONAL
702,SINGLE FAMILY / DUPLEX
703,SINGLE FAMILY / DUPLEX
704,SINGLE FAMILY / DUPLEX
705,SINGLE FAMILY / DUPLEX
706,MULTIFAMILY
707,MULTIFAMILY
708,SINGLE FAMILY / DUPLEX
709,MULTIFAMILY
710,INSTITUTIONAL
711,COMMERCIAL
712,MULTIFAMILY
713,SINGLE FAMILY / DUPLEX
714,MULTIFAMILY
715,SINGLE FAMILY / DUPLEX
716,COMMERCIAL
717,
718,SINGLE FAMILY / DUPLEX
719,INDUSTRIAL
720,INSTITUTIONAL
721,SINGLE FAMILY / DUPLEX
722,COMMERCIAL
723,COMMERCIAL
724,SINGLE FAMILY / DUPLEX
725,COMMERCIAL
726,COMMERCIAL
727,SINGLE FAMILY / DUPLEX
728,COMMERCIAL
729,COMMERCIAL
730,COMMERCIAL
731,COMMERCIAL
732,COMMERCIAL
733,SINGLE FAMILY / DUPLEX
734,COMMERCIAL
735,SINGLE FAMILY / DUPLEX
736,MULTIFAMILY
737,MULTIFAMILY
738,SINGLE FAMILY / DUPLEX
739,SINGLE FAMILY / DUPLEX
740,COMMERCIAL
741,SINGLE FAMILY / DUPLEX
742,SINGLE FAMILY / DUPLEX
743,SINGLE FAMILY / DUPLEX
744,SINGLE FAMILY / DUPLEX
745,SINGLE FAMILY / DUPLEX
746,SINGLE FAMILY / DUPLEX
747,INSTITUTIONAL
748,SINGLE FAMILY / DUPLEX
749,SINGLE FAMILY / DUPLEX
750,SINGLE FAMILY / DUPLEX
751,COMMERCIAL
752,COMMERCIAL
753,INSTITUTIONAL
754,SINGLE FAMILY / DUPLEX
755,SINGLE FAMILY / DUPLEX
756,SINGLE FAMILY / DUPLEX
757,COMMERCIAL
758,COMMERCIAL
759,INSTITUTIONAL
760,COMMERCIAL
761,SINGLE FAMILY / DUPLEX
762,SINGLE FAMILY / DUPLEX
763,SINGLE FAMILY / DUPLEX
764,SINGLE FAMILY / DUPLEX
765,SINGLE FAMILY / DUPLEX
766,SINGLE FAMILY / DUPLEX
767,COMMERCIAL
768,SINGLE FAMILY / DUPLEX
769,SINGLE FAMILY / DUPLEX
770,SINGLE FAMILY / DUPLEX
771,SINGLE FAMILY / DUPLEX
772,COMMERCIAL
773,SINGLE FAMILY / DUPLEX
774,SINGLE FAMILY / DUPLEX
775,MULTIFAMILY
776,COMMERCIAL
777,MULTIFAMILY
778,SINGLE FAMILY / DUPLEX
779,INSTITUTIONAL
780,COMMERCIAL
781,SINGLE FAMILY / DUPLEX
782,SINGLE FAMILY / DUPLEX
783,SINGLE FAMILY / DUPLEX
784,SINGLE FAMILY / DUPLEX
785,COMMERCIAL
786,COMMERCIAL
787,COMMERCIAL
788,COMMERCIAL
789,SINGLE FAMILY / DUPLEX
790,COMMERCIAL
791,COMMERCIAL
792,COMMERCIAL
793,COMMERCIAL
794,COMMERCIAL
795,COMMERCIAL
796,SINGLE FAMILY / DUPLEX
797,SINGLE FAMILY / DUPLEX
798,SINGLE FAMILY / DUPLEX
799,COMMERCIAL
800,COMMERCIAL
801,
802,SINGLE FAMILY / DUPLEX
803,COMMERCIAL
804,SINGLE FAMILY / DUPLEX
805,INSTITUTIONAL
806,SINGLE FAMILY / DUPLEX
807,SINGLE FAMILY / DUPLEX
808,SINGLE FAMILY / DUPLEX
809,SINGLE FAMILY / DUPLEX
810,SINGLE FAMILY / DUPLEX
