id,Category,DesignType,DesignIncluded
335,SINGLE FAMILY / DUPLEX,II,N
336,MULTIFAMILY,II,N
337,SINGLE FAMILY / DUPLEX,II,N
338,MULTIFAMILY,II,N
339,MULTIFAMILY,II,N
340,MULTIFAMILY,I,N
341,SINGLE FAMILY / DUPLEX,I,N
342,SINGLE FAMILY / DUPLEX,II,N
343,SINGLE FAMILY / DUPLEX,II,N
344,MULTIFAMILY,II,N
345,MULTIFAMILY,II,N
346,MULTIFAMILY,II,N
347,MULTIFAMILY,II,N
348,MULTIFAMILY,II,Y
349,MULTIFAMILY,II,N
350,SINGLE FAMILY / DUPLEX,II,N
351,COMMERCIAL,II,N
352,SINGLE FAMILY / DUPLEX,II,N
353,MULTIFAMILY,II,Y
354,SINGLE FAMILY / DUPLEX,II,N
355,SINGLE FAMILY / DUPLEX,I,N
356,SINGLE FAMILY / DUPLEX,II,N
357,MULTIFAMILY,II,N
358,SINGLE FAMILY / DUPLEX,II,N
359,SINGLE FAMILY / DUPLEX,II,N
360,COMMERCIAL,II,N
361,SINGLE FAMILY / DUPLEX,II,N
362,MULTIFAMILY,II,N
363,INDUSTRIAL,II,N
364,COMMERCIAL,IV,Y
365,COMMERCIAL,II,Y
366,MULTIFAMILY,II,N
367,SINGLE FAMILY / DUPLEX,II,N
368,MULTIFAMILY,II,N
369,MULTIFAMILY,II,N
370,SINGLE FAMILY / DUPLEX,II,N
371,COMMERCIAL,IV,N
372,INDUSTRIAL,II,N
373,MULTIFAMILY,II,N
374,SINGLE FAMILY / DUPLEX,II,N
375,COMMERCIAL,II,Y
376,MULTIFAMILY,I,N
377,COMMERCIAL,I,N
378,MULTIFAMILY,II,N
379,SINGLE FAMILY / DUPLEX,II,N
380,SINGLE FAMILY / DUPLEX,II,N
381,MULTIFAMILY,II,N
382,MULTIFAMILY,II,N
383,SINGLE FAMILY / DUPLEX,II,N
384,MULTIFAMILY,II,Y
385,COMMERCIAL,II,Y
386,COMMERCIAL,I,N
387,SINGLE FAMILY / DUPLEX,II,N
388,SINGLE FAMILY / DUPLEX,II,N
389,SINGLE FAMILY / DUPLEX,II,N
390,MULTIFAMILY,II,N
391,MULTIFAMILY,II,Y
392,MULTIFAMILY,II,N
393,MULTIFAMILY,II,Y
394,MULTIFAMILY,II,N
395,INSTITUTIONAL,II,N
396,MULTIFAMILY,II,N
397,COMMERCIAL,II,N
398,SINGLE FAMILY / DUPLEX,II,N
399,COMMERCIAL,II,Y
400,COMMERCIAL,II,Y
401,INSTITUTIONAL,II,N
402,INSTITUTIONAL,II,N
403,COMMERCIAL,II,Y
404,MULTIFAMILY,II,N
405,SINGLE FAMILY / DUPLEX,II,N
406,COMMERCIAL,II,Y
407,SINGLE FAMILY / DUPLEX,I,N
408,MULTIFAMILY,II,N
409,MULTIFAMILY,II,N
410,MULTIFAMILY,II,N
411,MULTIFAMILY,II,N
412,MULTIFAMILY,II,N
413,MULTIFAMILY,II,N
414,MULTIFAMILY,II,N
415,COMMERCIAL,II,N
416,MULTIFAMILY,II,N
417,SINGLE FAMILY / DUPLEX,I,N
418,MULTIFAMILY,II,N
419,SINGLE FAMILY / DUPLEX,II,N
420,SINGLE FAMILY / DUPLEX,II,N
421,COMMERCIAL,II,N
422,MULTIFAMILY,II,N
423,MULTIFAMILY,II,N
424,SINGLE FAMILY / DUPLEX,II,N
425,SINGLE FAMILY / DUPLEX,II,N
426,MULTIFAMILY,II,N
427,MULTIFAMILY,II,N
428,INSTITUTIONAL,II,N
429,MULTIFAMILY,II,N
430,SINGLE FAMILY / DUPLEX,II,N
431,COMMERCIAL,II,Y
432,MULTIFAMILY,II,N
433,MULTIFAMILY,II,N
434,COMMERCIAL,II,Y
435,COMMERCIAL,II,Y
436,MULTIFAMILY,II,N
437,SINGLE FAMILY / DUPLEX,II,N
438,SINGLE FAMILY / DUPLEX,II,N
439,MULTIFAMILY,II,N
440,MULTIFAMILY,II,N
441,SINGLE FAMILY / DUPLEX,II,N
