id,Category,DesignType,DesignIncluded
5528,SINGLE FAMILY / DUPLEX,II,N
5529,INDUSTRIAL,II,N
5530,SINGLE FAMILY / DUPLEX,II,N
5531,MULTIFAMILY,II,N
5532,COMMERCIAL,II,N
5533,SINGLE FAMILY / DUPLEX,II,N
5534,MULTIFAMILY,II,N
5535,INSTITUTIONAL,II,N
5536,SINGLE FAMILY / DUPLEX,II,N
5537,,II,N
5538,COMMERCIAL,II,N
5539,,II,N
5540,MULTIFAMILY,II,N
5541,MULTIFAMILY,II,N
5542,MULTIFAMILY,II,N
5543,MULTIFAMILY,II,N
5544,COMMERCIAL,II,Y
5545,MULTIFAMILY,II,
5546,MULTIFAMILY,I,N
5547,MULTIFAMILY,II,N
5548,MULTIFAMILY,II,N
5549,,II,N
5550,MULTIFAMILY,II,N
5551,COMMERCIAL,II,N
5552,COMMERCIAL,II,N
5553,MULTIFAMILY,II,N
5554,COMMERCIAL,II,N
5555,MULTIFAMILY,II,N
5556,MULTIFAMILY,II,N
5557,MULTIFAMILY,II,N
5558,,II,N
5559,INDUSTRIAL,II,N
5560,MULTIFAMILY,II,Y
5561,COMMERCIAL,II,N
5562,MULTIFAMILY,II,N
5563,SINGLE FAMILY / DUPLEX,II,N
5564,COMMERCIAL,II,Y
5565,SINGLE FAMILY / DUPLEX,II,N
5566,,I,N
5567,SINGLE FAMILY / DUPLEX,II,N
5568,MULTIFAMILY,II,N
5569,,II,N
5570,MULTIFAMILY,I,N
5571,MULTIFAMILY,II,N
5572,SINGLE FAMILY / DUPLEX,II,N
5573,,II,N
5574,MULTIFAMILY,I,N
5575,MULTIFAMILY,II,N
5576,SINGLE FAMILY / DUPLEX,II,N
5577,INSTITUTIONAL,II,N
5578,COMMERCIAL,II,N
5579,COMMERCIAL,II,N
5580,,II,N
5581,COMMERCIAL,II,N
5582,COMMERCIAL,IV,N
5583,COMMERCIAL,II,N
5584,SINGLE FAMILY / DUPLEX,II,N
5585,MULTIFAMILY,II,N
5586,INSTITUTIONAL,II,N
5587,MULTIFAMILY,II,N
5588,MULTIFAMILY,II,N
5589,,II,N
5590,MULTIFAMILY,II,N
5591,COMMERCIAL,II,N
5592,COMMERCIAL,II,N
5593,COMMERCIAL,II,Y
5594,,II,N
5595,,II,N
5596,MULTIFAMILY,II,N
5597,MULTIFAMILY,II,N
5598,SINGLE FAMILY / DUPLEX,II,N
5599,,II,N
5600,COMMERCIAL,II,N
5601,,I,N
5602,,I,N
5603,,II,N
5604,INSTITUTIONAL,II,N
5605,,II,N
5606,MULTIFAMILY,II,N
5607,,I,N
5608,MULTIFAMILY,II,N
5609,COMMERCIAL,II,N
5610,,II,N
5611,SINGLE FAMILY / DUPLEX,I,N
5612,,I,N
5613,MULTIFAMILY,II,N
5614,MULTIFAMILY,II,N
5615,MULTIFAMILY,II,N
5616,COMMERCIAL,II,N
5617,SINGLE FAMILY / DUPLEX,II,N
5618,COMMERCIAL,II,Y
5619,MULTIFAMILY,III,N
5620,,I,N
5621,MULTIFAMILY,I,N
5622,SINGLE FAMILY / DUPLEX,II,N
5623,SINGLE FAMILY / DUPLEX,II,N
5624,MULTIFAMILY,II,N
5625,SINGLE FAMILY / DUPLEX,II,N
5626,SINGLE FAMILY / DUPLEX,II,N
5627,SINGLE FAMILY / DUPLEX,II,N
5628,COMMERCIAL,II,N
5629,MULTIFAMILY,II,N
5630,MULTIFAMILY,II,N
5631,MULTIFAMILY,II,N
5632,MULTIFAMILY,II,N
5633,SINGLE FAMILY / DUPLEX,II,N
5634,INDUSTRIAL,II,
5635,SINGLE FAMILY / DUPLEX,II,N
5636,COMMERCIAL,II,N
5637,MULTIFAMILY,I,N
5638,MULTIFAMILY,II,N
5639,,II,N
5640,COMMERCIAL,II,N
5641,MULTIFAMILY,II,N
5642,SINGLE FAMILY / DUPLEX,II,N
5643,SINGLE FAMILY / DUPLEX,II,N
5644,,II,N
5645,SINGLE FAMILY / DUPLEX,I,N
5646,SINGLE FAMILY / DUPLEX,II,N
5647,,II,N
5648,COMMERCIAL,II,N
5649,COMMERCIAL,II,Y
5650,MULTIFAMILY,I,N
5651,MULTIFAMILY,II,N
5652,MULTIFAMILY,II,N
5653,SINGLE FAMILY / DUPLEX,II,N
5654,SINGLE FAMILY / DUPLEX,II,N
5655,INSTITUTIONAL,V,N
5656,SINGLE FAMILY / DUPLEX,I,N
5657,MULTIFAMILY,II,N
5658,MULTIFAMILY,II,N
5659,MULTIFAMILY,II,N
5660,MULTIFAMILY,II,N
5661,COMMERCIAL,II,Y
5662,COMMERCIAL,II,Y
5663,COMMERCIAL,II,Y
5664,MULTIFAMILY,I,N
5665,SINGLE FAMILY / DUPLEX,II,N
5666,MULTIFAMILY,II,N
5667,MULTIFAMILY,II,N
5668,MULTIFAMILY,II,N
5669,MULTIFAMILY,II,N
5670,,,N
5671,,II,N
5672,SINGLE FAMILY / DUPLEX,II,
5673,MULTIFAMILY,II,N
5674,INDUSTRIAL,II,N
5675,MULTIFAMILY,II,Y
5676,COMMERCIAL,II,N
5677,,II,N
5678,MULTIFAMILY,II,N
5679,,II,N
5680,,II,N
5681,MULTIFAMILY,II,N
5682,COMMERCIAL,II,Y
5683,MULTIFAMILY,I,N
5684,MULTIFAMILY,II,N
5685,MULTIFAMILY,,
5686,,II,N
5687,MULTIFAMILY,II,N
5688,COMMERCIAL,II,N
5689,SINGLE FAMILY / DUPLEX,II,N
5690,SINGLE FAMILY / DUPLEX,II,N
5691,MULTIFAMILY,II,N
5692,SINGLE FAMILY / DUPLEX,II,N
5693,SINGLE FAMILY / DUPLEX,II,N
5694,MULTIFAMILY,II,Y
5695,MULTIFAMILY,II,N
5696,SINGLE FAMILY / DUPLEX,II,N
5697,COMMERCIAL,II,N
5698,SINGLE FAMILY / DUPLEX,II,N
5699,MULTIFAMILY,II,N
5700,MULTIFAMILY,II,N
5701,MULTIFAMILY,II,N
5702,INDUSTRIAL,II,N
5703,INDUSTRIAL,II,N
5704,COMMERCIAL,II,N
5705,COMMERCIAL,II,Y
5706,SINGLE FAMILY / DUPLEX,II,N
5707,COMMERCIAL,II,N
5708,SINGLE FAMILY / DUPLEX,II,N
5709,SINGLE FAMILY / DUPLEX,II,N
5710,MULTIFAMILY,II,N
5711,COMMERCIAL,II,Y
5712,MULTIFAMILY,II,N
5713,SINGLE FAMILY / DUPLEX,II,N
5714,,II,N
5715,,II,N
5716,SINGLE FAMILY / DUPLEX,II,N
5717,SINGLE FAMILY / DUPLEX,II,N
5718,,II,N
5719,SINGLE FAMILY / DUPLEX,II,N
5720,,II,N
5721,SINGLE FAMILY / DUPLEX,II,N
5722,SINGLE FAMILY / DUPLEX,II,N
5723,COMMERCIAL,II,Y
5724,SINGLE FAMILY / DUPLEX,II,N
5725,INSTITUTIONAL,II,N
5726,INSTITUTIONAL,II,N
5727,MULTIFAMILY,II,N
5728,,II,N
5729,SINGLE FAMILY / DUPLEX,II,N
5730,MULTIFAMILY,II,N
5731,,II,N
5732,,I,N
5733,,II,N
5734,SINGLE FAMILY / DUPLEX,II,N
5735,SINGLE FAMILY / DUPLEX,I,N
5736,MULTIFAMILY,II,N
5737,,I,N
5738,,I,N
5739,MULTIFAMILY,II,N
5740,COMMERCIAL,II,N
5741,SINGLE FAMILY / DUPLEX,I,N
5742,COMMERCIAL,II,N
5743,,II,N
5744,MULTIFAMILY,III,N
5745,COMMERCIAL,II,Y
5746,MULTIFAMILY,I,N
5747,MULTIFAMILY,I,N
5748,SINGLE FAMILY / DUPLEX,II,N
5749,MULTIFAMILY,II,N
5750,SINGLE FAMILY / DUPLEX,II,N
5751,,I,N
5752,SINGLE FAMILY / DUPLEX,II,N
5753,SINGLE FAMILY / DUPLEX,II,N
5754,COMMERCIAL,II,Y
5755,SINGLE FAMILY / DUPLEX,I,N
5756,COMMERCIAL,II,N
5757,MULTIFAMILY,II,N
5758,,II,N
5759,SINGLE FAMILY / DUPLEX,II,N
5760,COMMERCIAL,II,Y
5761,MULTIFAMILY,II,N
5762,MULTIFAMILY,,
5763,MULTIFAMILY,II,N
5764,,II,N
5765,,II,N
5766,,II,N
5767,MULTIFAMILY,II,N
5768,,I,N
5769,,I,N
5770,,II,N
5771,SINGLE FAMILY / DUPLEX,II,N
5772,,II,N
5773,MULTIFAMILY,II,N
5774,COMMERCIAL,II,Y
5775,,II,N
5776,,II,N
5777,,II,N
5778,,II,N
5779,MULTIFAMILY,III,N
5780,COMMERCIAL,II,Y
5781,INDUSTRIAL,II,N
5782,COMMERCIAL,II,N
5783,COMMERCIAL,II,N
5784,COMMERCIAL,II,N
5785,COMMERCIAL,II,N
5786,COMMERCIAL,II,N
5787,COMMERCIAL,II,N
5788,,I,N
5789,,I,N
5790,MULTIFAMILY,I,N
5791,COMMERCIAL,II,N
5792,MULTIFAMILY,II,N
5793,,II,N
5794,COMMERCIAL,II,N
5795,COMMERCIAL,I,N
5796,MULTIFAMILY,II,N
5797,MULTIFAMILY,II,N
5798,COMMERCIAL,I,N
5799,SINGLE FAMILY / DUPLEX,II,N
5800,,II,N
5801,,I,N
5802,MULTIFAMILY,II,N
5803,INSTITUTIONAL,II,N
5804,MULTIFAMILY,II,N
5805,MULTIFAMILY,II,N
5806,INDUSTRIAL,II,N
5807,MULTIFAMILY,II,Y
5808,COMMERCIAL,I,N
5809,,II,N
5810,MULTIFAMILY,II,N
5811,,II,N
5812,COMMERCIAL,II,
5813,,II,N
5814,MULTIFAMILY,I,N
5815,MULTIFAMILY,II,N
5816,MULTIFAMILY,II,N
5817,COMMERCIAL,II,N
5818,SINGLE FAMILY / DUPLEX,II,N
5819,,II,N
5820,,II,N
5821,,II,N
5822,MULTIFAMILY,II,N
5823,COMMERCIAL,II,N
5824,COMMERCIAL,I,N
5825,MULTIFAMILY,II,
5826,MULTIFAMILY,II,N
5827,MULTIFAMILY,II,N
5828,MULTIFAMILY,II,N
5829,MULTIFAMILY,II,Y
5830,MULTIFAMILY,II,Y
5831,COMMERCIAL,II,Y
5832,COMMERCIAL,IV,Y
5833,COMMERCIAL,II,N
5834,MULTIFAMILY,I,N
5835,,II,N
5836,MULTIFAMILY,II,N
5837,MULTIFAMILY,II,N
5838,,II,N
5839,,II,N
5840,,II,N
5841,SINGLE FAMILY / DUPLEX,II,N
5842,MULTIFAMILY,II,N
5843,COMMERCIAL,II,N
5844,MULTIFAMILY,II,N
5845,MULTIFAMILY,II,N
5846,,II,N
5847,COMMERCIAL,II,N
5848,SINGLE FAMILY / DUPLEX,II,N
5849,,II,N
5850,,II,N
5851,SINGLE FAMILY / DUPLEX,II,N
5852,SINGLE FAMILY / DUPLEX,II,N
5853,INDUSTRIAL,II,N
5854,MULTIFAMILY,II,N
5855,SINGLE FAMILY / DUPLEX,II,N
5856,,I,N
5857,MULTIFAMILY,III,N
5858,MULTIFAMILY,III,N
5859,COMMERCIAL,I,N
5860,MULTIFAMILY,II,N
5861,MULTIFAMILY,II,N
5862,SINGLE FAMILY / DUPLEX,II,N
5863,,,
5864,MULTIFAMILY,II,N
5865,COMMERCIAL,II,Y
5866,MULTIFAMILY,II,N
5867,MULTIFAMILY,II,N
5868,MULTIFAMILY,II,N
5869,,II,N
5870,COMMERCIAL,II,Y
5871,,II,N
5872,,II,N
5873,COMMERCIAL,I,N
5874,MULTIFAMILY,II,Y
5875,INSTITUTIONAL,II,N
5876,MULTIFAMILY,II,Y
5877,,II,N
5878,,II,N
5879,MULTIFAMILY,II,N
5880,MULTIFAMILY,II,N
5881,,II,N
5882,,II,N
5883,,II,N
5884,,II,N
5885,INSTITUTIONAL,IV,N
5886,COMMERCIAL,I,N
5887,MULTIFAMILY,II,N
5888,COMMERCIAL,II,Y
5889,,II,N
5890,,II,N
5891,SINGLE FAMILY / DUPLEX,II,N
5892,SINGLE FAMILY / DUPLEX,II,N
5893,,II,N
5894,,II,N
5895,MULTIFAMILY,III,N
5896,COMMERCIAL,I,N
5897,,II,N
5898,MULTIFAMILY,II,N
5899,MULTIFAMILY,II,N
5900,COMMERCIAL,II,Y
5901,SINGLE FAMILY / DUPLEX,I,N
5902,INSTITUTIONAL,IV,N
5903,COMMERCIAL,II,
5904,MULTIFAMILY,II,N
5905,MULTIFAMILY,II,N
5906,SINGLE FAMILY / DUPLEX,II,N
5907,COMMERCIAL,II,Y
5908,MULTIFAMILY,IV,Y
5909,SINGLE FAMILY / DUPLEX,I,N
5910,INDUSTRIAL,II,N
5911,MULTIFAMILY,II,Y
5912,COMMERCIAL,II,Y
5913,MULTIFAMILY,II,Y
5914,MULTIFAMILY,II,N
5915,SINGLE FAMILY / DUPLEX,II,N
5916,SINGLE FAMILY / DUPLEX,II,N
5917,MULTIFAMILY,II,N
5918,COMMERCIAL,II,Y
5919,COMMERCIAL,II,Y
5920,COMMERCIAL,I,N
5921,SINGLE FAMILY / DUPLEX,II,N
5922,SINGLE FAMILY / DUPLEX,II,N
5923,SINGLE FAMILY / DUPLEX,II,N
5924,MULTIFAMILY,II,N
5925,COMMERCIAL,I,N
5926,COMMERCIAL,IV,N
5927,SINGLE FAMILY / DUPLEX,II,N
5928,,I,N
5929,SINGLE FAMILY / DUPLEX,II,N
5930,MULTIFAMILY,III,N
5931,MULTIFAMILY,II,N
5932,COMMERCIAL,II,N
5933,COMMERCIAL,II,N
5934,COMMERCIAL,II,N
5935,INDUSTRIAL,II,N
5936,MULTIFAMILY,II,Y
5937,SINGLE FAMILY / DUPLEX,I,N
5938,SINGLE FAMILY / DUPLEX,II,N
5939,MULTIFAMILY,II,N
5940,COMMERCIAL,I,N
5941,MULTIFAMILY,II,N
5942,,II,N
5943,,II,N
5944,SINGLE FAMILY / DUPLEX,II,N
5945,SINGLE FAMILY / DUPLEX,II,N
5946,,II,N
5947,SINGLE FAMILY / DUPLEX,I,N
5948,SINGLE FAMILY / DUPLEX,II,N
5949,SINGLE FAMILY / DUPLEX,II,N
5950,SINGLE FAMILY / DUPLEX,II,N
5951,COMMERCIAL,II,Y
5952,COMMERCIAL,II,Y
5953,COMMERCIAL,II,Y
5954,SINGLE FAMILY / DUPLEX,II,N
5955,MULTIFAMILY,II,N
5956,MULTIFAMILY,II,N
5957,MULTIFAMILY,III,N
5958,,II,N
5959,COMMERCIAL,II,N
5960,MULTIFAMILY,II,N
5961,SINGLE FAMILY / DUPLEX,II,N
5962,MULTIFAMILY,II,N
5963,MULTIFAMILY,II,N
5964,MULTIFAMILY,II,N
5965,,II,N
5966,COMMERCIAL,II,N
5967,COMMERCIAL,II,N
5968,SINGLE FAMILY / DUPLEX,II,N
5969,SINGLE FAMILY / DUPLEX,II,N
5970,MULTIFAMILY,II,N
5971,,II,N
5972,MULTIFAMILY,II,N
5973,COMMERCIAL,II,Y
5974,COMMERCIAL,II,Y
5975,SINGLE FAMILY / DUPLEX,II,N
5976,SINGLE FAMILY / DUPLEX,II,N
5977,SINGLE FAMILY / DUPLEX,II,N
5978,MULTIFAMILY,II,N
5979,COMMERCIAL,I,N
5980,COMMERCIAL,II,
5981,INSTITUTIONAL,II,N
5982,SINGLE FAMILY / DUPLEX,I,N
5983,COMMERCIAL,I,N
5984,SINGLE FAMILY / DUPLEX,II,N
5985,MULTIFAMILY,II,N
5986,,II,N
5987,,II,N
5988,SINGLE FAMILY / DUPLEX,II,N
5989,SINGLE FAMILY / DUPLEX,II,N
5990,SINGLE FAMILY / DUPLEX,II,N
5991,MULTIFAMILY,II,N
5992,COMMERCIAL,I,N
5993,MULTIFAMILY,II,
5994,COMMERCIAL,II,N
5995,COMMERCIAL,II,N
5996,,II,N
5997,MULTIFAMILY,II,N
5998,MULTIFAMILY,II,N
5999,,II,N
6000,MULTIFAMILY,II,N
6001,SINGLE FAMILY / DUPLEX,II,N
6002,SINGLE FAMILY / DUPLEX,II,N
6003,SINGLE FAMILY / DUPLEX,I,N
6004,MULTIFAMILY,II,N
6005,MULTIFAMILY,II,N
6006,SINGLE FAMILY / DUPLEX,II,N
6007,,II,N
6008,COMMERCIAL,II,N
6009,INSTITUTIONAL,II,N
6010,MULTIFAMILY,II,N
6011,COMMERCIAL,II,N
6012,COMMERCIAL,II,Y
6013,SINGLE FAMILY / DUPLEX,II,N
6014,MULTIFAMILY,II,N
6015,SINGLE FAMILY / DUPLEX,II,N
6016,SINGLE FAMILY / DUPLEX,II,N
6017,MULTIFAMILY,II,Y
6018,INSTITUTIONAL,II,N
6019,MULTIFAMILY,II,N
6020,MULTIFAMILY,II,N
6021,MULTIFAMILY,II,Y
6022,SINGLE FAMILY / DUPLEX,II,N
6023,SINGLE FAMILY / DUPLEX,II,N
6024,SINGLE FAMILY / DUPLEX,II,N
6025,SINGLE FAMILY / DUPLEX,II,N
6026,MULTIFAMILY,II,N
6027,COMMERCIAL,II,N
6028,MULTIFAMILY,II,Y
6029,MULTIFAMILY,II,N
6030,MULTIFAMILY,I,N
6031,COMMERCIAL,,
6032,SINGLE FAMILY / DUPLEX,II,N
6033,MULTIFAMILY,II,N
6034,MULTIFAMILY,II,N
6035,,II,N
6036,COMMERCIAL,II,N
6037,,II,N
6038,MULTIFAMILY,II,N
6039,MULTIFAMILY,I,N
6040,SINGLE FAMILY / DUPLEX,II,N
6041,SINGLE FAMILY / DUPLEX,II,N
6042,MULTIFAMILY,II,N
6043,MULTIFAMILY,II,Y
6044,,II,N
6045,MULTIFAMILY,I,N
6046,SINGLE FAMILY / DUPLEX,II,N
6047,MULTIFAMILY,II,N
6048,SINGLE FAMILY / DUPLEX,II,N
6049,,II,N
6050,INDUSTRIAL,II,N
6051,SINGLE FAMILY / DUPLEX,II,N
6052,,II,N
6053,MULTIFAMILY,II,N
6054,MULTIFAMILY,II,N
6055,INSTITUTIONAL,II,N
6056,COMMERCIAL,II,N
6057,SINGLE FAMILY / DUPLEX,II,N
6058,COMMERCIAL,I,N
6059,SINGLE FAMILY / DUPLEX,II,N
6060,COMMERCIAL,II,Y
6061,SINGLE FAMILY / DUPLEX,II,N
6062,COMMERCIAL,II,N
6063,SINGLE FAMILY / DUPLEX,II,N
6064,MULTIFAMILY,II,Y
6065,SINGLE FAMILY / DUPLEX,I,N
6066,MULTIFAMILY,II,N
6067,MULTIFAMILY,II,N
6068,MULTIFAMILY,II,N
6069,MULTIFAMILY,II,N
6070,SINGLE FAMILY / DUPLEX,II,N
6071,SINGLE FAMILY / DUPLEX,I,N
6072,SINGLE FAMILY / DUPLEX,I,N
6073,SINGLE FAMILY / DUPLEX,I,N
6074,COMMERCIAL,I,N
6075,COMMERCIAL,I,N
6076,SINGLE FAMILY / DUPLEX,II,N
6077,MULTIFAMILY,I,N
6078,MULTIFAMILY,II,N
6079,INSTITUTIONAL,II,N
6080,MULTIFAMILY,II,N
6081,MULTIFAMILY,II,N
6082,MULTIFAMILY,I,N
6083,SINGLE FAMILY / DUPLEX,III,N
6084,SINGLE FAMILY / DUPLEX,II,N
6085,COMMERCIAL,I,N
6086,MULTIFAMILY,II,N
6087,MULTIFAMILY,II,N
6088,MULTIFAMILY,II,N
6089,COMMERCIAL,I,N
6090,MULTIFAMILY,II,N
6091,MULTIFAMILY,II,N
6092,MULTIFAMILY,I,N
6093,INDUSTRIAL,II,N
6094,,II,N
6095,MULTIFAMILY,II,
6096,MULTIFAMILY,II,N
6097,INSTITUTIONAL,II,N
6098,INDUSTRIAL,II,N
6099,SINGLE FAMILY / DUPLEX,II,N
6100,MULTIFAMILY,II,N
6101,SINGLE FAMILY / DUPLEX,II,N
6102,MULTIFAMILY,II,N
6103,MULTIFAMILY,I,N
6104,MULTIFAMILY,II,N
6105,MULTIFAMILY,I,N
6106,MULTIFAMILY,II,N
6107,MULTIFAMILY,II,N
6108,,II,N
6109,,II,N
6110,,II,N
6111,COMMERCIAL,II,Y
6112,SINGLE FAMILY / DUPLEX,II,N
6113,COMMERCIAL,I,N
6114,COMMERCIAL,I,N
6115,MULTIFAMILY,II,N
6116,MULTIFAMILY,II,N
6117,MULTIFAMILY,I,N
6118,SINGLE FAMILY / DUPLEX,II,N
6119,MULTIFAMILY,II,N
6120,SINGLE FAMILY / DUPLEX,II,N
6121,MULTIFAMILY,II,Y
6122,COMMERCIAL,II,N
6123,MULTIFAMILY,II,N
6124,MULTIFAMILY,II,N
6125,SINGLE FAMILY / DUPLEX,II,N
6126,COMMERCIAL,II,Y
6127,MULTIFAMILY,II,Y
6128,SINGLE FAMILY / DUPLEX,II,N
6129,MULTIFAMILY,II,N
6130,SINGLE FAMILY / DUPLEX,II,N
6131,SINGLE FAMILY / DUPLEX,II,N
6132,MULTIFAMILY,II,N
6133,SINGLE FAMILY / DUPLEX,II,N
6134,COMMERCIAL,II,Y
6135,INSTITUTIONAL,I,N
6136,MULTIFAMILY,II,N
6137,MULTIFAMILY,II,N
6138,SINGLE FAMILY / DUPLEX,II,N
6139,SINGLE FAMILY / DUPLEX,II,N
6140,MULTIFAMILY,II,N
6141,,II,
6142,,II,
6143,MULTIFAMILY,II,N
6144,MULTIFAMILY,II,N
6145,MULTIFAMILY,I,N
6146,COMMERCIAL,II,N
6147,SINGLE FAMILY / DUPLEX,II,
6148,,II,N
6149,,II,N
6150,MULTIFAMILY,II,Y
6151,MULTIFAMILY,II,N
6152,COMMERCIAL,I,N
6153,COMMERCIAL,I,N
6154,SINGLE FAMILY / DUPLEX,I,N
6155,COMMERCIAL,II,N
6156,MULTIFAMILY,II,N
6157,COMMERCIAL,I,N
6158,,III,
6159,SINGLE FAMILY / DUPLEX,II,N
6160,MULTIFAMILY,II,N
6161,INSTITUTIONAL,II,N
6162,,II,N
6163,SINGLE FAMILY / DUPLEX,II,N
6164,MULTIFAMILY,II,Y
6165,MULTIFAMILY,II,N
6166,INSTITUTIONAL,II,N
6167,MULTIFAMILY,II,N
6168,MULTIFAMILY,II,N
6169,COMMERCIAL,II,Y
6170,,II,N
6171,,II,N
6172,COMMERCIAL,II,N
6173,,II,N
6174,,II,N
6175,,II,N
6176,MULTIFAMILY,II,N
6177,,II,N
6178,,II,N
6179,INSTITUTIONAL,V,N
6180,,I,N
6181,MULTIFAMILY,II,N
6182,MULTIFAMILY,II,N
6183,SINGLE FAMILY / DUPLEX,II,N
6184,SINGLE FAMILY / DUPLEX,II,N
6185,,II,N
6186,,II,N
6187,,II,N
6188,MULTIFAMILY,II,N
6189,SINGLE FAMILY / DUPLEX,II,N
6190,MULTIFAMILY,II,N
6191,,II,N
6192,MULTIFAMILY,II,N
6193,SINGLE FAMILY / DUPLEX,I,N
6194,SINGLE FAMILY / DUPLEX,II,N
6195,,II,
6196,,I,N
6197,,II,N
6198,SINGLE FAMILY / DUPLEX,II,N
6199,,II,N
6200,SINGLE FAMILY / DUPLEX,II,N
6201,MULTIFAMILY,II,N
6202,MULTIFAMILY,II,N
6203,SINGLE FAMILY / DUPLEX,II,N
6204,MULTIFAMILY,I,N
6205,MULTIFAMILY,II,N
6206,SINGLE FAMILY / DUPLEX,II,N
6207,MULTIFAMILY,II,Y
6208,MULTIFAMILY,II,N
6209,MULTIFAMILY,II,N
6210,SINGLE FAMILY / DUPLEX,II,N
6211,,II,N
6212,,II,N
6213,COMMERCIAL,II,N
6214,,II,N
6215,,II,N
6216,MULTIFAMILY,II,N
6217,COMMERCIAL,II,N
6218,SINGLE FAMILY / DUPLEX,II,N
6219,MULTIFAMILY,II,N
6220,MULTIFAMILY,II,N
6221,MULTIFAMILY,II,N
6222,SINGLE FAMILY / DUPLEX,II,N
6223,SINGLE FAMILY / DUPLEX,II,N
6224,COMMERCIAL,II,N
6225,MULTIFAMILY,II,N
6226,MULTIFAMILY,II,N
6227,,I,N
6228,MULTIFAMILY,II,N
6229,MULTIFAMILY,II,N
6230,MULTIFAMILY,II,N
6231,,II,N
6232,,II,N
6233,SINGLE FAMILY / DUPLEX,II,N
6234,MULTIFAMILY,II,N
6235,COMMERCIAL,II,
6236,MULTIFAMILY,II,N
6237,,II,N
6238,COMMERCIAL,II,Y
6239,INDUSTRIAL,II,N
6240,MULTIFAMILY,I,N
6241,,II,N
6242,,II,N
6243,COMMERCIAL,II,Y
6244,MULTIFAMILY,II,N
6245,,II,N
6246,MULTIFAMILY,I,N
6247,,II,N
6248,MULTIFAMILY,II,
6249,MULTIFAMILY,II,N
6250,MULTIFAMILY,II,Y
6251,MULTIFAMILY,I,N
6252,MULTIFAMILY,II,N
6253,MULTIFAMILY,II,N
6254,MULTIFAMILY,III,N
6255,SINGLE FAMILY / DUPLEX,II,N
6256,MULTIFAMILY,II,N
6257,MULTIFAMILY,II,N
6258,MULTIFAMILY,II,N
6259,INSTITUTIONAL,II,N
6260,MULTIFAMILY,II,N
6261,SINGLE FAMILY / DUPLEX,II,
6262,MULTIFAMILY,II,N
6263,INSTITUTIONAL,II,N
6264,MULTIFAMILY,II,N
6265,MULTIFAMILY,II,N
6266,MULTIFAMILY,II,Y
6267,COMMERCIAL,II,N
6268,MULTIFAMILY,II,N
6269,MULTIFAMILY,II,N
6270,MULTIFAMILY,II,N
6271,INSTITUTIONAL,II,N
6272,,II,N
6273,,,
6274,COMMERCIAL,II,N
6275,MULTIFAMILY,II,N
6276,INDUSTRIAL,II,N
6277,MULTIFAMILY,II,N
6278,MULTIFAMILY,II,N
6279,MULTIFAMILY,II,N
6280,SINGLE FAMILY / DUPLEX,I,N
6281,MULTIFAMILY,II,N
6282,,II,N
6283,,II,N
6284,INDUSTRIAL,II,N
6285,,II,N
6286,COMMERCIAL,II,N
6287,COMMERCIAL,II,N
6288,COMMERCIAL,II,N
6289,MULTIFAMILY,II,N
6290,SINGLE FAMILY / DUPLEX,II,N
6291,MULTIFAMILY,II,Y
6292,SINGLE FAMILY / DUPLEX,II,N
6293,COMMERCIAL,II,Y
6294,SINGLE FAMILY / DUPLEX,I,N
6295,MULTIFAMILY,II,N
6296,MULTIFAMILY,II,N
6297,,,
6298,MULTIFAMILY,II,N
6299,,II,
6300,,II,
6301,MULTIFAMILY,II,N
6302,,II,N
6303,,II,N
6304,SINGLE FAMILY / DUPLEX,II,N
6305,COMMERCIAL,II,Y
6306,COMMERCIAL,II,N
6307,MULTIFAMILY,II,N
6308,MULTIFAMILY,II,N
6309,MULTIFAMILY,II,N
6310,COMMERCIAL,II,N
6311,MULTIFAMILY,II,N
6312,INSTITUTIONAL,II,N
6313,SINGLE FAMILY / DUPLEX,II,N
6314,INSTITUTIONAL,II,N
6315,COMMERCIAL,II,N
6316,,II,N
6317,SINGLE FAMILY / DUPLEX,II,N
6318,MULTIFAMILY,II,Y
6319,MULTIFAMILY,II,N
6320,MULTIFAMILY,II,N
6321,MULTIFAMILY,II,N
6322,MULTIFAMILY,II,N
6323,MULTIFAMILY,II,N
6324,MULTIFAMILY,II,N
6325,MULTIFAMILY,II,N
6326,SINGLE FAMILY / DUPLEX,II,N
6327,SINGLE FAMILY / DUPLEX,II,N
6328,SINGLE FAMILY / DUPLEX,II,N
6329,SINGLE FAMILY / DUPLEX,I,N
6330,MULTIFAMILY,II,N
6331,MULTIFAMILY,II,N
6332,COMMERCIAL,II,N
6333,MULTIFAMILY,III,N
6334,,II,N
6335,,II,N
6336,MULTIFAMILY,II,N
6337,INDUSTRIAL,II,N
6338,INDUSTRIAL,II,N
6339,SINGLE FAMILY / DUPLEX,II,N
6340,MULTIFAMILY,II,N
6341,,II,N
6342,MULTIFAMILY,II,N
6343,COMMERCIAL,II,N
6344,MULTIFAMILY,II,N
6345,SINGLE FAMILY / DUPLEX,II,N
6346,MULTIFAMILY,II,N
6347,MULTIFAMILY,I,N
6348,SINGLE FAMILY / DUPLEX,II,N
6349,SINGLE FAMILY / DUPLEX,II,N
6350,COMMERCIAL,I,N
6351,SINGLE FAMILY / DUPLEX,II,N
6352,MULTIFAMILY,II,N
6353,SINGLE FAMILY / DUPLEX,II,N
6354,MULTIFAMILY,II,N
