id,last_inspection_result,current_status
595,FAILED,OPEN
596,FAILED,OPEN
597,,OPEN
598,FAILED,OPEN
599,PASSED,ENFORCED COMPLIANCE
600,FAILED,OPEN
601,FAILED,OPEN
602,PASSED,VOLUNTARY COMPLIANCE
603,FAILED,OPEN
604,PASSED,VOLUNTARY COMPLIANCE
605,PASSED,ENFORCED COMPLIANCE
606,FAILED,OPEN
607,FAILED,OPEN
608,PASSED,ENFORCED COMPLIANCE
609,FAILED,OPEN
610,FAILED,OPEN
611,,OPEN
612,PASSED,VOLUNTARY COMPLIANCE
613,PASSED,VOLUNTARY COMPLIANCE
614,FAILED,OPEN
615,PASSED,VOLUNTARY COMPLIANCE
616,,OPEN
617,FAILED,OPEN
618,PASSED,VOLUNTARY COMPLIANCE
619,PASSED,VOLUNTARY COMPLIANCE
620,FAILED,OPEN
621,FAILED,OPEN
622,PASSED,VOLUNTARY COMPLIANCE
623,PASSED,VOLUNTARY COMPLIANCE
624,FAILED,OPEN
625,FAILED,OPEN
626,PASSED,ENFORCED COMPLIANCE
627,PASSED,ENFORCED COMPLIANCE
628,FAILED,OPEN
629,PASSED,OPEN
630,,ADMINISTRATIVE CLOSURE
631,FAILED,OPEN
632,FAILED,OPEN
633,FAILED,OPEN
634,FAILED,OPEN
635,FAILED,OPEN
636,PASSED,VOLUNTARY COMPLIANCE
637,PASSED,VOLUNTARY COMPLIANCE
638,,OPEN
639,FAILED,OPEN
640,PASSED,VOLUNTARY COMPLIANCE
641,,OPEN
642,,OPEN
643,FAILED,OPEN
644,PASSED,VOLUNTARY COMPLIANCE
645,FAILED,OPEN
646,FAILED,OPEN
647,,OPEN
648,FAILED,OPEN
649,FAILED,OPEN
650,FAILED,OPEN
651,PASSED,VOLUNTARY COMPLIANCE
652,PASSED,VOLUNTARY COMPLIANCE
653,FAILED,OPEN
654,FAILED,OPEN
655,FAILED,OPEN
656,PASSED,VOLUNTARY COMPLIANCE
657,PASSED,ENFORCED COMPLIANCE
658,FAILED,OPEN
659,PASSED,VOLUNTARY COMPLIANCE
660,PASSED,VOLUNTARY COMPLIANCE
661,PASSED,ENFORCED COMPLIANCE
662,PASSED,VOLUNTARY COMPLIANCE
663,PASSED,VOLUNTARY COMPLIANCE
664,PASSED,VOLUNTARY COMPLIANCE
665,PASSED,VOLUNTARY COMPLIANCE
666,PASSED,VOLUNTARY COMPLIANCE
667,FAILED,OPEN
668,FAILED,OPEN
669,FAILED,OPEN
670,PASSED,ADMINISTRATIVE CLOSURE
671,PASSED,ENFORCED COMPLIANCE
672,PASSED,VOLUNTARY COMPLIANCE
673,PASSED,VOLUNTARY COMPLIANCE
674,FAILED,ADMINISTRATIVE CLOSURE
675,PASSED,ADMINISTRATIVE CLOSURE
676,PASSED,VOLUNTARY COMPLIANCE
677,PASSED,VOLUNTARY COMPLIANCE
678,PASSED,VOLUNTARY COMPLIANCE
679,PASSED,VOLUNTARY COMPLIANCE
680,FAILED,OPEN
681,PASSED,VOLUNTARY COMPLIANCE
682,FAILED,ADMINISTRATIVE CLOSURE
683,PASSED,VOLUNTARY COMPLIANCE
684,PASSED,VOLUNTARY COMPLIANCE
685,PASSED,VOLUNTARY COMPLIANCE
686,PASSED,VOLUNTARY COMPLIANCE
687,PASSED,ENFORCED COMPLIANCE
688,FAILED,OPEN
689,PASSED,VOLUNTARY COMPLIANCE
690,PASSED,VOLUNTARY COMPLIANCE
691,PASSED,OPEN
692,FAILED,OPEN
693,PASSED,VOLUNTARY COMPLIANCE
694,FAILED,OPEN
695,PASSED,ENFORCED COMPLIANCE
696,FAILED,OPEN
697,FAILED,OPEN
698,PASSED,VOLUNTARY COMPLIANCE
699,,OPEN
700,,OPEN
701,,OPEN
702,,OPEN
703,PASSED,ENFORCED COMPLIANCE
704,FAILED,OPEN
705,PASSED,ENFORCED COMPLIANCE
706,FAILED,OPEN
707,FAILED,OPEN
708,,NO VIOLATION
709,PASSED,VOLUNTARY COMPLIANCE
710,FAILED,ADMINISTRATIVE CLOSURE
711,,OPEN
712,,OPEN
713,,OPEN
714,FAILED,OPEN
715,PASSED,VOLUNTARY COMPLIANCE
716,PASSED,ADMINISTRATIVE CLOSURE
717,PASSED,ENFORCED COMPLIANCE
718,PASSED,ENFORCED COMPLIANCE
719,FAILED,OPEN
720,FAILED,OPEN
721,FAILED,OPEN
722,PASSED,ENFORCED COMPLIANCE
723,FAILED,OPEN
724,FAILED,OPEN
725,PASSED,VOLUNTARY COMPLIANCE
726,FAILED,OPEN
727,,OPEN
728,FAILED,OPEN
729,,OPEN
730,PASSED,VOLUNTARY COMPLIANCE
731,PASSED,VOLUNTARY COMPLIANCE
732,PASSED,VOLUNTARY COMPLIANCE
733,PASSED,ENFORCED COMPLIANCE
734,PASSED,VOLUNTARY COMPLIANCE
735,FAILED,OPEN
736,PASSED,VOLUNTARY COMPLIANCE
737,PASSED,VOLUNTARY COMPLIANCE
738,FAILED,OPEN
739,,OPEN
740,FAILED,OPEN
741,FAILED,OPEN
742,FAILED,OPEN
743,PASSED,VOLUNTARY COMPLIANCE
