ID,Street,Longitude,Latitude,BuildingPermit_id
167,7701 13TH AVE SW,-122.35203527,47.53416117,
168,9240 3RD AVE NW,-122.36041576,47.69729327,
169,307 W MCGRAW ST,-122.3614632,47.6394386,
170,,,,
171,3300 W MCGRAW ST,-122.39997914,47.63988645,
172,508 NW 44TH ST,-122.36331587,47.66065335,
173,2211 ELLIOTT AVE,-122.34779196,47.61170123,
174,2401 UTAH AVE S,-122.33535751,47.58181846,
175,1020 5TH AVE N,-122.34719784,47.62869012,
176,2200 1ST AVE N,-122.35515891,47.63846789,
177,6506 41ST AVE SW,-122.38419114,47.54454605,
178,6506 41ST AVE SW,-122.38419114,47.54454605,
179,2500 3RD AVE W,-122.36058723,47.64156611,
180,2332 50TH AVE SW,-122.39425925,47.58214494,
181,1220 SW MASSACHUSETTS ST,-122.35194098,47.58725053,
182,3402 35TH AVE S,-122.28852691,47.57232555,
183,9315 22ND AVE NW,-122.38463834,47.69670741,
184,9315 22ND AVE NW,-122.38463834,47.69670741,
185,1505 WESTLAKE AVE N,-122.34172768,47.63264186,
186,5500 35TH AVE NE,-122.28997481,47.66865435,
187,2432 MAGNOLIA BLVD W,-122.41163507,47.64057122,
188,3916 CALIFORNIA AVE SW,-122.38633364,47.56877206,
189,5544 27TH AVE NE,-122.29818359,47.66980327,
190,5540 27TH AVE NE,-122.2981606,47.66971513,
191,900 4TH AVE,-122.33204966,47.60587719,
192,521 W RAYE ST,-122.36455691,47.64289216,
193,2813 3RD AVE W,-122.36115799,47.64532597,
194,3223 1ST AVE S,-122.33464746,47.57495554,
195,7502 30TH AVE NE,-122.29551058,47.68322895,
196,2833 10TH AVE E,-122.31996647,47.64662429,
197,2318 BELVIDERE AVE SW,-122.37922259,47.58275181,
198,2318 BELVIDERE AVE SW,-122.37922259,47.58275181,
199,2616 NW 56TH ST,-122.39094763,47.6696779,
200,2620 NW 56TH ST,-122.39115447,47.66967726,
201,303 S JACKSON ST,-122.32991008,47.59871334,
202,7509 AURORA AVE N,-122.34483744,47.68361712,
203,8118 LATONA AVE NE,-122.32541538,47.68814115,
204,1301 N NORTHLAKE WAY,-122.34214994,47.6478881,
205,432 NE RAVENNA BLVD,-122.32378041,47.67825584,
206,3905 43RD AVE S,-122.27988187,47.56856499,
207,1600 E JEFFERSON ST,-122.31122887,47.60649299,
208,2340 19TH AVE S,-122.30788217,47.58169159,
209,715 NW 90TH ST,-122.36543918,47.6940849,
210,1610 3RD AVE N,-122.3517169,47.63352293,
211,7353 16TH AVE NW,-122.37812059,47.68289432,
212,12613 8TH AVE NE,-122.32116265,47.72095546,
213,1211 E ALDER ST,-122.31548619,47.60423386,
214,2709 NOB HILL AVE N,-122.35087091,47.6447013,
215,2551 S RAYMOND ST,-122.29765754,47.54839874,
216,1550 N 115TH ST,-122.3369027,47.71425408,
217,1550 N 115TH ST,-122.3369027,47.71425408,
218,1536 N 115TH ST,-122.33783193,47.71260184,
219,3605 INTERLAKE AVE N,-122.34164912,47.65078018,
220,5432 SEWARD PARK AVE S,-122.26294632,47.55253464,
221,1214 10TH AVE W,-122.37016179,47.63034486,
