ID,PermitNumber,PermitType,Status
33674,6301851,Construction,Permit Closed
33675,6296590,Construction,Permit Closed
33676,6302411,Construction,Permit Closed
33677,6302408,Construction,Permit Closed
33678,6301830,Construction,Permit Closed
33679,6302405,Construction,Permit Closed
33680,6281094,Construction,Permit Closed
33681,6299106,Site Development,AP Closed
33682,6286749,Construction,Permit Closed
33683,6278450,Construction,Permit Closed
33684,6302384,Construction,Permit Closed
33685,6302371,Demolition,Permit Closed
33686,6302374,Construction,Permit Closed
33687,6301951,Construction,Permit Closed
33688,6299264,Construction,Permit Closed
33689,6302357,Construction,Permit Closed
33690,6291229,Demolition,Permit Closed
33691,6302344,Construction,Permit Closed
33692,6300435,Construction,Permit Closed
33693,6297021,Construction,Permit Closed
33694,6298568,Construction,Permit Closed
33695,6300910,Construction,Permit Closed
33696,6302319,Construction,Permit Closed
33697,6280123,Construction,Permit Closed
33698,6290277,Construction,Permit Closed
33699,6302261,Construction,Permit Closed
33700,6292114,Construction,Permit Closed
33701,6302246,Construction,Permit Closed
33702,6283527,Construction,Permit Closed
33703,6275584,Construction,Permit Closed
33704,6294567,Construction,Permit Closed
33705,6302226,Construction,Permit Closed
33706,6302193,Construction,Permit Closed
33707,6301833,Construction,Permit Closed
33708,6300767,Construction,Permit Closed
33709,6302054,Construction,Permit Closed
33710,6302159,Construction,Permit Closed
33711,6294170,Construction,Permit Closed
33712,6302147,Construction,Permit Closed
33713,6289019,Construction,Permit Closed
33714,6301933,Construction,Permit Closed
33715,6300811,Construction,Permit Closed
33716,6302069,Demolition,Permit Closed
33717,6302031,Construction,Permit Closed
33718,6302072,Construction,Permit Closed
33719,6301988,Construction,Permit Closed
33720,6302059,Construction,Permit Closed
33721,6297711,Construction,Permit Closed
33722,6294252,Construction,Permit Closed
33723,6302028,Construction,Permit Closed
33724,6301378,Construction,Permit Closed
33725,6302014,Construction,Permit Closed
33726,6298672,Construction,Permit Closed
33727,6261693,Construction,Permit Closed
33728,6301990,Construction,Permit Closed
33729,6299155,Construction,Permit Closed
33730,6301962,Demolition,Permit Closed
33731,6297227,Construction,Permit Closed
33732,6293887,Construction,Permit Closed
33733,6301936,Construction,Permit Closed
33734,6301326,Construction,Permit Closed
33735,6301327,Construction,Permit Closed
33736,6294158,Construction,Permit Closed
33737,6298194,Construction,Permit Closed
33738,6298558,Construction,Permit Closed
33739,6299129,Construction,Permit Closed
33740,6301925,Construction,Permit Closed
33741,6463943,Construction,Initial Information Collected
33742,6300710,Construction,Permit Closed
33743,6301788,Construction,Permit Closed
33744,6301839,Construction,Permit Closed
33745,6301784,Construction,Permit Closed
33746,6301826,Construction,Permit Closed
33747,6281205,Construction,Permit Closed
33748,6301812,Construction,Permit Closed
33749,6299649,Construction,Permit Closed
33750,6301805,Demolition,Permit Closed
33751,6298902,Construction,Permit Closed
33752,6301778,Construction,Permit Closed
33753,6298135,Construction,Permit Closed
33754,6299622,Construction,Permit Closed
33755,6301799,Construction,Permit Closed
33756,6300582,Construction,Permit Issued
33757,6301411,Construction,Permit Closed
33758,6299524,Construction,Permit Issued
33759,6301662,Construction,Permit Closed
33760,6301682,Demolition,Permit Closed
33761,6289155,Construction,Permit Closed
33762,6301598,Construction,Permit Closed
33763,6276224,Construction,Permit Closed
33764,6299237,Construction,Permit Closed
33765,6299957,Construction,Permit Closed
33766,6299967,Construction,Permit Closed
33767,6299245,Construction,Permit Closed
33768,6301651,Construction,Permit Closed
33769,6301634,Demolition,Permit Closed
33770,6301645,Construction,Permit Closed
33771,6277116,Construction,Permit Closed
33772,6420066,Construction,Initial Information Collected
33773,6301600,Construction,Permit Closed
33774,6301615,Construction,Permit Closed
33775,6301607,Construction,Permit Closed
33776,6300666,Construction,Permit Closed
33777,6298667,Construction,Permit Closed
33778,6296323,Construction,Permit Closed
33779,6301591,Construction,Permit Closed
33780,6301586,Construction,Permit Closed
33781,6301534,Construction,Permit Closed
33782,6278214,Construction,Permit Closed
33783,6300437,Construction,Permit Closed
33784,6301528,Construction,Permit Closed
33785,6293719,Construction,Permit Closed
33786,6301523,Construction,Permit Closed
33787,6299424,Construction,Permit Closed
33788,6298452,Construction,Permit Closed
33789,6186894,Construction,Permit Closed
33790,6301469,Construction,Permit Closed
33791,6301455,Construction,Permit Closed
33792,6301464,Construction,Permit Closed
33793,6301456,Construction,Permit Closed
33794,6300699,Construction,Permit Closed
33795,6300703,Demolition,Permit Closed
33796,6273566,Construction,Permit Closed
33797,6300922,Construction,Permit Closed
33798,6299738,Construction,Permit Closed
33799,6293479,Construction,Permit Closed
33800,6301301,Demolition,Permit Closed
33801,6283699,Construction,Permit Issued
33802,6299157,Construction,Permit Closed
33803,6299369,Construction,Permit Closed
33804,6301276,Construction,Permit Closed
33805,6294731,Construction,Permit Closed
33806,6301272,Construction,Permit Closed
33807,6296958,Construction,Permit Closed
33808,6298829,Construction,Permit Closed
33809,6301191,Construction,Permit Closed
33810,6301133,Site Development,AP Closed
33811,6295919,Construction,Permit Closed
33812,6293858,Construction,Permit Issued
33813,6290904,Construction,Permit Closed
33814,6299678,Site Development,AP Closed
33815,6301182,Construction,Permit Closed
33816,6286744,Construction,Permit Closed
33817,6301170,Construction,Permit Closed
33818,6300289,Construction,CANCELLED
33819,6286118,Construction,Permit Closed
33820,6294973,Construction,Permit Closed
33821,6301161,Construction,Permit Closed
33822,6297739,Construction,Permit Closed
33823,6297035,Construction,Permit Closed
33824,6284629,Construction,Permit Closed
33825,6301152,Construction,Permit Closed
33826,6294092,Construction,Permit Closed
33827,6301139,Construction,Permit Closed
33828,6300711,Construction,Permit Closed
33829,6300058,Construction,Permit Issued
33830,6279632,Construction,Permit Closed
33831,6298533,Construction,Permit Closed
33832,6300773,Construction,Permit Closed
33833,6301128,Construction,Permit Closed
33834,6297425,Construction,Permit Closed
33835,6300882,Construction,Permit Closed
33836,6301061,Construction,Permit Closed
33837,6301058,Construction,Permit Closed
33838,6296577,Construction,Permit Closed
33839,6301062,Construction,Permit Closed
33840,6298379,Construction,Permit Issued
33841,6301047,Construction,Permit Closed
33842,6300678,Construction,Permit Closed
33843,6301043,Construction,Permit Closed
33844,6299158,Construction,Permit Closed
33845,6298471,Construction,Permit Closed
33846,6301039,Construction,Permit Closed
33847,6299496,Construction,Permit Closed
33848,6301026,Construction,Permit Closed
33849,6299173,Construction,Permit Closed
33850,6301016,Construction,Permit Closed
33851,6202595,Construction,CANCELLED
33852,6276523,Construction,Permit Closed
33853,6300900,Construction,Permit Closed
33854,6297459,Construction,Permit Closed
33855,6275256,Construction,Permit Closed
33856,6296300,Construction,Permit Closed
33857,6300785,Construction,Permit Closed
33858,6300677,Construction,Permit Closed
33859,6297506,Construction,Permit Closed
33860,6275578,Construction,Permit Closed
33861,6300573,Construction,Permit Closed
33862,6273320,Construction,Permit Closed
33863,6296301,Construction,Permit Closed
33864,6300866,Construction,Permit Closed
33865,6300865,Construction,Permit Closed
33866,6296869,Construction,Permit Closed
33867,6300452,Construction,Permit Closed
33868,6279605,Demolition,Permit Issued
33869,6300844,Construction,Permit Closed
33870,6300832,Site Development,AP Closed
33871,6300820,Construction,Permit Closed
33872,6300566,Construction,Permit Closed
33873,6300817,Construction,Permit Closed
33874,6298386,Construction,Permit Closed
33875,6298794,Construction,Permit Closed
33876,6504983,Construction,Initial Information Collected
33877,6300789,Construction,Permit Closed
33878,6276260,Construction,Permit Closed
33879,6295064,Construction,Permit Closed
33880,6298675,Construction,Permit Closed
33881,6300233,Construction,Permit Closed
33882,6298573,Construction,Permit Issued
33883,6300640,Construction,Permit Issued
33884,6300728,Construction,Permit Closed
33885,6290307,Construction,Permit Closed
33886,6300701,Construction,Permit Closed
33887,6300700,Construction,Permit Closed
33888,6294403,Construction,Permit Closed
33889,6298362,Construction,Permit Closed
33890,6295370,Construction,Permit Issued
33891,6298490,Construction,Permit Closed
33892,6300685,Construction,Permit Closed
33893,6300683,Construction,Permit Closed
33894,6283508,Construction,Reviews Completed
33895,6300680,Construction,Permit Closed
33896,6300673,Construction,Permit Closed
33897,6300661,Construction,Permit Closed
33898,6300649,Construction,Permit Closed
33899,6300642,Construction,Permit Closed
33900,6254591,Construction,Permit Issued
33901,6275274,Construction,Permit Closed
33902,6296665,Construction,Permit Closed
33903,6300485,Construction,CANCELLED
33904,6167737,Construction,Permit Closed
33905,6293636,Construction,Permit Closed
33906,6530274,Construction,
33907,6300577,Construction,Permit Issued
33908,6300551,Construction,Permit Closed
33909,6272840,Construction,Permit Closed
33910,6300517,Construction,Permit Closed
33911,6298640,Demolition,Permit Closed
33912,6300502,Construction,Permit Closed
33913,6296444,Construction,Permit Closed
33914,6296137,Construction,Permit Closed
33915,6283060,Construction,Permit Closed
33916,6298372,Construction,Permit Closed
33917,6300172,Construction,Permit Closed
33918,6300450,Construction,Permit Closed
33919,6299565,Construction,Permit Closed
33920,6296698,Construction,Permit Closed
33921,6300439,Demolition,Permit Closed
33922,6300411,Construction,Permit Closed
33923,6300430,Construction,Permit Closed
33924,6300383,Construction,Permit Closed
33925,6300359,Construction,Permit Closed
33926,6300369,Construction,Permit Closed
33927,6285130,Construction,Permit Closed
33928,6295474,Construction,Permit Closed
33929,6296575,Construction,Permit Closed
33930,6300216,Construction,Permit Closed
33931,6300352,Construction,Permit Closed
33932,6299869,Construction,Permit Closed
33933,6300348,Construction,Permit Closed
33934,6299796,Construction,Permit Closed
33935,6300344,Construction,Permit Closed
33936,6530274,Construction,
33937,6299681,Construction,Permit Closed
33938,6299868,Construction,Permit Closed
33939,6300059,Construction,Permit Closed
33940,6300326,Construction,Permit Closed
33941,6297164,Construction,Permit Closed
33942,6300322,Demolition,Permit Closed
33943,6300320,Construction,Permit Closed
33944,6300304,Construction,Permit Closed
33945,6300309,Construction,Permit Closed
33946,6300301,Construction,Permit Closed
33947,6299560,Construction,Permit Closed
33948,6296438,Construction,Permit Issued
33949,6299680,Construction,Permit Closed
33950,6298731,Construction,Permit Closed
33951,6300271,Construction,Permit Closed
33952,6297145,Construction,Permit Closed
33953,6299728,Construction,Permit Closed
33954,6297713,Construction,Permit Closed
33955,6294506,Construction,Application Accepted
33956,6300243,Construction,Permit Closed
33957,6300239,Demolition,Permit Closed
33958,6296608,Construction,Permit Closed
33959,6300202,Construction,Permit Finaled
33960,6296938,Construction,Permit Closed
33961,6299885,Construction,Permit Closed
33962,6291764,Construction,Permit Issued
33963,6300156,Construction,Permit Closed
33964,6300159,Construction,Permit Closed
33965,6300161,Construction,Permit Closed
33966,6299917,Construction,Permit Closed
33967,6300066,Construction,Permit Closed
33968,6300088,Construction,Permit Closed
33969,6298948,Site Development,Permit Issued
33970,6298947,Site Development,Permit Issued
33971,6255391,Construction,Permit Closed
33972,6297946,Construction,Permit Closed
33973,6300070,Construction,Permit Closed
33974,6300048,Construction,Permit Closed
33975,6298907,Demolition,Permit Closed
33976,6287022,Construction,CANCELLED
33977,6300028,Construction,Permit Closed
33978,6299682,Construction,Permit Closed
33979,6295963,Construction,Permit Closed
33980,6294028,Site Development,AP Closed
33981,6270598,Demolition,Permit Closed
33982,6298074,Construction,Permit Closed
33983,6299981,Construction,Permit Closed
33984,6299963,Construction,Permit Closed
33985,6299962,Construction,Permit Closed
33986,6299964,Construction,Permit Closed
33987,6290817,Construction,Permit Closed
33988,6299959,Construction,Permit Closed
33989,6166793,Construction,Permit Closed
33990,6267388,Construction,Permit Closed
33991,6296129,Construction,Permit Closed
33992,6296193,Construction,Permit Closed
33993,6296813,Construction,Permit Closed
33994,6229374,Construction,Permit Closed
33995,6296312,Construction,Permit Closed
33996,6299830,Construction,Permit Closed
33997,6101437,Construction,
33998,6299822,Construction,Permit Closed
33999,6299812,Construction,Permit Closed
34000,6299806,Construction,Permit Closed
34001,6299800,Construction,Permit Closed
34002,6299778,Construction,Permit Closed
34003,6299118,Site Development,AP Closed
34004,6275606,Construction,Permit Closed
34005,6299737,Construction,Permit Closed
34006,6299735,Demolition,Permit Issued
34007,6298835,Construction,Permit Closed
34008,6128542,Construction,Permit Closed
34009,6298798,Construction,Permit Closed
34010,6296673,Construction,Permit Closed
34011,6299199,Construction,Permit Issued
34012,6299718,Construction,Permit Closed
34013,6102757,Construction,
34014,6299707,Construction,Permit Closed
34015,6299704,Construction,Permit Closed
34016,6299096,Construction,Permit Closed
34017,6294652,Construction,Permit Closed
34018,6299690,Construction,Permit Closed
34019,6299121,Construction,Permit Closed
34020,6299204,Construction,Permit Closed
34021,6295309,Construction,Permit Closed
34022,6298495,Construction,Permit Closed
34023,6299122,Construction,Permit Closed
34024,6298768,Construction,Permit Closed
34025,6292889,Construction,Permit Closed
34026,6290958,Construction,Permit Closed
34027,6297401,Construction,Permit Closed
34028,6295049,Construction,Permit Closed
34029,6296612,Construction,Permit Closed
34030,6299573,Construction,Permit Closed
34031,6289084,Construction,Permit Issued
34032,6299086,Construction,Permit Closed
34033,6296016,Construction,Permit Closed
34034,6299541,Construction,Permit Closed
34035,6296009,Construction,Permit Closed
34036,6299525,Construction,Permit Closed
34037,6299522,Construction,Permit Closed
34038,6189224,Construction,Permit Closed
34039,6297435,Construction,Permit Closed
34040,6295996,Construction,Permit Closed
34041,6284797,Construction,Permit Closed
34042,6299511,Construction,Permit Closed
34043,6299288,Construction,Permit Closed
34044,6299508,Construction,Permit Closed
34045,6295053,Construction,Permit Closed
34046,6299501,Demolition,Permit Closed
34047,6299502,Construction,Permit Closed
34048,6297421,Construction,Permit Closed
34049,6296929,Construction,Permit Closed
34050,6299485,Construction,Permit Closed
34051,6299482,Construction,Permit Closed
34052,6299478,Construction,Permit Closed
34053,6295329,Construction,Permit Closed
34054,6299457,Site Development,AP Closed
34055,6299409,Construction,Permit Closed
34056,6299450,Construction,Permit Closed
34057,6293199,Construction,Permit Closed
34058,6297358,Construction,Permit Closed
34059,6293081,Construction,CANCELLED
34060,6299430,Construction,Permit Closed
34061,6294258,Construction,Permit Closed
34062,6299410,Construction,Permit Closed
34063,6282172,Construction,Permit Closed
34064,6299413,Construction,Permit Closed
34065,6299418,Construction,Permit Closed
34066,6295164,Construction,Permit Closed
34067,6297679,Construction,Permit Closed
34068,6299395,Construction,Permit Closed
34069,6299393,Construction,Permit Closed
34070,6299357,Construction,Permit Closed
34071,6299349,Construction,Permit Closed
34072,6296262,Construction,Permit Closed
34073,6298998,Construction,Permit Closed
34074,6299170,Construction,Permit Closed
34075,6297392,Construction,CANCELLED
34076,6296055,Construction,Permit Closed
34077,6250009,Construction,Permit Issued
34078,6299263,Construction,Permit Closed
34079,6299254,Construction,Permit Closed
34080,6295867,Construction,CANCELLED
34081,6299238,Construction,Permit Closed
34082,6299232,Construction,Permit Closed
34083,6299234,Construction,Permit Closed
34084,6297563,Construction,Permit Closed
34085,6299231,Construction,Permit Closed
34086,6299224,Construction,Permit Closed
34087,6299216,Construction,Permit Closed
34088,6299193,Construction,Permit Closed
34089,6299191,Construction,Permit Closed
34090,6299187,Construction,Permit Closed
34091,6297412,Construction,Reviews Completed
34092,6174229,Construction,Permit Closed
34093,6299185,Construction,Permit Closed
34094,6299182,Construction,Permit Closed
34095,6298364,Construction,Permit Closed
34096,6293421,Construction,Permit Closed
34097,6299161,Construction,Permit Closed
34098,6298172,Demolition,Permit Closed
34099,6294504,Construction,Permit Closed
34100,6299126,Construction,Permit Closed
34101,6299125,Demolition,Permit Closed
34102,6298264,Demolition,Permit Closed
34103,6286427,Construction,Permit Closed
34104,6285469,Construction,Permit Closed
34105,6296178,Construction,Permit Closed
34106,6299113,Construction,Permit Closed
34107,6287841,Demolition,Permit Closed
34108,6272177,Construction,Permit Closed
34109,6293201,Construction,Permit Closed
34110,6299080,Construction,Permit Closed
34111,6299077,Construction,Permit Closed
34112,6298086,Construction,Permit Closed
34113,6299064,Construction,CANCELLED
34114,6299055,Demolition,Permit Closed
34115,6299049,Construction,Permit Closed
34116,6293350,Construction,Permit Closed
34117,6280295,Construction,Permit Closed
34118,6297148,Construction,Permit Closed
34119,6296422,Construction,Permit Closed
34120,6296427,Site Development,AP Closed
34121,6298983,Construction,Permit Closed
34122,6298972,Construction,Permit Issued
34123,6296310,Construction,Permit Closed
34124,6295710,Construction,Permit Closed
34125,6298937,Construction,Permit Closed
34126,6280156,Construction,Permit Closed
34127,6289030,Construction,Permit Closed
34128,6151244,Construction,Permit Closed
34129,6298344,Construction,Permit Closed
34130,6298554,Site Development,AP Closed
34131,6298884,Construction,Permit Closed
34132,6296343,Site Development,AP Closed
34133,6294093,Construction,Permit Closed
34134,6298815,Site Development,AP Closed
34135,6095462,Construction,
34136,6277403,Construction,Permit Closed
34137,6191153,Construction,Permit Closed
34138,6298838,Construction,Permit Closed
34139,6290319,Construction,Permit Closed
34140,6298831,Construction,Permit Closed
34141,6298540,Construction,Permit Closed
34142,6298828,Construction,Permit Closed
34143,6298822,Construction,Permit Closed
34144,6279933,Construction,Permit Closed
34145,6296934,Construction,Permit Closed
34146,6298761,Construction,Permit Closed
34147,6296572,Construction,Permit Closed
34148,6287241,Construction,Permit Closed
34149,6295734,Construction,Permit Closed
34150,6298677,Construction,Permit Closed
34151,6095461,Construction,
34152,6290006,Construction,Permit Closed
34153,6298468,Construction,Permit Finaled
34154,6285880,Construction,Permit Closed
34155,6298735,Construction,Permit Closed
34156,6298698,Construction,Permit Closed
34157,6292937,Construction,Permit Closed
34158,6298752,Construction,Permit Closed
34159,6298749,Construction,Permit Closed
34160,6298255,Construction,Permit Closed
34161,6298745,Construction,Permit Closed
34162,6296218,Construction,Permit Closed
34163,6298728,Demolition,Permit Closed
34164,6298447,Construction,Permit Closed
34165,6298645,Construction,Permit Closed
34166,6298721,Construction,Permit Closed
34167,6292699,Construction,Permit Closed
34168,6298684,Construction,Permit Issued
34169,6296959,Construction,Permit Issued
34170,6295918,Construction,Permit Closed
34171,6298683,Construction,Permit Closed
34172,6288842,Construction,Permit Issued
34173,6298661,Construction,Permit Closed
34174,6296392,Construction,Permit Closed
34175,6296256,Construction,Permit Issued
34176,6298480,Construction,Permit Closed
34177,6298578,Construction,Permit Closed
34178,6298587,Construction,Permit Closed
34179,6297328,Construction,Permit Closed
34180,6298274,Construction,Permit Closed
34181,6298569,Construction,Permit Closed
34182,6298566,Demolition,Permit Closed
34183,6276785,Construction,Cert of Occupancy Authorized
34184,6298564,Construction,Permit Closed
34185,6293006,Construction,Permit Closed
34186,6298565,Construction,Permit Closed
34187,6284702,Construction,CANCELLED
34188,6298549,Construction,Permit Closed
34189,6298548,Construction,Permit Closed
34190,6294353,Construction,Permit Closed
34191,6298532,Demolition,Permit Closed
34192,6295074,Construction,Permit Closed
34193,6298530,Construction,Permit Closed
34194,6298531,Construction,Permit Closed
34195,6297948,Demolition,Permit Closed
34196,6298489,Construction,Permit Closed
34197,6278990,Construction,Permit Closed
34198,6298474,Construction,Permit Closed
34199,6298467,Construction,Permit Closed
34200,6298459,Construction,Permit Closed
34201,6297935,Construction,Permit Closed
34202,6295021,Site Development,AP Closed
34203,6296441,Site Development,AP Closed
34204,6295470,Construction,Permit Closed
34205,6290443,Construction,Permit Closed
34206,6295701,Construction,Permit Closed
34207,6298404,Construction,Permit Closed
34208,6296375,Construction,Permit Closed
34209,6298384,Construction,Permit Closed
34210,6285657,Construction,Permit Closed
34211,6278446,Construction,Permit Closed
34212,6261074,Construction,Permit Closed
34213,6298355,Construction,Permit Closed
34214,6298365,Construction,Permit Closed
34215,6298358,Construction,Permit Closed
34216,6298348,Construction,Permit Closed
34217,6298346,Construction,Permit Closed
34218,6227312,Construction,Permit Closed
34219,6297641,Construction,Permit Closed
34220,6298331,Construction,Permit Closed
34221,6298327,Construction,Permit Closed
34222,6298329,Construction,Permit Closed
34223,6295623,Construction,Permit Closed
34224,6293149,Site Development,AP Closed
34225,6275145,Construction,Permit Closed
34226,6298248,Construction,Permit Closed
34227,6298201,Construction,Permit Closed
34228,6298258,Construction,Permit Closed
34229,6298241,Construction,Permit Closed
34230,6298223,Construction,Permit Closed
34231,6298142,Construction,Permit Closed
34232,6298212,Construction,Permit Closed
34233,6298204,Construction,Permit Closed
34234,6288997,Demolition,Permit Closed
34235,6293972,Construction,Permit Closed
34236,6278123,Construction,Permit Closed
34237,6298137,Construction,Permit Closed
34238,6297978,Construction,Permit Closed
34239,6298106,Demolition,Permit Closed
34240,6294849,Construction,Permit Closed
34241,6298104,Construction,Permit Closed
34242,6293377,Construction,Permit Closed
34243,6298110,Construction,Permit Closed
34244,6298111,Construction,Permit Closed
34245,6298103,Construction,Permit Closed
34246,6293900,Construction,Permit Closed
34247,6298100,Construction,Permit Closed
34248,6298101,Construction,Permit Closed
34249,6296333,Construction,Permit Closed
34250,6298087,Construction,Permit Closed
34251,6296760,Construction,Permit Closed
34252,6296483,Demolition,Permit Issued
34253,6296484,Demolition,Permit Issued
34254,6295899,Construction,Permit Closed
34255,6277553,Construction,Permit Closed
34256,6255040,Construction,Permit Closed
34257,6298056,Construction,Permit Closed
34258,6296755,Construction,Permit Closed
34259,6298059,Construction,Permit Closed
34260,6295596,Construction,Permit Closed
34261,6298041,Construction,Permit Closed
34262,6298024,Construction,Permit Closed
34263,6297995,Construction,Permit Closed
34264,6297985,Construction,Permit Closed
34265,6293351,Construction,Permit Closed
34266,6297981,Construction,Permit Issued
34267,6297964,Demolition,Permit Closed
34268,6288995,Construction,Permit Closed
34269,6297979,Construction,Permit Closed
34270,6293076,Construction,Permit Closed
34271,6297718,Demolition,Permit Closed
34272,6293556,Construction,Permit Closed
34273,6297956,Construction,Permit Closed
34274,6297960,Construction,Permit Closed
34275,6290591,Construction,Permit Closed
34276,6281033,Construction,Permit Issued
34277,6273319,Construction,Permit Issued
34278,6297928,Construction,Permit Closed
34279,6295591,Construction,Permit Closed
34280,6295134,Construction,Permit Closed
34281,6295008,Site Development,AP Closed
34282,6291643,Construction,Permit Closed
34283,6297721,Site Development,Permit Issued
34284,6297723,Site Development,Permit Issued
34285,6297719,Site Development,Permit Issued
34286,6094684,Construction,
34287,6297897,Construction,Permit Closed
34288,6297740,Construction,Permit Closed
34289,6295463,Construction,Permit Closed
34290,6281203,Construction,Permit Closed
34291,6297844,Construction,Permit Closed
34292,6297845,Construction,Permit Closed
34293,6290463,Construction,Permit Closed
34294,6292697,Construction,Permit Closed
34295,6297855,Construction,Permit Closed
34296,6292881,Construction,Permit Closed
34297,6297827,Construction,Permit Closed
34298,6297352,Construction,Permit Closed
34299,6275708,Demolition,Permit Closed
34300,6280118,Construction,Permit Closed
34301,6296774,Construction,Permit Closed
34302,6284418,Construction,Permit Closed
34303,6293990,Construction,Permit Closed
34304,6297806,Demolition,Permit Closed
34305,6297799,Construction,Permit Closed
34306,6297797,Construction,Permit Closed
34307,6297779,Demolition,Permit Closed
34308,6297792,Construction,Permit Closed
34309,6295135,Construction,Permit Closed
34310,6297762,Construction,Permit Closed
34311,6297759,Construction,Permit Closed
34312,6292467,Construction,Permit Finaled
34313,6295911,Construction,Permit Closed
34314,6297735,Site Development,AP Closed
34315,6295889,Construction,Permit Closed
34316,6094683,Construction,
34317,6297730,Construction,Permit Closed
34318,6296567,Construction,Permit Closed
34319,6297196,Construction,Permit Closed
34320,6297708,Construction,Permit Closed
34321,6297633,Construction,Permit Closed
34322,6297639,Construction,Permit Closed
34323,6244400,Construction,Permit Closed
34324,6297629,Construction,Permit Closed
34325,6297681,Construction,Permit Closed
34326,6294201,Construction,Permit Closed
34327,6295112,Construction,Permit Closed
34328,6295110,Construction,Permit Closed
34329,6295108,Construction,Permit Closed
34330,6295104,Construction,Permit Closed
34331,6462880,Construction,Initial Information Collected
34332,6295102,Construction,Permit Closed
34333,6296955,Construction,Permit Closed
34334,6274998,Construction,Permit Closed
34335,6293670,Construction,Permit Closed
34336,6297656,Construction,Permit Closed
34337,6296442,Construction,Permit Closed
34338,6295575,Construction,Permit Closed
34339,6287685,Demolition,Permit Closed
34340,6292595,Construction,Permit Closed
34341,6290473,Site Development,AP Closed
34342,6290467,Site Development,AP Closed
34343,6241422,Construction,Permit Closed
34344,6297610,Construction,Permit Closed
34345,6297270,Construction,Application Accepted
34346,6297332,Construction,Permit Closed
34347,6292948,Construction,Permit Closed
34348,6295694,Construction,Permit Closed
34349,6292457,Construction,Permit Closed
34350,6297547,Construction,Permit Closed
34351,6297245,Construction,Permit Closed
34352,6297525,Construction,Permit Closed
34353,6294247,Construction,Permit Closed
34354,6297508,Construction,Permit Closed
34355,6297502,Construction,Permit Closed
34356,6295290,Construction,Permit Issued
34357,6297490,Construction,Permit Closed
34358,6254866,Construction,Permit Closed
34359,6292167,Construction,Permit Closed
34360,6292142,Construction,Permit Closed
34361,6526101,Construction,Initial Information Collected
34362,6291169,Construction,Permit Closed
34363,6296896,Construction,Permit Closed
34364,6286622,Construction,Permit Closed
34365,6296147,Construction,Permit Closed
34366,6293829,Construction,Permit Closed
34367,6296066,Construction,Permit Closed
34368,6297347,Construction,Permit Closed
34369,6297336,Construction,Permit Closed
34370,6294696,Construction,Permit Closed
34371,6296893,Construction,CANCELLED
34372,6297302,Construction,Permit Closed
34373,6297308,Construction,Permit Issued
34374,6289775,Construction,Permit Closed
34375,6285981,Construction,Permit Closed
34376,6294108,Construction,Permit Closed
34377,6094682,Construction,
34378,6297291,Construction,Permit Closed
34379,6297288,Construction,Permit Closed
34380,6297284,Demolition,Permit Closed
34381,6297285,Construction,Permit Closed
34382,6295022,Construction,Permit Closed
34383,6286958,Construction,Permit Closed
34384,6297272,Construction,Permit Closed
34385,6297257,Construction,Permit Closed
34386,6288525,Construction,Permit Closed
34387,6283596,Construction,Permit Closed
34388,6297243,Construction,Permit Closed
34389,6297240,Construction,Permit Closed
34390,6289152,Construction,Permit Closed
34391,6277476,Construction,Permit Closed
34392,6297217,Construction,Permit Closed
34393,6094680,Construction,
34394,6282194,Construction,Permit Closed
34395,6296258,Construction,Permit Closed
34396,6295449,Construction,Permit Closed
34397,6253942,Construction,Permit Issued
34398,6295407,Construction,Permit Closed
34399,6295406,Construction,Permit Closed
34400,6297157,Construction,Permit Closed
34401,6297151,Demolition,Permit Closed
34402,6297149,Demolition,Permit Closed
34403,6291476,Construction,Permit Closed
34404,6295120,Construction,Permit Closed
34405,6296593,Construction,Permit Closed
34406,6290083,Construction,Permit Closed
34407,6297074,Construction,Permit Closed
34408,6296917,Construction,Permit Closed
34409,6428028,Construction,Initial Information Collected
34410,6294288,Construction,Permit Closed
34411,6297058,Construction,Permit Closed
34412,6297048,Construction,Permit Closed
34413,6293170,Construction,Permit Issued
34414,6297039,Construction,Permit Closed
34415,6297030,Construction,Permit Closed
34416,6293738,Construction,Permit Closed
34417,6297028,Construction,Permit Closed
34418,6287974,Construction,Permit Closed
34419,6297022,Construction,Permit Closed
34420,6293889,Construction,Permit Closed
34421,6297004,Demolition,Permit Closed
34422,6295136,Construction,Permit Closed
34423,6191444,Construction,Permit Closed
34424,6297006,Construction,Permit Closed
34425,6293895,Construction,Permit Closed
34426,6297003,Construction,Permit Closed
34427,6297002,Construction,Permit Closed
34428,6297001,Construction,Permit Closed
34429,6296998,Construction,Permit Closed
34430,6296991,Construction,Permit Closed
34431,6296971,Construction,Permit Issued
34432,6296984,Construction,Permit Issued
34433,6296969,Construction,Permit Closed
34434,6296946,Construction,Permit Closed
34435,6296945,Construction,Permit Closed
34436,6289310,Construction,Permit Closed
34437,6296944,Construction,Permit Closed
34438,6276567,Construction,Permit Closed
34439,6293805,Construction,Permit Closed
34440,6276862,Construction,Permit Closed
34441,6094678,Construction,
34442,6296933,Construction,Permit Closed
34443,6296932,Construction,Permit Closed
34444,6296546,Construction,Permit Closed
34445,6296911,Construction,Permit Closed
34446,6296919,Construction,Permit Closed
34447,6296904,Construction,Permit Closed
34448,6292749,Construction,Permit Closed
34449,6296810,Construction,Permit Closed
