id,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME
180,DIAMOND,0,,,,['DATETIME']
181,DIAMOND,0,,,,['DATETIME']
182,DIAMOND,0,,,,['DATETIME']
183,RAINIER SQUARE,0,,,,['DATETIME']
184,DIAMOND,0,,,,['DATETIME']
185,CHINOOK PARKING - COLLEGE CLUB,0,,,,['DATETIME']
186,DIAMOND,0,,,,['DATETIME']
187,DIAMOND,0,,,,['DATETIME']
188,IMPARK,0,,,,['DATETIME']
189,UNITED,0,,,,['DATETIME']
190,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
191,PUBLIC MARKET GARAGE,7,N,238,227,['DATETIME']
192,REPUBLIC - BONNEY WATSON BROADWAY,0,,,,['DATETIME']
193,DIAMOND,0,,,,['DATETIME']
194,LMA PROPERTY MANAGEMENT,0,,,,['DATETIME']
195,IPM,0,,,,['DATETIME']
196,DIAMOND,0,,,,['DATETIME']
197,,0,,,,['DATETIME']
198,UNITED,0,,,,['DATETIME']
199,8TH & THOMAS LOT,0,,,,['DATETIME']
200,REPUBLIC,0,,,,['DATETIME']
201,BOAT STREET - LOT,0,,,,['DATETIME']
202,520 PIKE TOWER GARAGE,0,,,,['DATETIME']
203,POLYCLINIC PARKING,0,,,,['DATETIME']
204,REPUBLIC - BONNEY WATSON BALLARD,0,,,,['DATETIME']
205,U-PARK,0,,,,['DATETIME']
206,DIAMOND,0,,,,['DATETIME']
207,DIAMOND,0,,,,['DATETIME']
208,U-PARK,0,,,,['DATETIME']
209,682 S HOLGATE ST,0,,,,['DATETIME']
210,,,,,,['DATETIME']
211,U-PARK,0,,,,['DATETIME']
212,ACE PARKING,0,,,,['DATETIME']
213,DIAMOND,0,,,,['DATETIME']
214,DIAMOND,0,,,,['DATETIME']
215,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
216,DIAMOND,0,,,,['DATETIME']
217,IPM,0,,,,['DATETIME']
218,REPUBLIC,0,,,,['DATETIME']
219,UNITED,0,,,,['DATETIME']
220,GOAT HILL GARAGE,0,,,,['DATETIME']
221,U-PARK,0,,,,['DATETIME']
222,U-PARK,0,,,,['DATETIME']
223,WESTLAKE CENTER,0,,,,['DATETIME']
224,DIAMOND,0,,,,['DATETIME']
225,DIAMOND,0,,,,['DATETIME']
226,DIAMOND,0,,,,['DATETIME']
227,IPM,0,,,,['DATETIME']
228,IMPARK,0,,,,['DATETIME']
229,IBM BUILDING,0,,,,['DATETIME']
230,CPS - FIRST HILL MEDICAL,0,,,,['DATETIME']
231,DIAMOND,0,,,,['DATETIME']
232,DIAMOND,0,,,,['DATETIME']
233,SAVER FURNITURE,0,,,,['DATETIME']
234,FIRST AVENUE DELI,0,,,,['DATETIME']
235,UNITED,0,,,,['DATETIME']
236,FREEWAY PARK,0,,,,['DATETIME']
237,IMPARK,0,,,,['DATETIME']
238,IMPARK,0,,,,['DATETIME']
239,DIAMOND,0,,,,['DATETIME']
240,DIAMOND,0,,,,['DATETIME']
241,REPUBLIC,0,,,,['DATETIME']
242,DIAMOND,0,,,,['DATETIME']
243,UNITED,0,,,,['DATETIME']
244,DIAMOND,0,,,,['DATETIME']
245,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
246,REPUBLIC,0,,,,['DATETIME']
247,YELLOW DOG,0,,,,['DATETIME']
248,DIAMOND,0,,,,['DATETIME']
249,DIAMOND,0,,,,['DATETIME']
250,KEY PARK NORTHWEST,0,,,,['DATETIME']
251,DIAMOND,0,,,,['DATETIME']
252,DIAMOND,0,,,,['DATETIME']
253,CHEFS SOUP LOT,0,,,,['DATETIME']
254,,0,,,,['DATETIME']
255,DIAMOND,0,,,,['DATETIME']
256,IMPARK,0,,,,['DATETIME']
257,MERCHANTS PARKING ASSOC,0,,,,['DATETIME']
258,502 9TH AV,0,,,,['DATETIME']
259,IMPARK,0,,,,['DATETIME']
260,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
261,U-PARK,0,,,,['DATETIME']
262,UNITED,0,,,,['DATETIME']
263,IMPARK,0,,,,['DATETIME']
264,JADE,0,,,,['DATETIME']
265,DIAMOND,0,,,,['DATETIME']
266,530 DEXTER AV N,0,,,,['DATETIME']
267,WOODLAND PARK ZOO LOT,0,,,,['DATETIME']
268,DIAMOND,0,,,,['DATETIME']
269,DIAMOND,0,,,,['DATETIME']
270,DIAMOND,0,,,,['DATETIME']
271,U-PARK,0,,,,['DATETIME']
272,DIAMOND,0,,,,['DATETIME']
273,AMAZON.COM GARAGE,0,,,,['DATETIME']
274,DIAMOND,0,,,,['DATETIME']
275,MCFARLAND PROPERTY MANAGEMENT,0,,,,['DATETIME']
276,DIAMOND,0,,,,['DATETIME']
277,DIAMOND,0,,,,['DATETIME']
278,UNITED,0,,,,['DATETIME']
279,DIAMOND,0,,,,['DATETIME']
280,REPUBLIC - AGC BUILDING,0,,,,['DATETIME']
281,DIAMOND,0,,,,['DATETIME']
282,AMPCO,0,,,,['DATETIME']
283,REPUBLIC - JACOBSON TERMINAL,0,,,,['DATETIME']
284,DIAMOND,0,,,,['DATETIME']
285,WOODLAND PARK ZOO LOT,0,,,,['DATETIME']
286,AMPCO,0,,,,['DATETIME']
287,DIAMOND,0,,,,['DATETIME']
288,DIAMOND,0,,,,['DATETIME']
289,AMPCO,0,,,,['DATETIME']
290,U-PARK,0,,,,['DATETIME']
291,TRAVELODGE SEATTLE CENTER,0,,,,['DATETIME']
292,CPS - HC HENRY PIER,0,,,,['DATETIME']
293,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
294,UNITED,0,,,,['DATETIME']
295,2201 9TH AVENUE LOT,0,,,,['DATETIME']
