id,HRS_MONFRI,HRS_SAT,HRS_SUN
533,,,
534,,,
535,,,
536,7am-7pm,7am-7pm,7am-7pm
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,6am-6pm,Self park location,Self park location
547,,,
548,,,
549,,,
550,,,
551,,,
552,Self park location,Self park location,Self park location
553,,,
554,24 hours,24 hours,24 hours
555,,,
556,,,
557,,,
558,,,
559,24 hours,24 hours,24 hours
560,24 hours,24 hours,24 hours
561,Self park location,Self park location,Self park location
562,,,
563,,,
564,,,
565,Self park location,Self park location,Self park location
566,6:30am-11pm,8am-1am,9am-8pm
567,,,
568,,,
569,,,
570,6:30am-6pm,CLOSED,CLOSED
571,,,
572,7am-8:45pm,8am-4:30pm,closed
573,24 hours,24 hours,24 hours
574,24 hours,24 hours,24 hours
575,,,
576,,,
577,24 hours,24 hours,24 hours
578,,,
579,,,
580,,,
581,,,
582,,,
583,6am-6pm,Self park location,Self park location
584,24 hours,24 hours,24 hours
585,24 hours,24 hours,24 hours
586,,,
587,Self park location,Self park location,Self park location
588,24 hours,24 hours,24 hours
589,,,
590,8am - 10pm,9am - 8pm,
591,,,
592,,,
593,24 hours,24 hours,24 hours
594,,,
595,,,
596,,,
597,,,
598,6am-7pm,8am-6pm,closed
599,,,
600,,,
601,Self park location,Self park location,Self park location
602,,,
603,Self park location,Self park location,Self park location
604,6am-7pm,CLOSED,CLOSED
605,,,
606,,,
607,,,
608,,,
609,6am-6pm,Self park location,Self park location
610,,,
611,Self park location,Self park location,Self park location
612,,,
613,,,
614,,,
615,7am - 9pm,CLOSED,CLOSED
616,6am-12am,7am-12am,Event only
617,6am-12am,8am-12am,8am-12
618,24 hours,24 hours,24 hours
619,,,
620,Self park location,Self park location,Self park location
621,,,
622,,,
623,,,
624,Self park location,Self park location,Self park location
625,,,
626,,,
627,6:30am-8:30pm,8am-7:30pm,10am-6pm
628,,,
629,24 hours,24 hours,24 hours
630,,,
631,Mon-Weds: 6:30a- 12:30a   Thurs 6:30a - 1:30a  Fri,Saturday: 8:30a - 2:30a,Sunday:  9:00a - 11:00p
632,,,
633,,,
634,24 hours,24 hours,24 hours
635,,,
636,,,
637,,,
638,24 hours,24 hours,24 hours
639,24 hours,24 hours,24 hours
640,24 hours,24 hours,24 hours
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,Self park location,Self park location,Self park location
649,,,
650,24 hours,24 hours,24 hours
651,6am-9pm,8am-8pm,8pm-12am
652,,,
653,Self park location,Self park location,Self park location
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,,,
661,24 hours,24 hours,24 hours
662,,,
663,,,
664,6am-8pm,CLOSED,CLOSED
665,,,
666,24 hours,24 hours,24 hours
667,,,
668,24 hours,24 hours,24 hours
669,,,
670,,,
671,24 Hrs,24 Hrs,24 hours
672,,,
673,,,
674,Self park location,Self park location,Self park location
675,24 hours,24 hours,24 hours
676,Self park location,Self park location,Self park location
677,Self park location,Self park location,Self park location
678,Self park location,Self park location,Self park location
679,,,
680,24 hours,24 hours,24 hours
681,24 hours,24 hours,24 hours
682,,,
683,5:30am-12am,7am-12am,9am-8pm
684,Self park location,Self park location,Self park location
685,6:30am-7pm,10am-11pm,10am-6pm
686,,,
