id,applicant_id,application_date,decision_date,issue_date
656,,09/24/2015,02/04/2016,02/04/2016
657,,09/24/2015,12/21/2015,12/21/2015
658,,09/24/2015,,
659,,09/23/2015,12/17/2015,12/17/2015
660,,09/23/2015,01/14/2016,01/14/2016
661,,09/23/2015,03/10/2016,03/10/2016
662,,09/23/2015,,
663,,09/22/2015,04/21/2016,04/21/2016
664,,09/22/2015,03/21/2016,03/21/2016
665,,09/22/2015,04/04/2016,04/04/2016
666,,09/21/2015,,
667,,09/21/2015,03/21/2016,03/21/2016
668,,09/21/2015,01/25/2016,01/25/2016
669,,09/15/2015,,
670,,09/21/2015,,
671,,09/21/2015,,
672,,09/21/2015,,
673,,09/21/2015,,
674,,09/18/2015,,
675,,09/18/2015,,
676,,09/18/2015,01/17/2016,01/17/2016
677,,09/18/2015,12/17/2015,12/17/2015
678,,09/18/2015,04/14/2016,04/14/2016
679,,09/17/2015,01/11/2016,01/11/2016
680,,09/17/2015,04/18/2016,04/18/2016
681,,09/17/2015,01/11/2016,01/11/2016
682,,09/16/2015,,
683,,09/15/2015,12/31/2015,12/31/2015
684,,09/14/2015,10/15/2015,10/15/2015
685,,09/14/2015,12/31/2015,12/31/2015
686,,09/14/2015,,
687,,09/14/2015,,
688,,09/14/2015,,
689,,09/14/2015,,
690,,09/14/2015,,
691,,09/13/2015,10/09/2015,10/09/2015
692,,09/13/2015,01/19/2016,01/19/2016
693,,09/11/2015,12/21/2015,12/21/2015
694,,09/11/2015,12/28/2015,12/28/2015
695,,09/09/2015,01/28/2016,01/28/2016
696,,09/09/2015,01/28/2016,01/28/2016
697,,09/09/2015,01/14/2016,01/14/2016
698,,09/09/2015,12/10/2015,12/10/2015
699,,09/09/2015,02/29/2016,02/29/2016
700,,09/09/2015,,
701,,09/09/2015,,
702,,09/08/2015,10/26/2015,10/26/2015
703,,09/08/2015,01/14/2016,01/14/2016
704,,09/08/2015,12/21/2015,12/21/2015
705,,09/04/2015,,
706,,09/04/2015,12/01/2015,12/01/2015
707,,09/04/2015,10/22/2015,10/22/2015
708,,,,
709,,09/04/2015,11/30/2015,11/30/2015
710,,09/04/2015,10/26/2015,10/26/2015
711,,09/04/2015,03/10/2016,03/10/2016
712,,09/04/2015,12/17/2015,12/17/2015
