id,street,longitude,latitude,applicant_id
175,4608 S FINDLAY ST,-122.27487031,47.55207439,
176,1511 STURGUS AVE S,-122.3121045,47.58961285,
177,130 21ST AVE E,-122.30446485,47.61942434,
178,2602 14TH AVE W,-122.37455224,47.64311963,
179,524 N 87TH ST,-122.35161528,47.6926178,
180,2801 SW NEVADA ST,-122.36836802,47.56514833,
181,3062 SW AVALON WAY,-122.3721639,47.56594076,
182,4221 EVANSTON AVE N,-122.35136758,47.65832493,
183,4219 EVANSTON AVE N,-122.35146402,47.65828885,
184,1739 NW 63RD ST,-122.38059326,47.67430049,
185,1737 NW 63RD ST,-122.38050912,47.67439486,
186,1111 NW 85TH ST,-122.37099677,47.69052206,
187,1110 14TH AVE,-122.3138004,47.6119144,
188,1106 14TH AVE,-122.31390389,47.61189738,
189,4200 EAST MARGINAL WAY S,-122.3379759,47.56503053,
190,6405 NE WINDERMERE RD,-122.25882399,47.66895553,
191,5755 NE 63RD ST,-122.26379468,47.67406865,
192,6726 GREENWOOD AVE N,-122.35508197,47.67852334,
193,2034 NW 61ST ST,-122.38373273,47.67327757,
194,2359 YALE AVE E,-122.32741337,47.64144516,
195,1200 HOWELL ST,-122.33072825,47.61712674,
196,513 1ST AVE N,-122.3557595,47.62384901,
197,5980 RAINIER AVE S,-122.27592407,47.54794984,
198,2812 E UNION ST,-122.29554692,47.61312837,
199,6628 CARLETON AVE S,-122.32101268,47.54327175,
200,7425 4TH AVE NE,-122.32531412,47.68240595,
201,6630 CARLETON AVE S,-122.32122065,47.543365,
202,8522 DENSMORE AVE N,-122.3378151,47.6912119,
203,4705 16TH AVE NE,-122.31113089,47.66332423,
204,1909 25TH AVE S,-122.30084743,47.58596493,
205,3618 COURTLAND PL S,-122.28699976,47.5709993,
206,1746 NW 64TH ST,-122.38091921,47.67547473,
207,8820 AURORA AVE N,-122.34368602,47.69325915,
208,753 9TH AVE N,-122.34003066,47.62687182,
209,3818 23RD AVE W,-122.38576753,47.65458416,
210,1519 NE 103RD ST,-122.31166777,47.70287379,
211,1963 S STATE ST,-122.30669731,47.58762597,
212,2401 14TH AVE S,-122.31508981,47.581759,
213,1406 19TH AVE,-122.3072727,47.61327874,
214,513 NE 73RD ST,-122.32215765,47.68131853,
215,3816 23RD AVE W,-122.38579161,47.65451464,
216,3656 COURTLAND PL S,-122.286955,47.56993461,
217,4817 38TH AVE SW,-122.38041972,47.55871928,
218,127 N 35TH ST,-122.35644745,47.65159888,
219,1750 16TH AVE S,-122.3124781,47.58762632,
220,1924 9TH AVE W,-122.3686897,47.63672857,
221,1921 9TH AVE W,-122.36929952,47.63659473,
222,2350 DELMAR DR E,-122.314561,47.6407494,
223,8340 MARY AVE NW,-122.37498953,47.68991591,
224,121 15TH AVE E,-122.31312629,47.61919138,
225,8342 MARY AVE NW,-122.37521107,47.68989285,
226,2307 PERKINS LN W,-122.4102872,47.63796335,
227,8836 INTERLAKE AVE N,-122.33993015,47.69346795,
228,907 NW BALLARD WAY,-122.36958904,47.66248621,
229,1301 ALASKAN WAY,-122.34116288,47.60613997,
230,6519 49TH AVE SW,-122.39592535,47.54443749,
231,3029 NW 56TH ST,-122.39708869,47.66927478,
232,510 PROSPECT ST,-122.3470434,47.62928555,
233,1736 NW 63RD ST,-122.38058576,47.67476122,
234,739 N 66TH ST,-122.34827812,47.67671299,
235,625 NW MARKET ST,-122.36439428,47.66845426,
236,3817 GILMAN AVE W,-122.38539519,47.65443126,
237,1370 32ND AVE S,-122.29108101,47.59055332,
238,1546 STURGUS AVE S,-122.31137023,47.58864636,
239,2603 NW 63RD ST,-122.3904597,47.67434254,
240,800 COLUMBIA ST,-122.32705753,47.6068245,
241,630 BOREN AVE N,-122.33551235,47.62546116,
242,2014 FAIRVIEW AVE,-122.33381507,47.61832606,
243,1222 NE 65TH ST,-122.3146306,47.67596867,
244,1200 STEWART ST,-122.3320086,47.61801358,
245,5003 FAUNTLEROY WAY SW,-122.38187132,47.55728664,
246,3901 SW FINDLAY ST,-122.38191105,47.55189388,
247,6548 34TH AVE SW,-122.37492055,47.54326661,
248,2116 10TH AVE W,-122.36986001,47.63832042,
249,2124 10TH AVE W,-122.36995433,47.63847192,
250,4723 35TH AVE S,-122.28916322,47.55990943,
251,9603 ROOSEVELT WAY NE,-122.317884,47.69869378,
252,3228 W GOVERNMENT WAY,-122.39960737,47.66024565,
