id,case_type
901,HOUSING / ZONING
902,HOUSING / ZONING
903,CITATION
904,CITATION
905,CITATION
906,CITATION
907,CITATION
908,CITATION
909,CITATION
910,TENANT RELOCATION ORDINANCE
911,HOUSING / ZONING
912,TENANT RELOCATION ORDINANCE
913,HOUSING / ZONING
914,HOUSING / ZONING
915,CITATION
916,CITATION
917,HOUSING / ZONING
918,CITATION
919,CITATION
920,HOUSING / ZONING
921,CONSTRUCTION
922,CITATION
923,CITATION
924,TENANT RELOCATION ORDINANCE
925,HOUSING / ZONING
926,HOUSING / ZONING
927,HOUSING / ZONING
928,HOUSING / ZONING
929,CITATION
930,CONSTRUCTION
931,CONSTRUCTION
932,HOUSING / ZONING
933,HOUSING / ZONING
934,CONSTRUCTION
935,HOUSING / ZONING
936,HOUSING / ZONING
937,HOUSING / ZONING
938,HOUSING / ZONING
939,HOUSING / ZONING
940,CITATION
941,HOUSING / ZONING
942,HOUSING / ZONING
943,CONSTRUCTION
944,HOUSING / ZONING
945,CITATION
946,CONSTRUCTION
947,CITATION
948,TENANT RELOCATION ORDINANCE
949,HOUSING / ZONING
950,CITATION
951,HOUSING / ZONING
952,HOUSING / ZONING
953,CONSTRUCTION
954,CITATION
955,CITATION
956,CITATION
957,CITATION
958,CONSTRUCTION
959,CONSTRUCTION
960,HOUSING / ZONING
961,CONSTRUCTION
962,CONSTRUCTION
963,CONSTRUCTION
964,CONSTRUCTION
965,HOUSING / ZONING
966,CONSTRUCTION
967,HOUSING / ZONING
968,CITATION
969,TENANT RELOCATION ORDINANCE
970,CITATION
971,CONSTRUCTION
972,CITATION
973,HOUSING / ZONING
974,CONSTRUCTION
975,HOUSING / ZONING
976,CONSTRUCTION
977,HOUSING / ZONING
978,TENANT RELOCATION ORDINANCE
979,HOUSING / ZONING
980,HOUSING / ZONING
981,CITATION
982,CONSTRUCTION
983,CITATION
984,CONSTRUCTION
985,CONSTRUCTION
986,CONSTRUCTION
987,CITATION
988,HOUSING / ZONING
989,CONSTRUCTION
990,TENANT RELOCATION ORDINANCE
991,TENANT RELOCATION ORDINANCE
992,HOUSING / ZONING
993,HOUSING / ZONING
994,CITATION
995,HOUSING / ZONING
996,HOUSING / ZONING
997,HOUSING / ZONING
998,CITATION
999,HOUSING / ZONING
1000,HOUSING / ZONING
1001,HOUSING / ZONING
1002,CITATION
1003,CITATION
1004,CITATION
1005,CITATION
1006,HOUSING / ZONING
1007,HOUSING / ZONING
1008,CITATION
1009,CITATION
1010,CITATION
1011,CITATION
1012,HOUSING / ZONING
1013,CITATION
1014,CITATION
1015,CITATION
1016,CONSTRUCTION
1017,CITATION
1018,CONSTRUCTION
1019,CITATION
1020,HOUSING / ZONING
1021,CITATION
1022,HOUSING / ZONING
1023,CITATION
1024,CITATION
1025,CITATION
1026,TENANT RELOCATION ORDINANCE
1027,HOUSING / ZONING
1028,HOUSING / ZONING
1029,CITATION
1030,HOUSING / ZONING
1031,HOUSING / ZONING
1032,HOUSING / ZONING
1033,HOUSING / ZONING
1034,HOUSING / ZONING
1035,HOUSING / ZONING
1036,HOUSING / ZONING
1037,HOUSING / ZONING
1038,CITATION
1039,CITATION
1040,HOUSING / ZONING
1041,CITATION
1042,CITATION
1043,CITATION
1044,CITATION
1045,HOUSING / ZONING
1046,CONSTRUCTION
1047,CITATION
1048,CONSTRUCTION
1049,CITATION
1050,CITATION
1051,HOUSING / ZONING
1052,CITATION
1053,CITATION
1054,CITATION
1055,CONSTRUCTION
1056,CONSTRUCTION
1057,CITATION
1058,CONSTRUCTION
1059,CONSTRUCTION
1060,CONSTRUCTION
1061,CONSTRUCTION
1062,CONSTRUCTION
1063,CONSTRUCTION
1064,HOUSING / ZONING
1065,HOUSING / ZONING
1066,HOUSING / ZONING
1067,CITATION
1068,HOUSING / ZONING
1069,HOUSING / ZONING
1070,HOUSING / ZONING
1071,HOUSING / ZONING
1072,HOUSING / ZONING
1073,CONSTRUCTION
1074,TENANT RELOCATION ORDINANCE
1075,HOUSING / ZONING
1076,CITATION
1077,CONSTRUCTION
1078,CITATION
1079,HOUSING / ZONING
1080,CONSTRUCTION
1081,HOUSING / ZONING
1082,CITATION
1083,CITATION
1084,HOUSING / ZONING
1085,HOUSING / ZONING
1086,HOUSING / ZONING
1087,CONSTRUCTION
1088,TENANT RELOCATION ORDINANCE
1089,HOUSING / ZONING
1090,HOUSING / ZONING
1091,HOUSING / ZONING
1092,HOUSING / ZONING
1093,CONSTRUCTION
1094,CITATION
1095,HOUSING / ZONING
1096,HOUSING / ZONING
1097,HOUSING / ZONING
1098,HOUSING / ZONING
1099,HOUSING / ZONING
1100,CONSTRUCTION
1101,HOUSING / ZONING
1102,CONSTRUCTION
1103,CITATION
1104,CITATION
1105,CITATION
1106,CONSTRUCTION
1107,CITATION
1108,CONSTRUCTION
1109,CITATION
1110,HOUSING / ZONING
1111,TENANT RELOCATION ORDINANCE
1112,HOUSING / ZONING
1113,TENANT RELOCATION ORDINANCE
1114,CITATION
1115,CITATION
1116,CITATION
1117,CITATION
1118,TENANT RELOCATION ORDINANCE
1119,CONSTRUCTION
1120,CITATION
1121,TENANT RELOCATION ORDINANCE
1122,CITATION
1123,HOUSING / ZONING
1124,TENANT RELOCATION ORDINANCE
1125,CITATION
1126,HOUSING / ZONING
1127,HOUSING / ZONING
1128,HOUSING / ZONING
1129,CITATION
1130,CITATION
1131,HOUSING / ZONING
1132,CITATION
1133,CITATION
1134,HOUSING / ZONING
1135,CITATION
1136,CITATION
1137,CONSTRUCTION
1138,CONSTRUCTION
1139,HOUSING / ZONING
1140,CITATION
1141,CONSTRUCTION
1142,HOUSING / ZONING
1143,TENANT RELOCATION ORDINANCE
1144,HOUSING / ZONING
1145,HOUSING / ZONING
1146,HOUSING / ZONING
1147,HOUSING / ZONING
1148,HOUSING / ZONING
1149,TENANT RELOCATION ORDINANCE
1150,TENANT RELOCATION ORDINANCE
1151,TENANT RELOCATION ORDINANCE
1152,CITATION
1153,CITATION
1154,HOUSING / ZONING
1155,CITATION
1156,CITATION
1157,CITATION
1158,CITATION
1159,CONSTRUCTION
1160,CITATION
1161,TENANT RELOCATION ORDINANCE
1162,CITATION
1163,HOUSING / ZONING
1164,TENANT RELOCATION ORDINANCE
1165,CITATION
1166,HOUSING / ZONING
1167,TENANT RELOCATION ORDINANCE
1168,TENANT RELOCATION ORDINANCE
1169,CITATION
1170,TENANT RELOCATION ORDINANCE
1171,CONSTRUCTION
1172,CITATION
1173,CITATION
1174,TENANT RELOCATION ORDINANCE
1175,TENANT RELOCATION ORDINANCE
1176,HOUSING / ZONING
1177,CONSTRUCTION
1178,CONSTRUCTION
1179,HOUSING / ZONING
1180,HOUSING / ZONING
1181,HOUSING / ZONING
1182,HOUSING / ZONING
1183,HOUSING / ZONING
1184,CITATION
1185,CITATION
1186,HOUSING / ZONING
1187,HOUSING / ZONING
1188,CITATION
1189,CITATION
1190,CITATION
1191,HOUSING / ZONING
1192,CONSTRUCTION
1193,HOUSING / ZONING
1194,HOUSING / ZONING
1195,CITATION
1196,HOUSING / ZONING
1197,CONSTRUCTION
1198,CITATION
1199,HOUSING / ZONING
1200,HOUSING / ZONING
1201,CITATION
1202,HOUSING / ZONING
1203,HOUSING / ZONING
1204,HOUSING / ZONING
1205,HOUSING / ZONING
1206,CITATION
1207,CITATION
1208,HOUSING / ZONING
1209,HOUSING / ZONING
1210,HOUSING / ZONING
1211,CONSTRUCTION
1212,CITATION
1213,HOUSING / ZONING
1214,CONSTRUCTION
1215,CONSTRUCTION
1216,CITATION
1217,HOUSING / ZONING
1218,HOUSING / ZONING
1219,HOUSING / ZONING
1220,TENANT RELOCATION ORDINANCE
1221,CITATION
1222,CITATION
1223,HOUSING / ZONING
1224,CITATION
1225,CITATION
1226,TENANT RELOCATION ORDINANCE
1227,CONSTRUCTION
1228,CITATION
1229,HOUSING / ZONING
1230,CONSTRUCTION
1231,CONSTRUCTION
1232,CONSTRUCTION
1233,CITATION
1234,CONSTRUCTION
1235,HOUSING / ZONING
1236,CONSTRUCTION
1237,TENANT RELOCATION ORDINANCE
1238,CITATION
1239,CONSTRUCTION
1240,HOUSING / ZONING
1241,HOUSING / ZONING
1242,CONSTRUCTION
1243,CONSTRUCTION
1244,HOUSING / ZONING
1245,CITATION
1246,TENANT RELOCATION ORDINANCE
1247,TENANT RELOCATION ORDINANCE
1248,HOUSING / ZONING
1249,CITATION
1250,HOUSING / ZONING
1251,HOUSING / ZONING
1252,CITATION
1253,HOUSING / ZONING
1254,HOUSING / ZONING
1255,HOUSING / ZONING
