id,group
712,ZONING
713,ZONING
714,ZONING
715,HOUSING
716,ZONING
717,ZONING
718,ZONING
719,ZONING
720,ZONING
721,WEEDS AND VEGETATION
722,BUILDING
723,JUST CAUSE EVICTION
724,JUST CAUSE EVICTION
725,JUST CAUSE EVICTION
726,JUST CAUSE EVICTION
727,HOUSING
728,HOUSING
729,JUST CAUSE EVICTION
730,JUST CAUSE EVICTION
731,JUST CAUSE EVICTION
732,ZONING
733,JUST CAUSE EVICTION
734,JUST CAUSE EVICTION
735,ZONING
736,ZONING
737,BUILDING
738,BUILDING
739,WEEDS AND VEGETATION
740,TENANT RELOCATION ASSIST ORD
741,TENANT RELOCATION ASSIST ORD
742,TENANT RELOCATION ASSIST ORD
743,TENANT RELOCATION ASSIST ORD
744,WEEDS AND VEGETATION
745,BUILDING
746,CONSTRUCTION NOISE
747,BUILDING
748,BUILDING
749,TRAO AVOIDANCE
750,SITE
751,BUILDING
752,TENANT RELOCATION ASSIST ORD
753,TENANT RELOCATION ASSIST ORD
754,TENANT RELOCATION ASSIST ORD
755,HOUSING
756,ZONING
757,BUILDING
758,HOUSING
759,HOUSING
760,HOUSING
761,VACANT BUILDING
762,VACANT BUILDING
763,ZONING
764,ZONING
765,ELECTRICAL
766,WEEDS AND VEGETATION
767,HOUSING
768,TRAO AVOIDANCE
769,HOUSING
770,TRAO AVOIDANCE
771,ZONING
772,ZONING
773,WEEDS AND VEGETATION
774,HOUSING
775,WEEDS AND VEGETATION
776,BUILDING
777,ZONING
778,ZONING
779,WEEDS AND VEGETATION
780,ZONING
781,ZONING
782,ZONING
783,SITE
784,BUILDING
785,JUST CAUSE EVICTION
786,VACANT BUILDING
787,VACANT BUILDING
788,ZONING
789,HOUSING
790,ZONING
791,ZONING
792,BUILDING
793,SITE
794,TENANT RELOCATION ASSIST ORD
795,ZONING
796,ZONING
797,ZONING
798,TENANT RELOCATION ASSIST ORD
799,TENANT RELOCATION ASSIST ORD
800,HOUSING
801,WEEDS AND VEGETATION
802,ZONING
803,ZONING
