id,Action Type,Work Type
358,ADD/ALT,Plan Review
359,ADD/ALT,Plan Review
360,ADD/ALT,Plan Review
361,ADD/ALT,Plan Review
362,ADD/ALT,Plan Review
363,ADD/ALT,No plan review
364,ADD/ALT,No plan review
365,,Plan Review
366,NEW,Plan Review
367,ADD/ALT,No plan review
368,ADD/ALT,No plan review
369,ADD/ALT,No plan review
370,ADD/ALT,No plan review
371,ADD/ALT,Plan Review
372,ADD/ALT,Plan Review
373,ADD/ALT,No plan review
374,ADD/ALT,No plan review
375,ADD/ALT,No plan review
376,ADD/ALT,No plan review
377,ADD/ALT,No plan review
378,ADD/ALT,No plan review
379,ADD/ALT,No plan review
380,ADD/ALT,No plan review
381,ADD/ALT,No plan review
382,ADD/ALT,Plan Review
383,ADD/ALT,Plan Review
384,ADD/ALT,Plan Review
385,ADD/ALT,Plan Review
386,ADD/ALT,Plan Review
387,ADD/ALT,Plan Review
388,ALTER,Plan Review
389,ADD/ALT,Plan Review
390,NEW,Plan Review
391,ADD/ALT,Plan Review
392,ADD/ALT,Plan Review
393,ADD/ALT,Plan Review
394,ADD/ALT,No plan review
395,ADD/ALT,No plan review
396,ADD/ALT,No plan review
397,ADD/ALT,Plan Review
398,NEW,Plan Review
399,ADD/ALT,Plan Review
400,ADD/ALT,Plan Review
401,NEW,Plan Review
402,NEW,Plan Review
403,NEW,Plan Review
404,NEW,Plan Review
405,NEW,Plan Review
406,NEW,Plan Review
407,DEMOLITION,No plan review
408,DEMOLITION,No plan review
409,ADD/ALT,Plan Review
410,ADD/ALT,Plan Review
411,ADD/ALT,No plan review
412,ADD/ALT,No plan review
413,ADD/ALT,No plan review
414,ALTER,Plan Review
415,ADD/ALT,No plan review
416,ADD/ALT,No plan review
417,ADD/ALT,Plan Review
418,ADD/ALT,Plan Review
419,ADD/ALT,No plan review
420,ADD/ALT,No plan review
421,ADD/ALT,Plan Review
422,ADD/ALT,No plan review
423,ADD/ALT,Plan Review
424,ADD/ALT,Plan Review
425,DEMOLITION,No plan review
426,NEW,Plan Review
427,NEW,Plan Review
428,DEMOLITION,No plan review
429,NEW,Plan Review
430,ADD/ALT,No plan review
431,ADD/ALT,No plan review
432,NEW,Plan Review
433,DEMOLITION,No plan review
434,ADD/ALT,Plan Review
435,ADD/ALT,Plan Review
436,ADD/ALT,Plan Review
437,ADD/ALT,Plan Review
438,ADD/ALT,Plan Review
439,ADD/ALT,Plan Review
440,ADD/ALT,Plan Review
441,ADD/ALT,No plan review
442,ADD/ALT,No plan review
443,ADD/ALT,No plan review
444,ADD/ALT,No plan review
445,NEW,Plan Review
446,ADD/ALT,No plan review
447,ADD/ALT,Plan Review
448,ADD/ALT,Plan Review
449,ADD/ALT,Plan Review
450,ADD/ALT,Plan Review
451,ADD/ALT,No plan review
452,ADD/ALT,Plan Review
453,ADD/ALT,Plan Review
454,ADD/ALT,Plan Review
455,ADD/ALT,Plan Review
456,ADD/ALT,Plan Review
457,GRADING,Plan Review
458,ADD/ALT,No plan review
459,ADD/ALT,No plan review
460,ALTER,Plan Review
461,ADD/ALT,No plan review
462,ALTER,Plan Review
463,ALTER,Plan Review
464,ADD/ALT,No plan review
465,,Plan Review
466,ADD/ALT,No plan review
467,ADD/ALT,No plan review
468,ADD/ALT,Plan Review
469,ADD/ALT,Plan Review
470,NEW,Plan Review
471,ADD/ALT,No plan review
472,ADD/ALT,No plan review
473,ADD/ALT,No plan review
474,ADD/ALT,No plan review
475,ADD/ALT,No plan review
476,ADD/ALT,Plan Review
477,ADD/ALT,Plan Review
478,ADD/ALT,Plan Review
479,ADD/ALT,No plan review
480,NEW,Plan Review
481,ADD/ALT,Plan Review
482,ADD/ALT,Plan Review
483,ADD/ALT,No plan review
484,ADD/ALT,No plan review
485,ADD/ALT,No plan review
486,ADD/ALT,No plan review
487,ADD/ALT,Plan Review
488,ADD/ALT,No plan review
489,NEW,Plan Review
490,ADD/ALT,No plan review
491,ADD/ALT,Plan Review
492,ADD/ALT,Plan Review
493,ADD/ALT,No plan review
494,ADD/ALT,No plan review
495,ADD/ALT,No plan review
496,ADD/ALT,No plan review
497,DEMOLITION,No plan review
498,ADD/ALT,No plan review
499,ADD/ALT,Plan Review
500,ADD/ALT,Plan Review
501,ADD/ALT,Plan Review
502,NEW,Plan Review
503,ADD/ALT,Plan Review
504,ADD/ALT,No plan review
505,DEMOLITION,No plan review
506,NEW,Plan Review
507,ADD/ALT,Plan Review
508,ADD/ALT,No plan review
509,ADD/ALT,No plan review
510,ADD/ALT,Plan Review
511,ADD/ALT,Plan Review
512,NEW,Plan Review
513,ADD/ALT,Plan Review
514,NEW,Plan Review
515,ADD/ALT,Plan Review
516,ADD/ALT,Plan Review
517,ADD/ALT,No plan review
518,ADD/ALT,No plan review
519,ADD/ALT,No plan review
520,ADD/ALT,No plan review
521,ALTER,Plan Review
522,ALTER,Plan Review
523,ADD/ALT,Plan Review
524,DEMOLITION,Plan Review
525,ADD/ALT,No plan review
526,DEMOLITION,Plan Review
527,ADD/ALT,No plan review
528,ADD/ALT,No plan review
529,ADD/ALT,Plan Review
530,ALTER,Plan Review
531,ADD/ALT,Plan Review
532,DEMOLITION,No plan review
533,NEW,Plan Review
534,ADD/ALT,Plan Review
535,ADD/ALT,Plan Review
536,ADD/ALT,Plan Review
537,ADD/ALT,Plan Review
538,ADD/ALT,Plan Review
539,ADD/ALT,Plan Review
540,DEMOLITION,No plan review
541,ADD/ALT,Plan Review
542,ADD/ALT,Plan Review
543,ADD/ALT,Plan Review
544,ADD/ALT,No plan review
545,DEMOLITION,No plan review
546,ADD/ALT,No plan review
547,ADD/ALT,Plan Review
548,ADD/ALT,Plan Review
549,ADD/ALT,Plan Review
550,ADD/ALT,Plan Review
551,ADD/ALT,Plan Review
552,ADD/ALT,No plan review
553,ADD/ALT,Plan Review
554,ADD/ALT,Plan Review
555,NEW,Plan Review
556,NEW,Plan Review
557,ADD/ALT,Plan Review
558,ADD/ALT,Plan Review
559,NEW,Plan Review
560,ADD/ALT,Plan Review
561,NEW,Plan Review
562,DEMOLITION,No plan review
563,ALTER,Plan Review
564,ADD/ALT,Plan Review
565,ADD/ALT,Plan Review
566,ADD/ALT,No plan review
567,DEMOLITION,No plan review
568,ADD/ALT,Plan Review
569,ADD/ALT,Plan Review
570,ADD/ALT,Plan Review
571,ADD/ALT,Plan Review
572,DEMOLITION,Plan Review
573,NEW,Plan Review
574,ADD/ALT,Plan Review
575,ADD/ALT,Plan Review
576,ADD/ALT,Plan Review
577,ADD/ALT,Plan Review
578,ADD/ALT,Plan Review
579,ADD/ALT,No plan review
580,ADD/ALT,No plan review
581,ADD/ALT,No plan review
582,ADD/ALT,No plan review
583,ADD/ALT,No plan review
584,ADD/ALT,No plan review
585,ADD/ALT,No plan review
586,ADD/ALT,No plan review
587,ADD/ALT,Plan Review
588,ADD/ALT,Plan Review
589,ADD/ALT,Plan Review
590,ADD/ALT,Plan Review
591,NEW,Plan Review
592,NEW,Plan Review
593,NEW,Plan Review
594,NEW,Plan Review
595,NEW,Plan Review
596,DEMOLITION,No plan review
597,ADD/ALT,Plan Review
598,ALTER,Plan Review
599,ADD/ALT,No plan review
600,NEW,Plan Review
601,ADD/ALT,Plan Review
602,ADD/ALT,Plan Review
603,ADD/ALT,Plan Review
604,DEMOLITION,No plan review
605,ADD/ALT,No plan review
606,ADD/ALT,Plan Review
607,ADD/ALT,Plan Review
608,NEW,Plan Review
609,ADD/ALT,Plan Review
610,ADD/ALT,Plan Review
611,ADD/ALT,Plan Review
612,ADD/ALT,Plan Review
613,ADD/ALT,Plan Review
614,NEW,Plan Review
615,,Plan Review
616,DEMOLITION,No plan review
617,ADD/ALT,No plan review
618,ADD/ALT,No plan review
619,NEW,No plan review
620,ADD/ALT,No plan review
621,ADD/ALT,Plan Review
622,NEW,Plan Review
623,ADD/ALT,Plan Review
624,ADD/ALT,Plan Review
625,ADD/ALT,Plan Review
626,ADD/ALT,Plan Review
627,ADD/ALT,Plan Review
628,ADD/ALT,Plan Review
629,ADD/ALT,Plan Review
630,ADD/ALT,Plan Review
631,ADD/ALT,Plan Review
632,NEW,No plan review
633,ADD/ALT,No plan review
634,ADD/ALT,No plan review
635,ALTER,Plan Review
636,ADD/ALT,Plan Review
637,ADD/ALT,No plan review
638,ADD/ALT,No plan review
639,ADD/ALT,No plan review
640,ADD/ALT,No plan review
641,ADD/ALT,No plan review
642,ADD/ALT,Plan Review
643,ADD/ALT,Plan Review
644,NEW,No plan review
645,ADD/ALT,No plan review
646,ADD/ALT,Plan Review
647,ADD/ALT,Plan Review
648,ADD/ALT,Plan Review
649,ADD/ALT,Plan Review
650,ADD/ALT,Plan Review
651,ADD/ALT,Plan Review
652,ADD/ALT,No plan review
653,DEMOLITION,No plan review
654,ADD/ALT,No plan review
655,ADD/ALT,Plan Review
656,ADD/ALT,No plan review
657,DEMOLITION,No plan review
658,NEW,Plan Review
659,ALTER,Plan Review
660,NEW,Plan Review
661,NEW,Plan Review
662,DEMOLITION,No plan review
