id,Action Type,Work Type
27948,ADD/ALT,No plan review
27949,ADD/ALT,Plan Review
27950,NEW,Plan Review
27951,ADD/ALT,No plan review
27952,ADD/ALT,Plan Review
27953,ADD/ALT,Plan Review
27954,TREE/VEGETATION MAINT/RESTORE,No plan review
27955,ADD/ALT,No plan review
27956,ADD/ALT,Plan Review
27957,ADD/ALT,No plan review
27958,ALTER,Plan Review
27959,ADD/ALT,Plan Review
27960,ADD/ALT,No plan review
27961,ADD/ALT,No plan review
27962,ADD/ALT,No plan review
27963,ADD/ALT,Plan Review
27964,ADD/ALT,No plan review
27965,ADD/ALT,Plan Review
27966,ADD/ALT,Plan Review
27967,ADD/ALT,No plan review
27968,ADD/ALT,No plan review
27969,ADD/ALT,No plan review
27970,ADD/ALT,No plan review
27971,NEW,Plan Review
27972,NEW,Plan Review
27973,NEW,Plan Review
27974,NEW,Plan Review
27975,ADD/ALT,Plan Review
27976,ADD/ALT,No plan review
27977,ADD/ALT,Plan Review
27978,ADD/ALT,No plan review
27979,ADD/ALT,Plan Review
27980,ADD/ALT,Plan Review
27981,ADD/ALT,No plan review
27982,ADD/ALT,No plan review
27983,ADD/ALT,No plan review
27984,ADD/ALT,Plan Review
27985,ADD/ALT,No plan review
27986,ADD/ALT,Plan Review
27987,ADD/ALT,Plan Review
27988,ALTER,Plan Review
27989,ADD/ALT,Plan Review
27990,ALTER,Plan Review
27991,ALTER,Plan Review
27992,ADD/ALT,Plan Review
27993,ADD/ALT,No plan review
27994,ADD/ALT,No plan review
27995,NEW,No plan review
27996,ADD/ALT,No plan review
27997,ADD/ALT,No plan review
27998,ADD/ALT,No plan review
27999,ADD/ALT,No plan review
28000,ADD/ALT,No plan review
28001,ADD/ALT,Plan Review
28002,ADD/ALT,No plan review
28003,TEMP,Plan Review
28004,ADD/ALT,Plan Review
28005,DEMOLITION,Plan Review
28006,ADD/ALT,Plan Review
28007,ADD/ALT,No plan review
28008,NEW,Plan Review
28009,DEMOLITION,No plan review
28010,NEW,Plan Review
28011,ADD/ALT,No plan review
28012,ADD/ALT,No plan review
28013,ADD/ALT,Plan Review
28014,ADD/ALT,No plan review
28015,DEMOLITION,Plan Review
28016,TEMP,Plan Review
28017,TREE/VEGETATION MAINT/RESTORE,No plan review
28018,NEW,Plan Review
28019,ADD/ALT,No plan review
28020,ADD/ALT,No plan review
28021,ADD/ALT,No plan review
28022,NEW,Plan Review
28023,ADD/ALT,No plan review
28024,ADD/ALT,No plan review
28025,ADD/ALT,No plan review
28026,NEW,Plan Review
28027,ADD/ALT,Plan Review
28028,ADD/ALT,Plan Review
28029,ADD/ALT,Plan Review
28030,ADD/ALT,No plan review
28031,NEW,Plan Review
28032,ADD/ALT,No plan review
28033,ADD/ALT,No plan review
28034,ADD/ALT,Plan Review
28035,ADD/ALT,No plan review
28036,ADD/ALT,No plan review
28037,ADD/ALT,No plan review
28038,ADD/ALT,No plan review
28039,ADD/ALT,No plan review
28040,NEW,Plan Review
28041,DEMOLITION,No plan review
28042,ALTER,Plan Review
28043,ADD/ALT,No plan review
28044,DEMOLITION,No plan review
28045,NEW,Plan Review
28046,ALTER,Plan Review
28047,ADD/ALT,Plan Review
28048,DEMOLITION,No plan review
28049,NEW,Plan Review
28050,NEW,Plan Review
28051,NEW,Plan Review
28052,NEW,Plan Review
28053,NEW,Plan Review
28054,NEW,Plan Review
28055,NEW,Plan Review
28056,ADD/ALT,Plan Review
28057,ADD/ALT,No plan review
28058,ADD/ALT,No plan review
28059,ADD/ALT,No plan review
28060,NEW,Plan Review
28061,ADD/ALT,No plan review
28062,NEW,Plan Review
28063,,No plan review
28064,ADD/ALT,Plan Review
28065,ADD/ALT,No plan review
28066,ALTER,Plan Review
28067,ADD/ALT,Plan Review
28068,ADD/ALT,Plan Review
28069,ADD/ALT,Plan Review
28070,ADD/ALT,Plan Review
28071,ADD/ALT,No plan review
28072,ADD/ALT,No plan review
28073,ADD/ALT,No plan review
28074,DEMOLITION,No plan review
28075,NEW,Plan Review
28076,DEMOLITION,Plan Review
28077,NEW,Plan Review
28078,DEMOLITION,Plan Review
28079,DEMOLITION,Plan Review
28080,DEMOLITION,Plan Review
28081,DEMOLITION,Plan Review
28082,DEMOLITION,Plan Review
28083,ADD/ALT,Plan Review
28084,ADD/ALT,No plan review
28085,ADD/ALT,No plan review
28086,ADD/ALT,No plan review
28087,ADD/ALT,No plan review
28088,ADD/ALT,Plan Review
28089,ADD/ALT,Plan Review
28090,ADD/ALT,No plan review
28091,NEW,Plan Review
28092,ADD/ALT,Plan Review
28093,ADD/ALT,No plan review
28094,ADD/ALT,No plan review
28095,NEW,Plan Review
28096,ADD/ALT,No plan review
28097,ADD/ALT,Plan Review
28098,ALTER,Plan Review
28099,ADD/ALT,Plan Review
28100,ADD/ALT,Plan Review
28101,ADD/ALT,Plan Review
28102,NEW,Plan Review
28103,NEW,Plan Review
28104,ADD/ALT,No plan review
28105,ADD/ALT,No plan review
28106,ADD/ALT,No plan review
28107,ADD/ALT,No plan review
28108,ADD/ALT,Plan Review
28109,ADD/ALT,No plan review
28110,NEW,Plan Review
28111,NEW,Plan Review
28112,ADD/ALT,No plan review
28113,NEW,Plan Review
28114,NEW,Plan Review
28115,ADD/ALT,No plan review
28116,ADD/ALT,No plan review
28117,ADD/ALT,No plan review
28118,ADD/ALT,No plan review
28119,ADD/ALT,Plan Review
28120,ADD/ALT,No plan review
28121,ADD/ALT,No plan review
28122,ADD/ALT,No plan review
28123,ADD/ALT,No plan review
28124,ADD/ALT,No plan review
28125,ADD/ALT,No plan review
28126,ADD/ALT,No plan review
28127,ALTER,Plan Review
28128,ADD/ALT,Plan Review
28129,ADD/ALT,No plan review
28130,ADD/ALT,No plan review
28131,ADD/ALT,Plan Review
28132,ALTER,Plan Review
28133,NEW,Plan Review
28134,ADD/ALT,No plan review
28135,DEMOLITION,No plan review
28136,ADD/ALT,No plan review
28137,ADD/ALT,No plan review
28138,ADD/ALT,Plan Review
28139,GRADING,Plan Review
28140,CURB CUT,No plan review
28141,ADD/ALT,No plan review
28142,ADD/ALT,No plan review
28143,ADD/ALT,Plan Review
28144,ADD/ALT,No plan review
28145,ADD/ALT,No plan review
28146,ALTER,Plan Review
28147,ADD/ALT,No plan review
28148,ADD/ALT,No plan review
28149,ADD/ALT,No plan review
28150,ADD/ALT,Plan Review
28151,ADD/ALT,No plan review
28152,TREE/VEGETATION MAINT/RESTORE,No plan review
28153,ALTER,Plan Review
28154,ALTER,Plan Review
28155,DEMOLITION,No plan review
28156,ALTER,Plan Review
28157,ADD/ALT,No plan review
28158,NEW,Plan Review
28159,NEW,Plan Review
28160,ADD/ALT,No plan review
28161,ADD/ALT,No plan review
28162,CURB CUT,No plan review
28163,DEMOLITION,No plan review
28164,TREE/VEGETATION MAINT/RESTORE,No plan review
28165,ADD/ALT,No plan review
28166,NEW,Plan Review
28167,NEW,Plan Review
28168,NEW,Plan Review
28169,NEW,Plan Review
28170,NEW,Plan Review
28171,NEW,Plan Review
28172,TREE/VEGETATION MAINT/RESTORE,No plan review
28173,ADD/ALT,Plan Review
28174,ADD/ALT,No plan review
28175,ADD/ALT,Plan Review
28176,ADD/ALT,No plan review
28177,NEW,Plan Review
28178,TEMP,Plan Review
28179,ADD/ALT,Plan Review
28180,ADD/ALT,No plan review
28181,DEMOLITION,No plan review
28182,NEW,Plan Review
28183,RELOCATION,No plan review
28184,NEW,Plan Review
28185,NEW,Plan Review
28186,NEW,Plan Review
28187,ADD/ALT,Plan Review
28188,NEW,Plan Review
28189,ADD/ALT,No plan review
28190,NEW,Plan Review
28191,ADD/ALT,No plan review
28192,TREE/VEGETATION MAINT/RESTORE,No plan review
28193,ADD/ALT,No plan review
28194,TREE/VEGETATION MAINT/RESTORE,No plan review
28195,ADD/ALT,No plan review
28196,ADD/ALT,No plan review
28197,ADD/ALT,Plan Review
28198,ADD/ALT,Plan Review
28199,ADD/ALT,Plan Review
28200,ADD/ALT,No plan review
28201,DEMOLITION,Plan Review
28202,ADD/ALT,No plan review
28203,ADD/ALT,No plan review
28204,TEMP,Plan Review
28205,ADD/ALT,No plan review
28206,ADD/ALT,No plan review
28207,ADD/ALT,Plan Review
28208,ADD/ALT,Plan Review
28209,ADD/ALT,No plan review
28210,DEMOLITION,No plan review
28211,DEMOLITION,No plan review
28212,NEW,Plan Review
28213,ADD/ALT,No plan review
28214,ADD/ALT,Plan Review
28215,DEMOLITION,No plan review
28216,ADD/ALT,No plan review
28217,ADD/ALT,No plan review
28218,ADD/ALT,Plan Review
28219,ADD/ALT,No plan review
28220,ADD/ALT,No plan review
28221,ADD/ALT,Plan Review
28222,ADD/ALT,Plan Review
28223,NEW,Plan Review
28224,ADD/ALT,Plan Review
28225,ADD/ALT,No plan review
28226,NEW,Plan Review
28227,NEW,Plan Review
28228,ADD/ALT,No plan review
28229,ADD/ALT,No plan review
28230,ADD/ALT,Plan Review
28231,ADD/ALT,No plan review
28232,DEMOLITION,No plan review
28233,NEW,Plan Review
28234,NEW,Plan Review
28235,ADD/ALT,Plan Review
28236,NEW,Plan Review
28237,NEW,Plan Review
28238,DEMOLITION,No plan review
28239,DEMOLITION,No plan review
28240,TEMP,Plan Review
28241,NEW,Plan Review
28242,NEW,Plan Review
28243,NEW,Plan Review
28244,ALTER,Plan Review
28245,DEMOLITION,No plan review
28246,ADD/ALT,No plan review
28247,NEW,Plan Review
28248,DEMOLITION,No plan review
28249,NEW,Plan Review
28250,ADD/ALT,Plan Review
28251,ADD/ALT,Plan Review
28252,DEMOLITION,No plan review
28253,DEMOLITION,No plan review
28254,NEW,Plan Review
28255,ADD/ALT,Plan Review
28256,ADD/ALT,Plan Review
28257,DEMOLITION,No plan review
28258,ADD/ALT,No plan review
28259,ADD/ALT,Plan Review
28260,NEW,Plan Review
28261,ADD/ALT,Plan Review
28262,ADD/ALT,No plan review
28263,ADD/ALT,No plan review
28264,ADD/ALT,No plan review
28265,ADD/ALT,Plan Review
28266,ADD/ALT,No plan review
28267,ADD/ALT,Plan Review
28268,ADD/ALT,Plan Review
28269,ADD/ALT,Plan Review
28270,ADD/ALT,No plan review
28271,ADD/ALT,Plan Review
28272,ADD/ALT,Plan Review
28273,ADD/ALT,Plan Review
28274,ADD/ALT,Plan Review
28275,ADD/ALT,Plan Review
28276,ADD/ALT,No plan review
28277,NEW,Plan Review
28278,NEW,Plan Review
28279,NEW,Plan Review
28280,NEW,Plan Review
28281,DEMOLITION,No plan review
28282,ADD/ALT,Plan Review
28283,ADD/ALT,No plan review
28284,ADD/ALT,Plan Review
28285,ADD/ALT,Plan Review
28286,GRADING,Plan Review
28287,ADD/ALT,Plan Review
28288,NEW,Plan Review
28289,ADD/ALT,No plan review
28290,ADD/ALT,No plan review
28291,ADD/ALT,Plan Review
28292,ADD/ALT,No plan review
28293,NEW,Plan Review
28294,ADD/ALT,No plan review
28295,ADD/ALT,No plan review
28296,NEW,Plan Review
28297,ADD/ALT,No plan review
28298,ADD/ALT,Plan Review
28299,ALTER,Plan Review
28300,ADD/ALT,No plan review
28301,ADD/ALT,No plan review
28302,ADD/ALT,No plan review
28303,GRADING,Plan Review
28304,ADD/ALT,Plan Review
28305,ALTER,Plan Review
28306,ADD/ALT,Plan Review
28307,TREE/VEGETATION MAINT/RESTORE,No plan review
28308,ADD/ALT,No plan review
28309,ADD/ALT,Plan Review
28310,ADD/ALT,No plan review
28311,NEW,Plan Review
28312,ADD/ALT,No plan review
28313,TREE/VEGETATION MAINT/RESTORE,No plan review
28314,ADD/ALT,No plan review
28315,DEMOLITION,No plan review
28316,ADD/ALT,No plan review
28317,TREE/VEGETATION MAINT/RESTORE,No plan review
28318,TREE/VEGETATION MAINT/RESTORE,No plan review
28319,ADD/ALT,No plan review
28320,ALTER,Plan Review
28321,ADD/ALT,Plan Review
28322,ADD/ALT,No plan review
28323,ADD/ALT,No plan review
28324,ADD/ALT,Plan Review
28325,ADD/ALT,No plan review
28326,ADD/ALT,No plan review
28327,ADD/ALT,Plan Review
28328,ADD/ALT,No plan review
28329,CURB CUT,No plan review
28330,NO CONSTRUCTION,Plan Review
28331,ADD/ALT,Plan Review
28332,ADD/ALT,No plan review
28333,ADD/ALT,No plan review
28334,ADD/ALT,No plan review
28335,ADD/ALT,No plan review
28336,ADD/ALT,No plan review
28337,ADD/ALT,No plan review
28338,ALTER,Plan Review
28339,ADD/ALT,No plan review
28340,ADD/ALT,Plan Review
28341,ADD/ALT,No plan review
28342,NEW,Plan Review
28343,NEW,Plan Review
28344,NEW,Plan Review
28345,ADD/ALT,No plan review
28346,NEW,Plan Review
28347,ADD/ALT,Plan Review
28348,ADD/ALT,No plan review
28349,ADD/ALT,Plan Review
28350,ADD/ALT,Plan Review
28351,ADD/ALT,No plan review
28352,ADD/ALT,No plan review
28353,ADD/ALT,Plan Review
28354,ADD/ALT,No plan review
28355,NEW,Plan Review
28356,ADD/ALT,No plan review
28357,NEW,Plan Review
28358,ADD/ALT,Plan Review
28359,ALTER,Plan Review
28360,ADD/ALT,Plan Review
28361,ADD/ALT,Plan Review
28362,ADD/ALT,Plan Review
28363,ADD/ALT,No plan review
28364,DEMOLITION,No plan review
28365,DEMOLITION,No plan review
28366,DEMOLITION,No plan review
28367,DEMOLITION,No plan review
28368,ADD/ALT,No plan review
28369,ADD/ALT,Plan Review
28370,ADD/ALT,Plan Review
28371,ADD/ALT,No plan review
28372,ADD/ALT,No plan review
28373,ADD/ALT,Plan Review
28374,ADD/ALT,Plan Review
28375,ADD/ALT,No plan review
28376,ALTER,Plan Review
28377,DEMOLITION,Plan Review
28378,DEMOLITION,No plan review
28379,DEMOLITION,No plan review
28380,ADD/ALT,No plan review
28381,ADD/ALT,No plan review
28382,ADD/ALT,Plan Review
28383,ADD/ALT,No plan review
28384,ADD/ALT,No plan review
28385,ADD/ALT,Plan Review
28386,NEW,Plan Review
28387,ADD/ALT,Plan Review
28388,ADD/ALT,No plan review
28389,ADD/ALT,Plan Review
28390,ADD/ALT,No plan review
28391,TEMP,Plan Review
28392,ALTER,Plan Review
28393,ADD/ALT,No plan review
28394,ADD/ALT,No plan review
28395,ADD/ALT,No plan review
28396,ADD/ALT,Plan Review
28397,NEW,Plan Review
28398,ADD/ALT,Plan Review
28399,ADD/ALT,No plan review
28400,ADD/ALT,No plan review
28401,ADD/ALT,No plan review
28402,ALTER,Plan Review
28403,ADD/ALT,Plan Review
28404,ADD/ALT,No plan review
28405,ADD/ALT,No plan review
28406,ADD/ALT,Plan Review
28407,ADD/ALT,No plan review
28408,ADD/ALT,Plan Review
28409,ADD/ALT,No plan review
28410,ADD/ALT,Plan Review
28411,ADD/ALT,Plan Review
28412,NEW,Plan Review
28413,ADD/ALT,Plan Review
28414,ADD/ALT,Plan Review
28415,ALTER,Plan Review
28416,ADD/ALT,Plan Review
28417,ADD/ALT,Plan Review
28418,ADD/ALT,No plan review
28419,ADD/ALT,No plan review
28420,ADD/ALT,Plan Review
28421,NEW,Plan Review
28422,ADD/ALT,No plan review
28423,ADD/ALT,No plan review
28424,ADD/ALT,No plan review
28425,ADD/ALT,No plan review
28426,ADD/ALT,No plan review
28427,ADD/ALT,No plan review
28428,ALTER,Plan Review
28429,ADD/ALT,Plan Review
28430,NEW,Plan Review
28431,ADD/ALT,Plan Review
28432,ADD/ALT,Plan Review
28433,ADD/ALT,Plan Review
28434,TREE/VEGETATION MAINT/RESTORE,No plan review
28435,ADD/ALT,Plan Review
28436,ADD/ALT,No plan review
28437,ADD/ALT,Plan Review
28438,ALTER,Plan Review
28439,ALTER,Plan Review
28440,NEW,Plan Review
28441,DEMOLITION,No plan review
28442,ADD/ALT,Plan Review
28443,NEW,Plan Review
28444,ADD/ALT,No plan review
28445,NEW,Plan Review
28446,ADD/ALT,No plan review
28447,ADD/ALT,Plan Review
28448,ADD/ALT,No plan review
28449,ADD/ALT,No plan review
28450,ADD/ALT,No plan review
28451,ADD/ALT,No plan review
28452,ADD/ALT,Plan Review
28453,ADD/ALT,Plan Review
28454,ADD/ALT,Plan Review
28455,ADD/ALT,No plan review
28456,ADD/ALT,No plan review
28457,ADD/ALT,No plan review
28458,NEW,Plan Review
28459,ADD/ALT,No plan review
28460,ADD/ALT,No plan review
28461,ADD/ALT,Plan Review
28462,ADD/ALT,Plan Review
28463,NEW,Plan Review
28464,ADD/ALT,No plan review
28465,ADD/ALT,Plan Review
28466,ADD/ALT,No plan review
28467,ADD/ALT,Plan Review
28468,NEW,Plan Review
28469,ADD/ALT,Plan Review
28470,ADD/ALT,No plan review
28471,ADD/ALT,Plan Review
28472,ADD/ALT,Plan Review
28473,ADD/ALT,Plan Review
28474,DEMOLITION,No plan review
28475,NEW,Plan Review
28476,ADD/ALT,Plan Review
28477,ADD/ALT,Plan Review
28478,ADD/ALT,Plan Review
28479,ADD/ALT,No plan review
28480,ADD/ALT,Plan Review
28481,ADD/ALT,No plan review
28482,NEW,Plan Review
28483,ADD/ALT,No plan review
28484,TEMP,Plan Review
28485,ADD/ALT,Plan Review
28486,ADD/ALT,No plan review
28487,NEW,Plan Review
28488,ADD/ALT,No plan review
28489,ADD/ALT,No plan review
28490,ADD/ALT,Plan Review
28491,ADD/ALT,Plan Review
28492,ADD/ALT,Plan Review
28493,,Plan Review
28494,NEW,Plan Review
28495,DEMOLITION,No plan review
28496,ADD/ALT,Plan Review
28497,NEW,Plan Review
28498,DEMOLITION,No plan review
28499,ADD/ALT,No plan review
28500,ADD/ALT,Plan Review
28501,NEW,Plan Review
28502,ADD/ALT,Plan Review
28503,ADD/ALT,No plan review
28504,ADD/ALT,No plan review
28505,ADD/ALT,Plan Review
28506,DEMOLITION,No plan review
28507,NEW,Plan Review
28508,ADD/ALT,No plan review
28509,NEW,Plan Review
28510,ADD/ALT,No plan review
28511,ADD/ALT,Plan Review
28512,ADD/ALT,Plan Review
28513,NEW,Plan Review
28514,NEW,Plan Review
28515,ADD/ALT,No plan review
28516,ADD/ALT,Plan Review
28517,NEW,Plan Review
28518,NEW,Plan Review
28519,NEW,Plan Review
28520,ADD/ALT,Plan Review
28521,ADD/ALT,No plan review
28522,NEW,Plan Review
28523,ADD/ALT,No plan review
28524,ADD/ALT,No plan review
28525,NEW,Plan Review
28526,NEW,Plan Review
28527,ADD/ALT,Plan Review
28528,ADD/ALT,Plan Review
28529,ADD/ALT,No plan review
28530,NEW,Plan Review
28531,NEW,Plan Review
28532,ADD/ALT,Plan Review
28533,ADD/ALT,No plan review
28534,ADD/ALT,No plan review
28535,ADD/ALT,No plan review
28536,NEW,Plan Review
28537,ADD/ALT,Plan Review
28538,ADD/ALT,Plan Review
28539,GRADING,Plan Review
28540,ADD/ALT,Plan Review
28541,ADD/ALT,No plan review
28542,ADD/ALT,No plan review
28543,ADD/ALT,Plan Review
28544,ADD/ALT,No plan review
28545,ADD/ALT,No plan review
28546,ADD/ALT,No plan review
28547,DEMOLITION,No plan review
28548,ADD/ALT,No plan review
28549,ALTER,Plan Review
28550,ADD/ALT,No plan review
28551,TREE/VEGETATION MAINT/RESTORE,No plan review
28552,ALTER,Plan Review
28553,ADD/ALT,Plan Review
28554,NEW,Plan Review
28555,TEMP,Plan Review
28556,ADD/ALT,No plan review
28557,ADD/ALT,Plan Review
28558,ADD/ALT,No plan review
28559,DEMOLITION,No plan review
28560,ADD/ALT,Plan Review
28561,ADD/ALT,No plan review
28562,NEW,Plan Review
28563,ADD/ALT,Plan Review
28564,ADD/ALT,Plan Review
28565,DEMOLITION,Plan Review
28566,ADD/ALT,No plan review
28567,ADD/ALT,No plan review
28568,ADD/ALT,No plan review
28569,ADD/ALT,No plan review
28570,ADD/ALT,No plan review
28571,ADD/ALT,No plan review
28572,DEMOLITION,No plan review
28573,NEW,Plan Review
28574,NEW,Plan Review
28575,ADD/ALT,No plan review
28576,NEW,Plan Review
28577,NEW,Plan Review
28578,ADD/ALT,Plan Review
28579,DEMOLITION,No plan review
28580,ADD/ALT,No plan review
28581,ADD/ALT,Plan Review
28582,ADD/ALT,Plan Review
28583,ADD/ALT,No plan review
28584,ADD/ALT,No plan review
28585,ADD/ALT,Plan Review
28586,ADD/ALT,No plan review
28587,NEW,Plan Review
28588,ADD/ALT,No plan review
28589,ADD/ALT,No plan review
28590,ADD/ALT,No plan review
28591,ADD/ALT,No plan review
28592,ADD/ALT,No plan review
28593,ADD/ALT,Plan Review
28594,DEMOLITION,No plan review
28595,NEW,Plan Review
28596,ADD/ALT,No plan review
28597,ADD/ALT,Plan Review
28598,ADD/ALT,Plan Review
28599,ADD/ALT,Plan Review
28600,ADD/ALT,Plan Review
28601,ADD/ALT,No plan review
28602,NEW,Plan Review
28603,ADD/ALT,Plan Review
28604,ADD/ALT,Plan Review
28605,NEW,Plan Review
28606,ADD/ALT,No plan review
28607,NEW,Plan Review
28608,DEMOLITION,No plan review
28609,ADD/ALT,Plan Review
28610,ADD/ALT,No plan review
28611,ADD/ALT,Plan Review
28612,NEW,Plan Review
28613,NEW,Plan Review
28614,ADD/ALT,No plan review
28615,ADD/ALT,Plan Review
28616,ADD/ALT,No plan review
28617,ADD/ALT,No plan review
28618,NEW,Plan Review
28619,ADD/ALT,No plan review
28620,ADD/ALT,No plan review
28621,ADD/ALT,Plan Review
28622,ADD/ALT,No plan review
28623,ADD/ALT,Plan Review
28624,ADD/ALT,No plan review
28625,NEW,Plan Review
28626,ADD/ALT,No plan review
28627,ADD/ALT,Plan Review
28628,ADD/ALT,Plan Review
28629,ADD/ALT,No plan review
28630,ADD/ALT,Plan Review
28631,ADD/ALT,No plan review
28632,ADD/ALT,Plan Review
28633,ADD/ALT,Plan Review
28634,DEMOLITION,No plan review
28635,NEW,Plan Review
28636,ADD/ALT,No plan review
28637,NEW,Plan Review
28638,ADD/ALT,No plan review
28639,ADD/ALT,No plan review
28640,ADD/ALT,No plan review
28641,ADD/ALT,No plan review
28642,NEW,Plan Review
28643,ALTER,Plan Review
28644,NEW,Plan Review
28645,NEW,Plan Review
28646,NEW,Plan Review
28647,ADD/ALT,No plan review
28648,ADD/ALT,No plan review
28649,ADD/ALT,No plan review
28650,ADD/ALT,Plan Review
28651,NEW,Plan Review
28652,ADD/ALT,Plan Review
28653,DEMOLITION,No plan review
28654,DEMOLITION,No plan review
28655,ADD/ALT,Plan Review
28656,ADD/ALT,Plan Review
28657,DEMOLITION,No plan review
28658,ADD/ALT,Plan Review
28659,ADD/ALT,Plan Review
28660,ADD/ALT,Plan Review
28661,ADD/ALT,Plan Review
28662,NEW,Plan Review
28663,ADD/ALT,Plan Review
28664,ADD/ALT,No plan review
28665,ADD/ALT,No plan review
28666,NEW,Plan Review
28667,ADD/ALT,No plan review
28668,ADD/ALT,No plan review
28669,ADD/ALT,Plan Review
28670,ADD/ALT,No plan review
28671,ADD/ALT,Plan Review
28672,ADD/ALT,No plan review
28673,DEMOLITION,No plan review
28674,ADD/ALT,Plan Review
28675,ADD/ALT,Plan Review
28676,ADD/ALT,Plan Review
28677,NEW,Plan Review
28678,TREE/VEGETATION MAINT/RESTORE,No plan review
28679,TREE/VEGETATION MAINT/RESTORE,No plan review
28680,TREE/VEGETATION MAINT/RESTORE,No plan review
28681,ADD/ALT,Plan Review
28682,ADD/ALT,No plan review
28683,TREE/VEGETATION MAINT/RESTORE,No plan review
28684,ADD/ALT,No plan review
28685,ADD/ALT,No plan review
28686,ADD/ALT,No plan review
28687,NEW,Plan Review
28688,ADD/ALT,Plan Review
28689,ADD/ALT,Plan Review
28690,ADD/ALT,No plan review
28691,NEW,Plan Review
28692,ADD/ALT,No plan review
28693,ADD/ALT,No plan review
28694,ADD/ALT,No plan review
28695,ADD/ALT,Plan Review
28696,ADD/ALT,Plan Review
28697,ADD/ALT,Plan Review
28698,ADD/ALT,Plan Review
28699,ADD/ALT,Plan Review
28700,ADD/ALT,Plan Review
28701,,Plan Review
28702,NEW,Plan Review
28703,ADD/ALT,Plan Review
28704,ADD/ALT,Plan Review
28705,ADD/ALT,Plan Review
28706,NEW,Plan Review
28707,NEW,Plan Review
28708,ADD/ALT,Plan Review
28709,NEW,Plan Review
28710,ADD/ALT,Plan Review
28711,ADD/ALT,Plan Review
28712,ADD/ALT,Plan Review
28713,DEMOLITION,No plan review
28714,TEMP,Plan Review
28715,NEW,Plan Review
28716,ADD/ALT,No plan review
28717,ADD/ALT,Plan Review
28718,ADD/ALT,No plan review
28719,ADD/ALT,No plan review
28720,ADD/ALT,No plan review
28721,ADD/ALT,No plan review
28722,ADD/ALT,No plan review
28723,ADD/ALT,Plan Review
28724,ADD/ALT,Plan Review
28725,ADD/ALT,No plan review
28726,ADD/ALT,No plan review
28727,ADD/ALT,No plan review
28728,ADD/ALT,No plan review
28729,NEW,Plan Review
28730,ADD/ALT,Plan Review
28731,ADD/ALT,No plan review
28732,ADD/ALT,Plan Review
28733,ADD/ALT,Plan Review
28734,ADD/ALT,Plan Review
28735,ADD/ALT,Plan Review
28736,ADD/ALT,Plan Review
28737,ADD/ALT,No plan review
28738,ADD/ALT,Plan Review
28739,ADD/ALT,No plan review
28740,ADD/ALT,Plan Review
28741,DEMOLITION,No plan review
28742,ADD/ALT,No plan review
28743,ADD/ALT,Plan Review
28744,DEMOLITION,No plan review
28745,ADD/ALT,No plan review
28746,NEW,Plan Review
28747,ADD/ALT,No plan review
28748,ADD/ALT,No plan review
28749,DEMOLITION,No plan review
28750,ADD/ALT,No plan review
28751,NEW,Plan Review
28752,ADD/ALT,Plan Review
28753,ADD/ALT,No plan review
28754,ADD/ALT,No plan review
28755,ADD/ALT,No plan review
28756,NEW,Plan Review
28757,ADD/ALT,Plan Review
28758,ADD/ALT,No plan review
28759,ADD/ALT,Plan Review
28760,ADD/ALT,No plan review
28761,NEW,Plan Review
28762,ALTER,Plan Review
28763,ADD/ALT,Plan Review
28764,ADD/ALT,No plan review
28765,ADD/ALT,Plan Review
28766,ADD/ALT,Plan Review
28767,DEMOLITION,No plan review
28768,DEMOLITION,No plan review
28769,DEMOLITION,No plan review
28770,ADD/ALT,Plan Review
28771,ADD/ALT,Plan Review
28772,NEW,Plan Review
28773,NEW,Plan Review
28774,ADD/ALT,Plan Review
28775,ADD/ALT,No plan review
28776,DEMOLITION,No plan review
28777,ADD/ALT,Plan Review
28778,ADD/ALT,Plan Review
28779,ADD/ALT,No plan review
28780,ADD/ALT,Plan Review
28781,ADD/ALT,No plan review
28782,ADD/ALT,Plan Review
28783,ADD/ALT,No plan review
28784,DEMOLITION,No plan review
28785,DEMOLITION,No plan review
28786,NEW,Plan Review
28787,ADD/ALT,No plan review
28788,DEMOLITION,No plan review
28789,NEW,Plan Review
28790,ADD/ALT,No plan review
28791,ADD/ALT,No plan review
28792,ADD/ALT,Plan Review
28793,ADD/ALT,Plan Review
28794,ADD/ALT,Plan Review
28795,NEW,Plan Review
28796,ADD/ALT,Plan Review
28797,ADD/ALT,Plan Review
28798,NEW,Plan Review
28799,NEW,Plan Review
28800,ADD/ALT,Plan Review
28801,ADD/ALT,Plan Review
28802,DEMOLITION,No plan review
28803,ADD/ALT,No plan review
28804,ADD/ALT,Plan Review
28805,NEW,Plan Review
28806,ADD/ALT,Plan Review
28807,ADD/ALT,Plan Review
28808,ALTER,Plan Review
28809,ADD/ALT,No plan review
28810,ADD/ALT,Plan Review
28811,ADD/ALT,No plan review
28812,ADD/ALT,No plan review
28813,ADD/ALT,Plan Review
28814,DEMOLITION,No plan review
28815,ADD/ALT,No plan review
28816,ADD/ALT,No plan review
28817,ADD/ALT,No plan review
28818,ADD/ALT,Plan Review
28819,ADD/ALT,No plan review
28820,ADD/ALT,No plan review
28821,ADD/ALT,Plan Review
28822,ADD/ALT,Plan Review
28823,ADD/ALT,No plan review
28824,NEW,Plan Review
28825,NEW,Plan Review
28826,NEW,Plan Review
